t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,21.636,0.783,667.516,724.4,0.2,5.807,59.431,41.007,52.845,637.109,666.466
0.1,25.705,0.696,669.41,743.977,0.2,4.627,54.294,40.803,50.01,639.754,668.187
0.2,62.117,0.391,682.101,840.411,0.2,6.946,54.31,36.252,47.605,642.407,658.952
0.30000000000000004,51.144,0.652,668.915,838.27,0.2,4.387,50.004,36.758,43.48,621.168,664.465
0.4,127.004,0.522,622.931,733.034,0.2,4.001,54.683,40.972,47.615,355.844,672.917
0.5,141.066,0.478,532.299,761.697,0.2,5.555,56.341,36.256,48.473,354.88,503.158
0.6,103.219,0.826,576.131,765.3,0.2,3.764,49.836,36.471,45.18,409.079,580.164
0.7,74.702,0.609,634.901,752.942,0.2,2.586,50.178,42.711,46.543,502.249,642.708
0.7999999999999999,30.83,0.435,683.483,753.25,0.2,3.302,50.26,36.257,43.147,647.998,674.329
0.8999999999999999,84.031,0.565,537.971,727.476,0.2,4.654,49.993,35.781,42.965,471.255,501.249
0.9999999999999999,24.657,0.826,664.468,723.756,0.2,4.962,53.065,37.845,46.456,621.464,663.04
1.0999999999999999,92.371,0.913,572.222,710.542,0.2,3.682,54.082,42.959,47.573,469.593,500.082
1.2,138.499,0.435,569.222,859.85,0.2,3.711,56.734,44.857,51.629,480.763,497.622
1.3,30.572,0.13,577.41,605.857,0.2,3.264,51.966,42.64,47.479,543.534,585.746
1.4000000000000001,26.441,0.087,567.753,586.45,0.2,3.645,50.282,37.794,45.364,549.056,567.753
1.5000000000000002,-1,0.0,-1,-1,0.2,3.351,49.983,38.355,43.665,-1,-1
1.6000000000000003,9.856,0.13,594.759,605.672,0.2,6.309,56.045,38.479,48.339,586.507,592.098
1.7000000000000004,1.758,0.13,108.912,110.856,0.2,5.13,67.289,46.506,53.333,107.371,108.539
1.8000000000000005,2.804,0.217,106.926,109.192,0.2,10.132,71.283,41.905,56.325,102.313,107.203
1.9000000000000006,1.462,0.348,131.878,134.64,0.2,15.351,81.397,40.833,66.118,130.074,131.656
2.0000000000000004,4.922,0.913,128.604,134.767,0.2,1.858,79.865,74.571,76.617,117.338,130.157
2.1000000000000005,11.497,0.957,114.841,131.824,0.2,1.396,75.519,70.877,73.859,100.86,110.752
2.2000000000000006,2.028,0.696,103.425,107.136,0.2,3.721,76.58,62.574,72.25,100.57,102.942
2.3000000000000007,6.058,0.304,105.943,116.22,0.2,3.222,75.001,62.835,69.534,100.478,102.327
2.400000000000001,1.52,0.696,109.183,114.421,0.2,2.118,74.751,67.177,72.743,107.715,108.759
2.500000000000001,2.849,0.913,106.445,109.864,0.2,0.639,73.54,71.713,73.007,100.29,106.878
2.600000000000001,2.292,0.348,103.278,106.19,0.2,2.188,73.059,65.579,70.266,99.839,103.665
2.700000000000001,-1,0.0,-1,-1,0.2,3.562,68.682,57.007,63.033,-1,-1
2.800000000000001,2.321,0.565,110.094,114.321,0.2,5.399,73.433,57.568,67.909,106.751,109.861
2.9000000000000012,3.729,1.0,111.177,117.062,0.2,2.0,72.083,63.948,70.222,104.467,110.358
3.0000000000000013,4.854,0.391,113.342,117.065,0.2,4.87,71.71,56.011,62.865,102.762,116.406
3.1000000000000014,1.531,0.13,103.472,104.773,0.2,7.983,78.646,55.989,69.143,101.717,104.157
3.2000000000000015,6.035,0.087,833.803,838.07,0.2,6.871,78.484,56.367,69.769,829.535,833.803
3.3000000000000016,-1,0.0,-1,-1,0.2,3.276,73.168,60.761,67.008,-1,-1
3.4000000000000017,-1,0.0,-1,-1,0.2,5.779,83.037,60.654,66.331,-1,-1
3.5000000000000018,1.522,0.609,102.285,107.009,0.2,6.016,83.31,60.099,73.179,100.71,101.691
3.600000000000002,1.361,1.0,103.263,107.83,0.2,0.389,74.446,73.33,73.873,99.872,103.552
