t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,238.988,0.609,262.62,723.904,0.2,1.505,67.791,62.882,65.451,130.116,143.833
0.1,29.703,0.652,197.628,225.155,0.2,1.82,68.25,62.775,65.441,129.869,203.514
0.2,8.194,1.0,215.357,226.075,0.2,0.903,68.9,65.936,67.58,195.323,216.765
0.30000000000000004,35.148,1.0,183.081,221.533,0.2,1.71,71.456,65.947,69.372,123.219,192.828
0.4,21.892,1.0,125.432,176.222,0.2,2.067,71.581,65.928,69.385,107.126,112.993
0.5,262.815,0.913,309.759,676.961,0.2,2.96,70.947,62.097,67.004,106.315,109.842
0.6,246.666,0.87,312.791,680.459,0.2,3.378,70.958,60.221,67.145,133.39,136.627
0.7,9.712,1.0,127.565,136.775,0.2,0.747,70.948,68.452,70.177,108.916,133.416
0.7999999999999999,8.356,1.0,110.258,129.26,0.2,2.192,70.19,63.763,67.141,99.965,107.908
0.8999999999999999,255.443,0.826,211.874,808.238,0.2,1.2,65.721,61.605,64.057,101.581,104.61
0.9999999999999999,302.95,0.609,315.568,808.651,0.2,7.093,81.608,61.553,69.73,101.504,150.037
1.0999999999999999,4.491,0.826,153.549,161.593,0.2,3.078,80.265,67.755,72.468,146.602,154.381
1.2,6.069,0.913,152.707,162.293,0.2,2.094,71.45,63.851,68.224,141.274,152.807
1.3,127.666,0.391,212.881,438.669,0.2,2.555,68.53,59.385,63.731,141.775,150.821
1.4000000000000001,5.152,0.217,147.834,151.917,0.2,2.105,65.397,58.701,61.141,140.944,150.725
1.5000000000000002,5.024,0.261,147.724,152.126,0.2,4.259,75.263,59.105,66.868,140.512,149.354
1.6000000000000003,191.468,0.348,253.652,492.02,0.2,3.377,75.232,63.01,68.135,114.223,115.864
1.7000000000000004,131.618,0.957,163.98,495.926,0.2,2.402,73.58,63.795,67.572,105.091,113.666
1.8000000000000005,13.734,0.87,125.274,145.443,0.2,2.779,71.41,62.696,66.313,101.408,127.147
1.9000000000000006,9.61,1.0,147.528,160.281,0.2,2.071,71.418,65.21,67.744,130.843,148.722
2.0000000000000004,10.958,0.609,151.704,160.581,0.2,2.854,68.981,60.905,64.97,118.736,154.63
2.1000000000000005,6.921,0.609,108.9,129.364,0.2,2.594,69.041,61.167,64.74,102.591,106.905
2.2000000000000006,6.38,0.696,107.233,123.412,0.2,1.279,67.484,61.778,64.3,101.492,105.522
2.3000000000000007,5.138,0.696,118.77,123.327,0.2,3.49,71.311,61.269,67.146,101.178,119.547
2.400000000000001,3.808,1.0,118.668,124.872,0.2,2.263,69.943,62.838,67.105,111.522,119.352
2.500000000000001,4.626,1.0,112.542,122.267,0.2,0.573,68.935,66.996,68.011,106.608,111.622
2.600000000000001,3.929,0.87,105.453,111.418,0.2,1.375,67.938,64.078,65.801,99.838,105.742
2.700000000000001,1.091,0.261,100.939,102.644,0.2,0.64,65.046,63.116,64.243,99.642,100.806
2.800000000000001,-1,0.0,-1,-1,0.2,0.507,64.234,62.634,63.438,-1,-1
2.9000000000000012,20.753,0.13,811.632,835.441,0.2,0.313,64.244,63.229,63.567,794.122,802.082
3.0000000000000013,-1,0.0,-1,-1,0.2,0.459,63.47,62.027,62.857,-1,-1
3.1000000000000014,-1,0.0,-1,-1,0.2,0.656,63.812,61.628,62.532,-1,-1
3.2000000000000015,-1,0.0,-1,-1,0.2,0.463,63.068,61.618,62.476,-1,-1
3.3000000000000016,7.523,0.087,649.703,655.023,0.2,0.432,63.215,61.684,62.663,644.383,649.703
3.4000000000000017,-1,0.043,115.963,115.963,0.2,1.286,66.233,61.669,63.405,115.963,115.963
3.5000000000000018,183.545,0.565,225.39,566.463,0.2,1.738,68.27,62.574,65.874,115.779,132.356
3.600000000000002,13.902,0.565,145.209,165.474,0.2,2.552,71.428,63.822,66.707,128.318,151.384
3.700000000000002,20.863,0.87,178.736,216.033,0.2,1.067,71.033,67.47,69.541,151.759,174.315
3.800000000000002,18.867,1.0,213.218,235.924,0.2,1.373,70.117,65.702,68.09,172.231,217.486
3.900000000000002,25.734,1.0,211.744,235.201,0.2,1.419,69.357,64.289,67.166,146.427,224.528
4.000000000000002,30.631,0.565,174.999,219.639,0.2,2.771,71.26,61.575,64.222,130.268,176.882
4.100000000000001,7.261,0.696,127.376,138.537,0.2,4.065,71.669,61.186,65.994,113.95,127.503
4.200000000000001,14.827,1.0,140.252,159.057,0.2,2.719,68.835,61.313,65.809,110.85,143.895
4.300000000000001,4.192,1.0,153.431,159.031,0.2,2.034,72.939,67.034,70.705,146.658,153.517
4.4,2.867,1.0,148.698,156.041,0.2,0.349,72.886,71.922,72.319,145.531,148.156
4.5,67.316,0.913,160.707,454.36,0.2,1.963,72.013,65.494,70.123,141.41,146.764
4.6,1.867,0.565,144.443,146.722,0.2,3.112,69.446,60.755,63.451,141.646,144.64
4.699999999999999,10.579,0.435,160.105,173.491,0.2,2.69,67.711,60.741,63.516,145.109,163.752
4.799999999999999,7.085,0.913,167.707,176.006,0.2,1.986,72.064,66.221,68.68,154.098,168.921
4.899999999999999,15.139,1.0,151.696,175.509,0.2,2.025,72.084,65.32,69.432,130.183,149.716
4.999999999999998,4.388,1.0,135.395,146.209,0.2,1.369,68.427,63.716,65.807,129.677,134.205
5.099999999999998,3.691,0.87,132.503,137.079,0.2,1.591,69.275,63.762,65.451,124.998,133.394
5.1999999999999975,326.438,0.826,400.462,859.431,0.2,1.476,69.377,64.313,66.632,119.09,135.368
5.299999999999997,50.87,0.565,779.164,842.218,0.2,2.095,71.329,63.897,66.442,712.589,763.372
5.399999999999997,3.111,0.522,108.665,111.605,0.2,2.112,69.54,62.472,65.429,101.695,109.786
5.4999999999999964,8.812,0.783,113.987,129.136,0.2,1.151,66.029,62.521,64.46,100.861,110.519
5.599999999999996,6.772,0.87,133.083,143.046,0.2,1.492,69.312,64.98,66.904,119.722,135.258
5.699999999999996,8.385,1.0,132.342,142.294,0.2,1.471,70.724,66.63,69.076,114.368,136.396
5.799999999999995,5.503,1.0,119.78,132.836,0.2,2.62,70.579,63.588,66.181,114.222,118.263
5.899999999999995,7.225,1.0,123.707,136.46,0.2,0.899,66.856,64.047,65.958,114.527,121.506
