t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.461,58.687,53.227,55.666,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.816,57.195,54.358,55.941,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.852,58.04,54.858,56.082,-1,-1
0.30000000000000004,-1,0.043,750.429,750.429,0.2,0.696,57.382,54.733,55.89,750.429,750.429
0.4,3.849,0.391,137.942,142.635,0.2,6.745,70.38,54.855,63.226,131.066,138.944
0.5,133.048,0.826,215.839,466.446,0.2,5.31,70.337,56.692,62.769,131.536,139.327
0.6,103.926,0.87,271.488,455.455,0.2,6.681,74.269,56.495,66.879,192.393,213.727
0.7,20.462,1.0,194.284,216.78,0.2,1.979,74.287,67.781,71.098,150.304,201.274
0.7999999999999999,29.427,1.0,145.403,198.064,0.2,2.175,69.652,63.169,66.91,104.295,140.681
0.8999999999999999,9.929,0.522,116.023,133.584,0.2,2.492,65.468,57.161,61.324,104.008,113.668
0.9999999999999999,2.339,0.261,124.098,125.631,0.2,3.311,66.701,54.848,60.772,119.504,125.176
1.0999999999999999,210.991,0.739,198.167,760.195,0.2,2.796,67.853,57.991,64.626,117.58,125.094
1.2,7.853,0.957,116.579,134.099,0.2,1.713,66.835,61.324,64.261,102.695,117.482
1.3,7.051,0.652,106.911,125.231,0.2,1.395,66.858,62.488,63.899,100.075,105.748
1.4000000000000001,16.102,0.435,119.22,141.316,0.2,2.834,65.739,56.836,62.295,99.974,119.558
1.5000000000000002,15.173,0.391,142.265,178.561,0.2,2.139,64.911,56.755,60.804,129.672,137.031
1.6000000000000003,3.694,0.696,140.13,146.032,0.2,2.936,68.285,58.498,65.251,135.407,139.381
1.7000000000000004,3.428,1.0,140.935,146.73,0.2,2.587,68.278,60.688,64.852,135.371,140.858
1.8000000000000005,1.762,0.565,143.749,145.639,0.2,1.47,63.931,59.071,62.122,140.207,144.252
1.9000000000000006,9.333,0.348,831.663,840.856,0.2,2.309,63.307,55.879,59.937,814.335,832.255
2.0000000000000004,53.998,0.435,709.305,775.256,0.2,2.124,61.457,53.053,56.242,631.141,735.193
2.1000000000000005,59.0,0.565,671.914,777.389,0.2,1.271,57.554,52.98,55.398,614.902,649.229
2.2000000000000006,76.709,0.565,728.708,832.117,0.2,1.013,57.777,54.454,56.002,627.652,749.989
2.3000000000000007,159.273,0.391,551.787,830.066,0.2,1.218,58.752,54.642,56.6,424.613,480.173
2.400000000000001,-1,0.0,-1,-1,0.2,14.933,92.563,56.395,71.745,-1,-1
2.500000000000001,114.674,0.217,722.279,834.773,0.2,10.642,92.839,65.139,81.928,599.462,739.862
2.600000000000001,0.305,0.087,734.679,734.895,0.2,5.269,76.574,60.421,67.338,734.463,734.679
2.700000000000001,-1,0.0,-1,-1,0.2,3.884,62.685,51.197,57.959,-1,-1
2.800000000000001,19.831,0.174,796.669,819.337,0.2,1.47,55.409,51.129,53.155,771.369,797.913
2.9000000000000012,-1,0.0,-1,-1,0.2,1.772,56.225,51.051,53.972,-1,-1
