t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.508,56.683,54.788,55.572,-1,-1
0.1,8.832,0.087,678.885,685.13,0.2,0.652,56.732,54.146,55.293,672.64,678.885
0.2,-1,0.0,-1,-1,0.2,0.697,56.735,54.248,55.489,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.642,56.055,53.785,54.823,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.438,56.637,54.826,55.807,-1,-1
0.5,2.898,0.261,127.666,132.921,0.2,3.008,64.368,55.427,57.847,124.157,127.343
0.6,218.445,0.609,233.584,638.744,0.2,3.403,64.578,54.71,60.079,117.062,126.226
0.7,222.176,0.696,320.228,641.276,0.2,4.058,64.656,54.401,58.872,113.614,192.979
0.7999999999999999,9.154,0.957,191.382,202.412,0.2,0.357,64.922,63.673,64.065,172.847,193.144
0.8999999999999999,25.354,1.0,163.494,201.38,0.2,0.993,66.641,62.913,64.904,125.265,161.913
0.9999999999999999,14.137,0.826,127.757,153.403,0.2,2.574,68.334,58.706,64.463,102.06,124.955
1.0999999999999999,6.711,0.391,118.434,126.773,0.2,2.984,67.404,56.989,59.954,104.14,121.446
1.2,239.274,0.957,250.76,696.833,0.2,3.193,66.339,56.802,63.195,121.399,124.572
1.3,5.218,1.0,119.935,125.381,0.2,1.941,67.047,61.51,64.887,110.472,122.083
1.4000000000000001,2.802,1.0,112.239,119.337,0.2,1.093,63.694,59.648,60.828,108.783,110.961
1.5000000000000002,1.704,0.609,111.184,114.0,0.2,2.116,60.407,55.26,58.228,108.896,110.769
1.6000000000000003,5.856,0.391,179.579,185.453,0.2,4.716,66.531,55.25,59.977,170.557,180.98
1.7000000000000004,4.138,1.0,182.172,186.049,0.2,1.306,66.541,62.23,65.347,169.123,183.567
1.8000000000000005,4.557,0.783,181.409,185.985,0.2,2.485,66.467,58.808,63.527,169.884,182.542
1.9000000000000006,302.331,0.435,460.436,765.36,0.2,1.801,63.621,55.951,59.732,163.169,457.55
2.0000000000000004,279.349,0.522,609.791,801.886,0.2,2.883,64.745,53.337,57.024,145.365,741.184
2.1000000000000005,249.442,0.783,450.994,800.455,0.2,4.153,65.927,54.164,59.532,139.931,469.218
2.2000000000000006,194.606,0.565,353.277,586.838,0.2,3.441,64.239,54.049,57.403,115.771,463.332
2.3000000000000007,7.177,0.739,114.645,130.369,0.2,2.178,64.28,56.869,62.535,103.739,112.323
2.400000000000001,196.394,0.478,223.669,533.152,0.2,3.879,63.925,52.684,56.518,101.963,110.516
2.500000000000001,4.755,0.565,160.05,165.189,0.2,8.267,73.213,52.571,63.003,151.282,161.609
2.600000000000001,2.503,1.0,164.516,167.726,0.2,0.77,73.209,70.432,71.773,158.58,164.878
2.700000000000001,174.403,0.913,284.329,575.038,0.2,7.677,72.08,53.57,64.061,157.095,167.233
2.800000000000001,208.958,0.739,313.226,578.373,0.2,7.736,71.402,52.864,61.433,119.727,126.584
2.9000000000000012,5.322,0.957,119.451,127.653,0.2,2.822,71.39,60.369,66.955,106.101,120.221
3.0000000000000013,7.332,0.565,120.381,131.681,0.2,4.485,68.152,55.212,61.423,107.927,119.24
3.1000000000000014,8.357,0.826,138.659,149.421,0.2,3.179,68.949,56.925,66.216,126.777,141.281
