t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.661,57.074,54.673,55.755,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.718,56.881,54.302,55.836,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.81,56.91,54.377,55.692,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.543,56.38,54.47,55.455,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.508,56.334,54.179,55.316,-1,-1
0.5,2.399,0.13,752.624,755.247,0.2,0.685,57.176,54.949,55.769,750.54,752.085
0.6,6.984,0.13,755.818,763.826,0.2,0.857,57.368,54.337,55.578,750.982,752.647
0.7,-1,0.043,729.405,729.405,0.2,0.481,56.733,54.732,56.004,729.405,729.405
0.7999999999999999,-1,0.0,-1,-1,0.2,0.875,56.358,53.358,55.248,-1,-1
0.8999999999999999,-1,0.043,831.632,831.632,0.2,8.24,76.225,55.147,64.317,831.632,831.632
0.9999999999999999,328.363,0.565,537.187,834.875,0.2,2.911,81.507,72.393,77.58,193.715,818.964
1.0999999999999999,185.558,0.913,264.381,822.026,0.2,1.101,81.862,77.977,79.884,193.606,208.139
1.2,5.125,1.0,218.872,223.684,0.2,1.003,81.857,78.465,80.671,206.559,221.215
1.3,11.461,1.0,213.327,223.716,0.2,1.48,80.888,76.795,78.675,190.369,218.467
1.4000000000000001,12.63,1.0,188.844,213.222,0.2,4.212,77.96,66.811,74.262,173.251,185.507
1.5000000000000002,169.447,0.957,226.282,767.968,0.2,2.245,72.265,65.816,69.502,167.041,173.895
1.6000000000000003,331.232,0.609,488.251,847.031,0.2,3.686,78.696,66.054,71.882,167.06,452.127
1.7000000000000004,244.129,0.696,245.226,742.107,0.2,2.974,75.925,65.926,69.298,127.62,132.166
1.8000000000000005,2.41,1.0,131.657,136.515,0.2,0.592,67.174,64.807,65.842,127.277,131.776
1.9000000000000006,3.689,1.0,135.893,143.846,0.2,0.584,66.501,64.791,65.811,129.826,135.53
2.0000000000000004,220.025,0.652,224.558,769.507,0.2,4.966,79.44,63.558,69.387,134.989,143.368
2.1000000000000005,5.05,0.13,768.627,774.323,0.2,9.453,77.814,47.877,61.068,764.11,766.855
2.2000000000000006,274.486,0.478,465.741,831.77,0.2,5.977,68.865,47.91,55.387,181.346,624.795
2.3000000000000007,13.923,0.783,172.563,187.283,0.2,7.501,78.819,53.119,71.079,145.896,181.258
2.400000000000001,15.911,0.522,158.381,185.821,0.2,3.455,86.389,75.034,79.26,131.33,157.348
2.500000000000001,2.652,0.652,134.238,140.18,0.2,7.023,86.437,65.582,75.995,131.308,133.521
2.600000000000001,192.268,0.826,202.643,752.647,0.2,4.554,78.298,63.397,69.085,131.55,137.551
2.700000000000001,208.221,0.304,308.205,532.981,0.2,7.411,78.572,58.579,66.917,129.333,151.612
2.800000000000001,48.918,0.348,671.535,734.418,0.2,4.879,59.621,46.008,53.314,620.617,660.718
2.9000000000000012,34.623,0.391,701.527,735.488,0.2,4.144,57.589,45.983,52.77,656.402,717.16
3.0000000000000013,-1,0.0,-1,-1,0.2,1.726,57.757,52.383,54.429,-1,-1
3.1000000000000014,-1,0.0,-1,-1,0.2,1.415,56.839,52.161,55.054,-1,-1
3.2000000000000015,68.7,0.174,785.824,861.146,0.2,0.636,57.17,55.073,56.202,715.14,791.431
3.3000000000000016,36.533,0.174,814.862,845.93,0.2,2.81,65.659,53.323,56.133,771.897,820.81
3.4000000000000017,7.627,0.478,198.138,209.846,0.2,9.474,79.349,54.028,70.122,188.569,196.636
3.5000000000000018,10.63,1.0,209.913,219.818,0.2,3.945,79.337,69.432,73.278,188.96,214.205
3.600000000000002,200.947,0.783,304.418,742.707,0.2,1.692,73.416,66.721,69.412,204.908,218.837
3.700000000000002,304.605,0.435,459.718,762.156,0.2,3.571,75.32,62.118,70.659,141.324,472.05
3.800000000000002,11.282,0.739,131.045,155.512,0.2,3.612,74.86,62.614,70.596,114.092,129.89
3.900000000000002,7.394,1.0,124.331,134.291,0.2,2.372,71.072,62.04,66.764,111.251,126.939
4.000000000000002,6.845,0.609,131.186,141.122,0.2,3.873,66.282,53.623,60.03,117.827,130.9
4.100000000000001,2.496,0.13,789.993,792.873,0.2,1.432,57.906,53.09,55.392,788.46,788.646
4.200000000000001,292.669,0.391,670.849,843.798,0.2,7.39,73.91,52.769,60.452,155.865,799.561
4.300000000000001,254.299,0.739,292.643,763.629,0.2,4.629,73.989,60.336,67.535,150.706,155.853
4.4,8.85,0.739,147.278,165.997,0.2,4.992,76.612,60.423,68.212,136.838,142.346
4.5,9.001,0.957,146.487,175.844,0.2,5.045,71.952,55.131,67.957,135.031,144.067
4.6,15.97,0.609,163.422,188.185,0.2,7.486,74.023,50.902,60.868,137.357,163.818
4.699999999999999,10.413,0.826,191.182,211.023,0.2,5.425,77.433,57.493,72.435,176.441,193.275
4.799999999999999,8.96,1.0,208.031,217.08,0.2,2.414,77.372,68.509,75.286,192.079,212.103
4.899999999999999,24.165,1.0,193.018,217.057,0.2,2.012,76.774,70.969,73.908,150.393,201.547
4.999999999999998,12.349,1.0,158.26,189.315,0.2,3.996,74.894,63.903,68.22,146.584,153.427
5.099999999999998,3.639,0.783,151.344,161.294,0.2,3.809,69.404,56.509,63.408,146.066,151.099
5.1999999999999975,6.678,0.435,144.325,150.672,0.2,5.189,69.312,53.653,61.959,132.007,146.724
5.299999999999997,2.486,0.304,148.515,152.11,0.2,5.297,69.892,53.778,62.024,145.761,147.674
5.399999999999997,8.181,0.87,138.293,152.056,0.2,1.778,67.92,60.424,65.406,126.68,135.862
5.4999999999999964,6.993,1.0,124.2,135.91,0.2,0.903,67.532,63.948,65.103,110.85,122.902
5.599999999999996,4.89,1.0,118.321,125.461,0.2,1.104,65.661,62.235,63.94,104.608,119.788
5.699999999999996,5.34,1.0,118.106,125.254,0.2,0.714,64.707,62.223,63.465,104.63,119.706
5.799999999999995,244.935,0.652,239.57,717.646,0.2,2.324,63.903,57.713,61.357,113.897,123.725
5.899999999999995,297.981,0.391,399.809,718.748,0.2,2.659,61.882,51.557,57.374,141.433,155.616
5.999999999999995,4.503,0.826,147.7,155.896,0.2,3.436,65.164,52.894,62.198,139.423,146.845
6.099999999999994,6.109,1.0,152.875,167.217,0.2,1.521,67.392,63.1,65.101,143.603,152.323
6.199999999999994,17.941,1.0,175.287,205.316,0.2,3.383,76.116,66.216,70.403,151.553,174.075
6.299999999999994,19.572,1.0,212.763,242.916,0.2,1.683,77.706,72.742,75.496,181.924,212.027
6.399999999999993,21.369,0.783,242.272,320.731,0.2,3.868,76.013,62.442,69.87,219.303,242.184
6.499999999999993,228.684,0.217,346.647,755.714,0.2,2.718,68.51,58.028,64.027,241.65,244.846
6.5999999999999925,316.919,0.435,395.881,783.279,0.2,5.376,70.429,55.211,63.024,149.372,150.932
6.699999999999992,3.096,0.87,152.598,158.144,0.2,1.602,71.118,65.355,69.055,145.798,151.24
6.799999999999992,4.716,1.0,156.297,175.109,0.2,2.75,69.436,60.609,65.425,146.883,156.109
6.8999999999999915,6.983,0.696,149.589,157.65,0.2,4.324,70.853,59.246,65.069,137.203,151.028
6.999999999999991,15.263,0.391,134.486,146.362,0.2,3.679,70.709,58.466,64.926,107.999,142.148
7.099999999999991,13.894,0.435,121.905,142.943,0.2,2.631,65.296,57.163,62.356,108.016,115.466
7.19999999999999,5.402,0.304,134.61,143.139,0.2,3.962,70.751,57.801,65.308,127.783,133.323
