t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.359,59.28,51.555,54.965,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.693,59.264,53.971,56.622,-1,-1
0.2,-1,0.0,-1,-1,0.2,1.161,57.536,53.509,55.44,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.704,57.666,54.965,56.26,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.681,57.475,55.0,56.338,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.822,57.797,54.778,56.122,-1,-1
0.6,-1,0.0,-1,-1,0.2,2.262,57.508,50.797,55.335,-1,-1
0.7,-1,0.0,-1,-1,0.2,1.979,57.833,51.849,55.789,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.658,58.055,55.545,56.58,-1,-1
0.8999999999999999,22.268,0.13,246.872,268.673,0.2,0.765,57.441,54.281,55.856,224.164,247.779
0.9999999999999999,16.633,0.696,212.316,262.56,0.2,5.553,69.707,55.425,63.232,197.103,206.283
1.0999999999999999,150.455,0.913,245.06,696.839,0.2,4.186,69.729,57.437,66.507,163.999,202.704
1.2,9.497,0.217,188.784,197.609,0.2,3.793,65.792,51.22,57.588,173.864,192.471
1.3,16.93,0.565,247.001,276.447,0.2,4.642,69.45,54.68,63.957,232.382,237.864
1.4000000000000001,27.549,1.0,272.542,308.345,0.2,2.752,73.74,64.462,69.735,232.396,281.879
1.5000000000000002,11.346,1.0,306.488,329.546,0.2,1.474,75.527,70.539,73.425,287.943,305.863
1.6000000000000003,6.171,1.0,316.64,328.658,0.2,1.07,75.623,71.09,73.856,303.768,317.659
1.7000000000000004,18.205,1.0,300.136,321.91,0.2,2.363,75.342,67.699,72.094,260.472,303.929
1.8000000000000005,35.433,1.0,252.067,299.446,0.2,2.48,76.454,68.766,73.414,182.956,256.272
1.9000000000000006,25.782,0.391,222.213,250.881,0.2,5.118,75.293,61.202,66.617,183.592,228.58
2.0000000000000004,19.435,0.565,206.087,250.745,0.2,1.484,67.111,62.373,65.423,191.164,197.869
2.1000000000000005,6.079,1.0,201.244,211.087,0.2,2.998,74.189,66.171,70.516,191.228,201.07
2.2000000000000006,5.729,1.0,208.296,223.465,0.2,5.325,74.159,61.153,68.804,200.575,206.846
2.3000000000000007,13.383,1.0,204.162,223.317,0.2,3.785,72.037,61.203,67.095,181.907,204.987
2.400000000000001,11.736,1.0,184.756,213.758,0.2,2.237,71.23,64.411,68.064,166.635,182.727
2.500000000000001,4.629,0.957,173.826,182.984,0.2,1.659,71.205,66.143,68.47,166.761,172.92
2.600000000000001,3.31,0.348,171.805,177.807,0.2,2.293,68.127,61.414,64.022,167.489,171.886
2.700000000000001,12.496,0.522,173.995,207.197,0.2,2.664,68.13,60.407,64.514,164.624,169.286
2.800000000000001,11.835,1.0,180.712,194.925,0.2,0.867,68.443,65.712,67.131,164.787,179.198
2.9000000000000012,9.987,1.0,196.458,217.649,0.2,3.067,68.965,59.138,65.028,179.174,194.538
3.0000000000000013,8.521,0.609,202.144,217.511,0.2,2.829,68.908,61.158,65.215,186.308,201.083
3.1000000000000014,105.744,0.391,762.906,843.444,0.2,1.166,63.542,59.52,61.877,619.573,828.447
3.2000000000000015,5.835,0.478,835.054,843.48,0.2,3.368,63.402,52.448,57.066,827.071,832.841
3.3000000000000016,5.925,0.391,231.216,244.17,0.2,8.55,74.238,52.751,61.734,224.569,229.302
