t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.042,39.714,35.852,37.535,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.82,39.166,36.5,37.717,-1,-1
0.2,5.708,0.217,115.954,124.785,0.2,12.895,70.76,36.538,49.739,110.849,112.918
0.30000000000000004,6.476,0.435,110.463,124.473,0.2,6.447,71.16,52.428,62.232,101.351,110.547
0.4,4.433,0.565,109.428,115.982,0.2,2.75,56.283,47.685,50.983,99.991,109.115
0.5,13.199,0.696,133.249,149.179,0.2,9.241,70.35,47.568,60.94,104.465,137.023
0.6,3.371,1.0,140.392,145.847,0.2,2.091,70.025,62.564,65.667,133.866,141.124
0.7,13.208,1.0,128.598,145.506,0.2,1.079,66.648,63.801,65.57,106.942,132.101
0.7999999999999999,6.846,0.739,111.014,125.568,0.2,4.753,66.377,52.607,61.256,103.705,108.431
0.8999999999999999,3.938,0.348,110.427,115.706,0.2,4.171,66.257,50.142,56.596,103.425,110.047
0.9999999999999999,2.333,0.739,116.713,120.04,0.2,5.354,67.436,50.598,64.53,110.736,117.468
1.0999999999999999,4.66,1.0,114.356,119.982,0.2,1.851,67.214,62.018,65.514,106.41,115.872
1.2,2.974,1.0,106.508,113.674,0.2,0.777,64.056,60.887,62.332,103.436,104.773
1.3,0.736,0.522,104.462,105.674,0.2,2.636,62.464,55.671,59.385,102.997,104.606
1.4000000000000001,7.5,0.391,117.872,124.472,0.2,5.777,65.116,46.765,58.157,105.652,120.917
1.5000000000000002,5.007,0.913,124.461,135.751,0.2,3.9,65.957,52.039,63.395,112.485,125.139
1.6000000000000003,4.923,0.609,123.784,130.919,0.2,5.483,68.2,51.865,60.829,113.834,124.138
1.7000000000000004,4.025,0.348,121.726,127.074,0.2,4.522,65.737,49.46,56.367,114.037,122.544
1.8000000000000005,1.205,0.13,104.132,105.117,0.2,4.06,59.743,44.464,52.489,102.743,104.758
1.9000000000000006,1.088,0.087,105.331,106.1,0.2,5.817,59.83,42.234,48.266,104.562,105.331
2.0000000000000004,2.547,0.609,104.627,110.022,0.2,8.275,64.826,44.062,57.273,101.539,103.947
2.1000000000000005,0.862,0.913,103.455,104.697,0.2,5.347,62.4,47.49,57.206,101.776,103.894
2.2000000000000006,8.087,0.739,111.672,128.867,0.2,8.547,67.966,46.689,55.511,102.395,112.905
2.3000000000000007,4.82,1.0,120.09,136.278,0.2,1.383,68.006,63.851,65.719,112.185,119.087
2.400000000000001,2.398,1.0,120.788,123.23,0.2,0.731,66.537,64.135,65.283,113.392,121.468
2.500000000000001,2.736,1.0,119.223,123.134,0.2,6.986,65.785,47.134,57.915,112.707,119.716
2.600000000000001,7.657,0.826,115.114,123.423,0.2,7.407,66.882,46.916,56.611,102.503,119.173
2.700000000000001,2.043,0.652,103.838,108.406,0.2,3.875,66.815,53.213,61.254,100.446,103.376
2.800000000000001,5.247,0.478,107.645,115.741,0.2,6.533,70.021,52.65,59.007,101.546,109.215
2.9000000000000012,1.739,0.826,111.347,115.622,0.2,1.858,69.933,62.128,66.82,107.613,111.123
3.0000000000000013,2.194,0.957,109.666,113.54,0.2,0.732,67.058,64.797,66.149,106.271,109.449
3.1000000000000014,3.065,1.0,104.273,110.082,0.2,1.418,68.948,64.598,66.871,99.575,104.099
3.2000000000000015,32.144,0.522,115.811,189.919,0.2,2.938,68.939,61.058,64.261,99.939,102.866
3.3000000000000016,3.515,0.478,186.661,191.709,0.2,1.189,63.89,60.695,62.381,181.178,186.833
3.4000000000000017,3.367,0.261,186.474,191.8,0.2,3.099,63.138,52.167,59.831,182.306,185.303
3.5000000000000018,2.453,0.174,122.25,125.927,0.2,5.037,58.921,43.054,49.742,120.452,121.078
3.600000000000002,3.637,0.087,123.856,126.428,0.2,2.605,46.105,37.58,41.471,121.285,123.856
3.700000000000002,-1,0.0,-1,-1,0.2,1.739,42.951,36.215,38.732,-1,-1
3.800000000000002,-1,0.0,-1,-1,0.2,3.757,47.07,35.99,40.371,-1,-1
3.900000000000002,4.85,0.478,104.77,116.466,0.2,11.714,66.332,36.362,54.758,100.226,103.464
4.000000000000002,2.718,0.391,103.561,107.568,0.2,5.139,66.362,52.019,59.505,100.322,103.24
4.100000000000001,1.24,0.348,105.749,107.231,0.2,6.775,68.857,50.012,60.25,103.964,105.847
4.200000000000001,3.199,0.957,107.396,113.017,0.2,2.08,69.12,62.151,67.374,100.137,106.733
4.300000000000001,4.102,0.957,114.608,120.117,0.2,1.728,69.646,62.31,67.512,104.955,114.961
4.4,1.461,1.0,119.135,121.003,0.2,0.848,70.999,68.181,69.926,115.412,119.454
4.5,1.09,1.0,119.137,120.918,0.2,4.324,71.024,58.695,66.406,116.362,119.165
4.6,1.032,1.0,119.207,121.152,0.2,6.016,64.199,46.333,53.923,116.981,119.236
4.699999999999999,1.155,1.0,119.519,120.888,0.2,2.255,47.976,41.728,44.348,116.35,119.901
4.799999999999999,1.981,0.652,119.04,121.779,0.2,1.983,44.303,37.863,40.479,114.924,119.825
4.899999999999999,12.038,0.522,113.018,138.384,0.2,13.697,68.382,37.53,52.799,101.161,107.685
4.999999999999998,4.896,0.87,105.813,120.719,0.2,7.29,68.395,48.952,59.559,100.149,105.338
5.099999999999998,2.989,0.696,106.037,110.426,0.2,7.835,69.892,48.887,58.738,100.0,105.822
5.1999999999999975,4.16,0.957,111.507,117.83,0.2,2.614,70.755,62.507,67.883,103.495,111.012
5.299999999999997,1.8,1.0,117.116,119.098,0.2,1.674,70.765,66.395,68.633,113.001,117.799
5.399999999999997,1.003,1.0,119.527,121.497,0.2,1.343,67.078,62.362,65.84,117.831,119.427
5.4999999999999964,1.606,1.0,120.88,125.526,0.2,4.275,64.958,51.135,59.15,118.556,120.434
5.599999999999996,5.598,0.913,118.061,125.812,0.2,6.819,67.292,44.868,52.96,102.736,118.918
5.699999999999996,7.96,0.957,107.597,131.193,0.2,5.557,68.724,46.919,62.453,100.39,105.209
5.799999999999995,5.386,1.0,108.759,119.334,0.2,4.895,72.179,58.391,67.392,100.748,107.83
5.899999999999995,7.362,1.0,120.526,131.068,0.2,1.938,71.22,65.185,67.846,107.081,119.669
5.999999999999995,5.547,1.0,123.155,131.148,0.2,3.301,68.088,56.495,65.326,108.228,123.641
6.099999999999994,8.353,1.0,116.123,137.369,0.2,5.746,67.861,51.932,59.968,101.814,116.672
6.199999999999994,4.516,0.913,111.242,120.902,0.2,2.385,70.098,60.863,66.879,103.914,109.779
6.299999999999994,2.27,1.0,115.266,117.692,0.2,2.538,72.363,64.607,68.945,109.558,116.022
6.399999999999993,1.07,1.0,116.145,117.771,0.2,1.093,68.044,64.281,66.306,113.018,116.196
6.499999999999993,1.345,1.0,116.734,118.415,0.2,6.174,67.433,48.854,58.542,113.079,117.04
6.5999999999999925,1.369,0.522,117.639,119.845,0.2,3.002,55.354,45.824,48.492,115.508,117.348
6.699999999999992,-1,0.0,-1,-1,0.2,2.451,47.867,39.778,43.994,-1,-1
6.799999999999992,-1,0.0,-1,-1,0.2,4.751,53.244,39.357,45.373,-1,-1
6.8999999999999915,3.195,0.478,111.583,118.956,0.2,10.206,68.825,44.092,56.825,108.018,111.279
6.999999999999991,1.961,1.0,112.207,114.676,0.2,0.768,69.626,67.189,68.539,107.688,112.875
7.099999999999991,1.955,1.0,112.29,114.705,0.2,5.24,69.573,55.789,64.63,107.554,112.976
7.19999999999999,2.572,1.0,111.987,119.819,0.2,1.941,59.245,52.354,55.765,107.742,111.69
7.29999999999999,5.252,1.0,107.807,119.836,0.2,4.194,65.108,53.818,61.316,100.582,106.941
7.39999999999999,2.068,0.957,104.263,107.497,0.2,3.726,66.532,54.513,62.279,100.587,104.501
7.499999999999989,3.182,1.0,109.112,114.632,0.2,1.748,69.142,62.772,66.676,104.667,108.799
7.599999999999989,3.011,1.0,111.588,118.177,0.2,1.564,68.009,63.278,65.66,106.818,111.705
7.699999999999989,1.82,1.0,108.644,113.111,0.2,1.015,67.946,64.308,66.248,105.477,108.424
7.799999999999988,1.817,1.0,109.078,112.478,0.2,0.755,68.917,66.405,68.123,105.515,109.353
7.899999999999988,2.385,1.0,108.4,112.245,0.2,0.905,68.661,65.89,67.256,102.057,108.932
7.999999999999988,2.133,1.0,104.848,108.692,0.2,0.791,67.599,64.564,65.927,102.209,104.863
8.099999999999987,4.101,1.0,108.263,113.917,0.2,1.004,68.815,65.644,67.321,102.205,108.83
8.199999999999987,3.464,1.0,115.095,122.418,0.2,2.629,68.795,60.76,63.953,109.297,114.206
8.299999999999986,2.92,0.87,118.136,122.742,0.2,5.019,67.868,51.951,60.159,112.427,118.124
8.399999999999986,2.822,0.261,120.112,123.383,0.2,3.175,68.0,55.223,62.811,115.713,119.843
8.499999999999986,-1,0.0,-1,-1,0.2,5.978,61.164,45.35,51.087,-1,-1
8.599999999999985,-1,0.0,-1,-1,0.2,1.394,46.514,42.018,44.56,-1,-1
8.699999999999985,-1,0.0,-1,-1,0.2,1.467,47.648,43.374,45.977,-1,-1
8.799999999999985,-1,0.0,-1,-1,0.2,1.407,48.267,43.238,45.936,-1,-1
8.899999999999984,16.419,0.174,128.889,142.568,0.2,3.715,56.067,39.89,44.188,104.361,136.134
8.999999999999984,3.776,0.609,106.801,113.688,0.2,10.835,68.517,39.336,59.98,102.568,105.443
9.099999999999984,2.625,1.0,106.501,111.465,0.2,1.154,70.341,66.429,68.29,102.382,106.029
9.199999999999983,2.311,1.0,111.325,115.224,0.2,1.496,70.346,66.056,68.639,107.079,111.788
9.299999999999983,2.896,1.0,116.049,119.962,0.2,1.419,69.869,65.848,67.787,110.504,116.625
9.399999999999983,3.292,1.0,117.554,119.662,0.2,5.539,69.893,54.522,63.144,103.22,118.253
9.499999999999982,5.607,0.913,112.25,119.758,0.2,4.865,68.419,54.473,62.406,103.895,110.395
9.599999999999982,2.883,0.87,105.873,110.215,0.2,5.613,66.151,50.117,58.89,99.969,106.72
9.699999999999982,3.052,0.913,107.012,110.956,0.2,7.179,69.278,50.006,62.069,100.108,107.679
9.799999999999981,5.0,1.0,112.434,117.921,0.2,1.202,71.787,67.953,69.428,100.961,113.309
9.89999999999998,3.118,1.0,115.024,117.862,0.2,4.787,71.815,58.423,67.802,104.739,116.13
9.99999999999998,6.124,0.913,109.712,117.352,0.2,4.54,65.77,51.363,59.735,100.121,112.856
10.09999999999998,8.063,1.0,103.97,137.763,0.2,0.664,64.979,62.006,63.69,99.831,101.412
10.19999999999998,0.49,1.0,100.726,102.144,0.2,0.582,63.521,61.034,62.684,99.919,100.669
10.29999999999998,0.68,0.826,100.802,102.184,0.2,6.011,62.548,47.909,54.966,99.696,100.564
