t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.911,41.277,38.243,39.688,-1,-1
0.1,-1,0.0,-1,-1,0.2,2.186,45.674,37.783,40.204,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.384,45.599,35.628,38.796,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.264,38.549,34.467,36.34,-1,-1
0.4,-1,0.0,-1,-1,0.2,1.04,38.516,34.736,36.359,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.566,37.45,34.79,36.361,-1,-1
0.6,18.642,0.609,203.051,254.874,0.2,12.963,66.103,36.09,54.421,188.374,195.15
0.7,3.98,0.957,193.061,202.493,0.2,7.249,64.91,46.895,55.861,187.031,192.346
0.7999999999999999,23.824,0.783,218.241,256.614,0.2,8.79,71.315,48.375,59.003,189.872,231.652
0.8999999999999999,7.987,1.0,242.909,257.583,0.2,1.117,71.288,67.378,69.147,230.82,241.27
0.9999999999999999,8.33,1.0,247.026,258.295,0.2,1.058,68.805,65.528,67.13,224.975,248.063
1.0999999999999999,22.517,1.0,218.802,252.031,0.2,1.225,67.413,63.756,65.963,187.188,218.457
1.2,253.321,0.652,315.473,806.491,0.2,3.887,65.629,54.64,61.239,174.58,196.603
1.3,267.213,0.696,356.086,806.677,0.2,5.361,67.457,52.446,61.529,201.947,204.216
1.4000000000000001,2.809,1.0,205.935,209.799,0.2,1.219,69.116,65.552,67.822,201.909,206.584
1.5000000000000002,4.194,1.0,205.201,209.843,0.2,2.665,68.664,61.142,64.822,195.599,206.199
1.6000000000000003,6.661,1.0,194.378,204.677,0.2,0.668,62.804,60.08,61.143,183.383,193.453
1.7000000000000004,5.997,1.0,189.085,200.212,0.2,3.696,61.304,51.756,56.809,176.998,188.779
1.8000000000000005,12.507,0.652,211.312,244.292,0.2,7.573,67.758,47.74,58.763,184.66,210.922
1.9000000000000006,46.295,1.0,184.667,238.149,0.2,2.626,68.295,60.094,65.8,105.78,211.152
2.0000000000000004,46.797,1.0,182.572,243.989,0.2,3.327,66.957,57.359,61.988,101.462,204.641
2.1000000000000005,12.901,0.87,212.274,229.286,0.2,5.116,59.408,45.611,52.191,177.712,211.862
2.2000000000000006,19.567,0.783,195.025,229.078,0.2,7.32,66.599,45.81,57.703,176.718,185.65
2.3000000000000007,3.377,1.0,180.673,186.828,0.2,5.938,62.408,43.891,55.811,175.334,180.465
2.400000000000001,16.362,0.826,191.987,238.4,0.2,8.043,66.167,40.57,49.762,174.533,184.027
2.500000000000001,6.017,0.826,208.182,231.216,0.2,5.547,66.851,45.615,63.783,203.502,206.813
2.600000000000001,4.543,1.0,211.781,219.602,0.2,0.696,67.746,65.668,66.451,204.859,211.694
2.700000000000001,4.972,1.0,221.5,228.37,0.2,1.428,67.535,61.738,65.097,212.621,223.114
2.800000000000001,13.482,1.0,233.186,277.611,0.2,5.136,65.446,46.77,58.649,220.837,227.442
2.9000000000000012,14.786,1.0,234.202,282.107,0.2,3.789,56.769,42.379,49.021,220.211,228.977
3.0000000000000013,6.282,0.478,229.361,244.393,0.2,3.533,48.25,37.035,40.891,221.633,229.383
3.1000000000000014,-1,0.0,-1,-1,0.2,1.174,38.75,34.413,36.955,-1,-1
3.2000000000000015,13.025,0.304,203.393,221.192,0.2,11.245,63.474,34.379,42.961,190.505,196.764
3.3000000000000016,12.318,0.87,192.076,230.655,0.2,3.833,63.618,46.778,60.442,178.727,188.085
3.4000000000000017,3.32,1.0,188.173,195.454,0.2,5.016,60.293,45.935,56.65,180.034,188.715
3.5000000000000018,11.391,1.0,199.089,232.179,0.2,9.555,68.489,44.388,57.333,183.368,202.37
3.600000000000002,3.474,1.0,204.832,217.595,0.2,2.529,67.558,60.55,63.664,202.059,204.036
3.700000000000002,3.715,1.0,209.126,216.076,0.2,1.09,63.835,60.461,62.605,203.515,210.348
3.800000000000002,6.871,0.826,214.162,237.297,0.2,7.534,63.832,46.329,55.568,208.226,211.809
3.900000000000002,34.533,0.826,211.28,307.7,0.2,7.046,63.046,43.418,52.23,173.93,210.047
4.000000000000002,45.069,1.0,191.495,320.268,0.2,1.554,63.164,58.046,60.361,166.714,173.054
4.100000000000001,1.602,1.0,169.175,172.624,0.2,1.084,59.566,55.289,57.605,166.8,168.862
4.200000000000001,1.182,0.87,169.247,172.213,0.2,1.429,56.879,52.614,54.629,167.318,169.008
4.300000000000001,7.079,0.913,171.521,192.672,0.2,5.621,53.488,39.107,48.451,160.039,169.727
4.4,3.905,0.348,167.031,171.38,0.2,1.883,41.687,36.393,38.248,160.411,168.219
4.5,-1,0.0,-1,-1,0.2,0.981,40.439,36.571,38.748,-1,-1
4.6,-1,0.0,-1,-1,0.2,0.827,41.17,37.891,39.459,-1,-1
4.699999999999999,-1,0.0,-1,-1,0.2,1.417,39.817,35.103,37.735,-1,-1
4.799999999999999,4.273,0.174,650.238,655.341,0.2,9.166,58.48,33.552,40.586,644.837,650.647
4.899999999999999,173.61,0.783,275.558,653.47,0.2,6.906,67.714,40.032,60.974,189.054,199.298
4.999999999999998,5.224,0.565,191.343,199.549,0.2,3.825,63.699,52.26,59.803,182.405,192.094
5.099999999999998,4.977,0.609,205.243,218.042,0.2,4.972,67.731,54.515,62.263,199.199,204.41
5.1999999999999975,33.93,0.957,187.818,206.948,0.2,2.441,67.724,58.838,65.915,102.405,199.27
5.299999999999997,40.949,0.957,132.985,198.721,0.2,3.596,70.555,58.895,66.638,102.341,110.109
5.399999999999997,6.627,1.0,227.023,234.719,0.2,1.018,70.549,66.841,69.08,215.071,226.851
5.4999999999999964,1.842,1.0,234.722,239.535,0.2,3.833,69.8,56.423,66.638,231.27,234.398
5.599999999999996,2.681,1.0,233.942,239.069,0.2,6.476,65.553,46.365,52.891,228.871,234.253
5.699999999999996,19.714,0.739,215.209,235.868,0.2,8.44,67.708,45.977,55.591,189.568,228.724
5.799999999999995,7.301,0.913,192.428,206.285,0.2,7.894,67.625,44.689,56.769,178.741,191.705
5.899999999999995,12.235,1.0,197.141,234.49,0.2,8.805,66.481,44.54,57.587,179.986,195.467
5.999999999999995,8.463,1.0,198.863,215.83,0.2,3.248,69.27,57.953,63.453,186.33,196.771
6.099999999999994,8.124,1.0,211.366,218.382,0.2,2.277,70.327,61.962,67.902,189.117,214.345
6.199999999999994,2.414,1.0,215.707,218.308,0.2,1.694,68.64,64.247,65.832,209.308,215.822
6.299999999999994,3.382,1.0,210.843,217.299,0.2,1.103,64.752,61.564,63.108,206.548,210.32
6.399999999999993,1.253,1.0,208.003,211.047,0.2,0.493,63.158,61.166,62.235,205.536,207.469
6.499999999999993,3.307,1.0,211.739,215.766,0.2,0.903,64.068,61.146,62.961,205.286,212.793
6.5999999999999925,2.063,1.0,215.061,220.221,0.2,2.553,64.585,54.503,63.19,210.972,215.004
6.699999999999992,11.343,1.0,210.581,224.464,0.2,5.184,64.487,48.244,55.232,184.546,212.378
6.799999999999992,16.014,0.609,202.179,226.659,0.2,3.374,58.402,45.906,52.131,181.539,200.357
6.8999999999999915,12.978,0.522,193.09,221.621,0.2,3.807,55.363,43.569,50.618,178.65,189.511
6.999999999999991,8.318,0.739,196.676,221.265,0.2,6.977,63.635,43.586,56.678,185.961,194.881
7.099999999999991,7.092,1.0,202.571,213.05,0.2,0.817,64.207,61.365,62.736,189.94,203.017
7.19999999999999,3.944,1.0,212.672,221.127,0.2,1.377,65.547,61.361,64.008,203.508,213.482
7.29999999999999,2.187,1.0,215.439,221.442,0.2,0.485,65.822,64.041,65.23,211.914,215.165
7.39999999999999,7.031,1.0,207.206,216.843,0.2,2.17,65.829,59.289,62.588,196.367,208.284
7.499999999999989,2.648,1.0,198.514,204.051,0.2,0.566,60.954,59.175,59.997,194.901,197.358
7.599999999999989,2.14,1.0,199.837,202.871,0.2,0.95,61.212,58.07,59.426,196.312,200.11
7.699999999999989,2.346,1.0,200.131,202.706,0.2,0.421,58.904,57.318,58.236,194.582,201.27
7.799999999999988,4.384,1.0,193.497,201.527,0.2,1.049,59.871,56.799,58.399,188.06,192.891
7.899999999999988,4.274,1.0,192.052,201.326,0.2,0.956,60.231,57.284,59.07,187.994,189.924
7.999999999999988,6.0,1.0,201.903,211.38,0.2,0.895,60.342,57.258,59.169,190.072,203.006
8.099999999999987,5.144,0.957,210.195,221.966,0.2,4.999,62.722,44.91,57.282,201.422,210.091
8.199999999999987,10.732,0.87,221.506,248.05,0.2,7.358,64.184,44.459,56.668,201.414,225.319
8.299999999999986,4.073,1.0,228.766,239.208,0.2,5.352,64.191,45.812,58.09,224.584,226.983
8.399999999999986,4.423,1.0,228.47,239.94,0.2,3.961,56.625,44.073,48.047,222.856,227.713
8.499999999999986,15.7,1.0,215.213,238.252,0.2,7.322,61.48,44.091,52.995,192.411,223.159
8.599999999999985,4.145,1.0,195.441,207.499,0.2,0.634,62.343,60.323,61.62,190.893,194.793
8.699999999999985,7.106,1.0,202.186,211.562,0.2,0.711,63.05,60.351,61.34,191.077,204.083
8.799999999999985,4.242,1.0,213.27,218.703,0.2,1.817,65.59,60.441,63.671,205.342,213.711
8.899999999999984,3.114,1.0,217.322,225.632,0.2,2.307,65.902,59.022,63.531,212.206,217.185
8.999999999999984,7.272,1.0,211.791,226.716,0.2,2.204,64.824,58.893,61.793,198.831,212.779
9.099999999999984,14.122,1.0,206.098,252.101,0.2,4.441,62.046,46.769,55.874,177.527,204.392
9.199999999999983,16.596,1.0,202.179,256.361,0.2,5.969,64.804,46.88,59.542,179.871,194.43
9.299999999999983,5.558,1.0,198.441,209.63,0.2,1.628,67.472,62.201,64.467,192.467,196.936
9.399999999999983,3.358,1.0,205.853,210.697,0.2,5.912,67.507,49.848,63.42,199.77,206.111
9.499999999999982,7.604,1.0,204.15,219.47,0.2,6.28,64.572,47.129,53.835,186.266,206.187
9.599999999999982,11.648,1.0,190.803,218.754,0.2,2.99,62.533,50.208,60.277,181.657,184.198
9.699999999999982,4.328,0.87,180.768,184.808,0.2,3.368,61.759,50.93,58.705,171.735,182.777
9.799999999999981,8.416,0.565,181.837,199.829,0.2,4.921,62.704,48.481,54.515,171.701,180.202
9.89999999999998,6.029,0.87,188.646,210.713,0.2,2.071,62.795,52.542,59.548,184.477,186.389
9.99999999999998,5.569,1.0,193.233,205.09,0.2,1.049,60.32,56.42,58.828,184.496,193.546
10.09999999999998,3.709,1.0,199.676,208.017,0.2,4.869,63.585,47.966,56.492,196.143,197.97
