t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,7.568,0.304,778.416,793.092,0.2,3.138,46.061,35.79,43.48,771.148,774.387
0.1,-1,0.0,-1,-1,0.2,7.636,58.328,32.862,38.776,-1,-1
0.2,5.034,0.565,190.467,202.612,0.2,13.428,71.666,32.09,60.799,185.44,188.42
0.30000000000000004,4.451,1.0,186.992,192.743,0.2,2.395,71.647,63.498,69.472,173.1,188.585
0.4,24.107,0.478,195.022,247.406,0.2,3.572,69.47,56.595,62.699,172.542,188.984
0.5,6.975,0.696,244.244,253.439,0.2,6.559,73.75,56.999,68.1,233.612,245.16
0.6,6.287,1.0,245.508,253.346,0.2,1.132,74.616,71.125,73.334,230.453,246.711
0.7,16.213,1.0,226.347,247.894,0.2,1.325,74.604,70.266,73.033,195.166,230.432
0.7999999999999999,12.993,1.0,197.783,226.147,0.2,1.487,72.298,66.762,69.57,184.336,192.691
0.8999999999999999,1.807,0.652,186.79,189.496,0.2,3.22,68.839,60.245,64.259,184.041,187.063
0.9999999999999999,23.018,0.391,225.124,257.596,0.2,4.959,70.539,53.753,61.931,187.814,229.919
1.0999999999999999,11.899,0.913,243.83,266.119,0.2,2.851,72.94,60.925,70.757,228.825,241.747
1.2,12.081,1.0,265.12,278.229,0.2,1.16,73.044,69.077,72.061,240.023,269.809
1.3,9.819,1.0,281.182,300.488,0.2,2.334,73.399,64.329,69.847,271.032,276.43
1.4000000000000001,5.874,1.0,291.199,300.013,0.2,1.323,73.885,69.303,72.968,274.295,291.549
1.5000000000000002,3.082,1.0,292.818,297.03,0.2,3.038,73.706,62.248,71.305,286.809,293.545
1.6000000000000003,3.853,0.565,291.661,296.761,0.2,8.009,71.192,48.281,57.704,284.269,292.539
1.7000000000000004,-1,0.0,-1,-1,0.2,4.557,50.147,38.389,43.434,-1,-1
1.8000000000000005,7.814,0.522,180.483,193.46,0.2,13.13,69.097,38.099,57.716,172.773,179.204
1.9000000000000006,12.006,0.87,184.372,219.911,0.2,6.63,68.243,49.894,60.498,171.395,182.986
2.0000000000000004,11.183,0.87,182.756,218.131,0.2,4.883,67.929,49.47,61.725,165.36,179.618
2.1000000000000005,4.613,1.0,183.267,190.655,0.2,3.276,69.352,58.339,64.854,175.929,182.91
2.2000000000000006,18.203,0.522,194.182,237.065,0.2,3.244,70.116,57.083,61.739,180.349,186.508
2.3000000000000007,16.062,0.739,188.774,236.342,0.2,4.009,70.465,56.693,67.204,173.637,185.929
2.400000000000001,5.257,1.0,177.685,186.711,0.2,0.439,70.091,68.396,69.116,170.651,176.731
2.500000000000001,26.382,1.0,204.265,246.184,0.2,2.331,74.165,68.001,71.061,170.652,199.688
2.600000000000001,14.897,1.0,246.253,261.116,0.2,1.282,77.385,73.442,75.255,213.275,253.514
2.700000000000001,7.415,1.0,266.069,276.858,0.2,2.135,77.404,69.446,74.319,255.91,265.221
2.800000000000001,3.885,1.0,277.059,282.352,0.2,1.549,74.382,69.381,71.388,269.777,278.062
2.9000000000000012,7.456,1.0,279.136,295.052,0.2,4.851,73.876,59.643,67.95,265.393,281.042
3.0000000000000013,3.797,0.261,268.998,274.126,0.2,4.423,64.982,50.428,56.551,265.408,267.606
3.1000000000000014,11.301,0.087,189.297,197.288,0.2,2.974,63.464,50.381,53.634,181.306,189.297
3.2000000000000015,11.048,0.696,176.011,206.272,0.2,6.918,68.061,48.119,59.433,159.841,174.066
3.3000000000000016,9.444,0.565,178.35,190.221,0.2,10.852,70.448,41.471,53.756,159.873,177.271
3.4000000000000017,4.012,0.783,193.757,198.687,0.2,3.081,70.989,57.789,69.211,186.244,194.814
3.5000000000000018,9.199,1.0,189.559,198.759,0.2,1.049,70.99,67.048,69.275,162.405,191.601
3.600000000000002,9.074,0.913,179.75,190.262,0.2,5.617,70.263,53.624,64.546,162.266,184.641
3.700000000000002,5.304,0.826,164.611,174.556,0.2,4.437,70.63,56.132,67.741,149.654,164.947
3.800000000000002,5.627,0.913,162.661,169.099,0.2,6.772,70.468,50.882,64.311,147.32,164.665
3.900000000000002,1.811,1.0,164.015,167.856,0.2,4.732,70.18,55.433,66.795,160.627,163.946
