t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,3.093,1.0,135.799,141.015,0.2,2.035,73.283,66.46,71.603,131.581,134.984
0.1,2.894,0.609,138.388,143.257,0.2,4.34,73.311,62.814,68.386,133.716,138.835
0.2,8.421,0.478,164.434,177.508,0.2,5.835,78.015,62.59,68.987,154.737,164.426
0.30000000000000004,12.091,1.0,176.848,194.027,0.2,2.039,80.906,74.27,77.245,154.667,178.406
0.4,10.901,1.0,178.126,194.07,0.2,1.493,77.767,72.875,75.797,153.901,178.584
0.5,49.851,0.87,229.788,286.369,0.2,1.284,77.714,73.5,75.408,160.309,259.84
0.6,64.998,0.696,175.764,287.914,0.2,4.332,75.578,65.025,70.858,117.986,134.403
0.7,20.283,0.609,170.053,187.115,0.2,6.107,80.387,63.793,71.103,131.775,178.561
0.7999999999999999,6.663,1.0,186.604,198.143,0.2,2.582,80.414,69.908,75.223,174.736,186.439
0.8999999999999999,5.661,0.957,189.647,197.814,0.2,4.451,75.357,63.819,70.135,178.144,189.902
0.9999999999999999,24.391,1.0,161.763,195.071,0.2,2.857,72.144,63.919,68.585,137.027,146.874
1.0999999999999999,9.935,1.0,147.734,168.873,0.2,1.752,73.985,67.978,70.156,136.834,142.604
1.2,9.171,1.0,165.808,179.253,0.2,2.124,74.019,66.605,71.323,150.434,165.875
1.3,5.619,0.696,171.418,181.492,0.2,3.564,76.859,65.959,70.949,162.854,173.444
1.4000000000000001,10.691,0.565,150.498,175.333,0.2,1.828,69.733,64.055,67.062,142.55,145.611
1.5000000000000002,1.573,1.0,144.252,148.245,0.2,2.075,70.465,63.873,68.101,140.626,144.269
1.6000000000000003,2.88,0.739,141.61,144.974,0.2,3.397,67.406,54.882,62.252,137.168,142.933
1.7000000000000004,1.732,0.13,138.599,140.546,0.2,3.947,65.541,52.67,57.889,137.037,138.02
1.8000000000000005,2.757,0.478,134.516,139.159,0.2,8.258,73.619,52.758,63.66,130.662,133.759
1.9000000000000006,2.926,1.0,136.508,140.435,0.2,1.193,74.815,70.849,72.841,130.258,137.207
