t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.049,57.762,54.308,56.138,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.798,57.662,54.949,56.5,-1,-1
0.2,-1,0.0,-1,-1,0.2,3.1,56.371,46.33,52.511,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,5.08,52.179,37.087,42.624,-1,-1
0.4,-1,0.0,-1,-1,0.2,12.159,65.215,35.258,47.273,-1,-1
0.5,5.122,0.304,127.247,135.059,0.2,5.396,66.39,50.985,59.589,120.288,126.666
0.6,6.42,0.565,170.24,180.11,0.2,11.557,82.151,51.157,69.09,157.422,170.922
0.7,7.598,1.0,168.305,179.367,0.2,1.414,82.183,77.071,79.281,150.654,170.122
0.7999999999999999,14.023,1.0,147.95,170.036,0.2,1.821,80.195,73.105,78.182,128.96,146.991
0.8999999999999999,8.845,0.478,138.512,156.123,0.2,3.597,78.889,67.984,71.906,131.69,134.607
0.9999999999999999,1.11,0.696,155.325,156.977,0.2,5.352,82.571,67.833,76.679,153.64,155.152
1.0999999999999999,3.63,1.0,153.085,157.626,0.2,2.191,82.017,73.883,78.333,142.626,154.384
1.2,11.613,1.0,138.257,154.805,0.2,1.822,77.197,70.945,73.938,121.268,139.257
1.3,13.22,0.565,131.228,163.011,0.2,2.357,73.486,66.681,69.453,121.333,126.547
1.4000000000000001,1.109,0.652,158.691,162.043,0.2,6.713,84.179,67.264,76.587,156.851,158.4
1.5000000000000002,4.69,1.0,156.764,160.623,0.2,3.594,84.161,71.794,80.372,140.352,158.408
1.6000000000000003,11.482,0.826,147.359,159.028,0.2,4.162,82.049,67.316,72.491,119.767,151.206
1.7000000000000004,10.398,0.348,138.767,149.35,0.2,7.027,74.783,54.678,64.476,120.823,141.333
1.8000000000000005,49.718,0.478,149.264,249.388,0.2,6.99,74.139,54.365,63.944,114.9,130.637
1.9000000000000006,11.724,0.609,139.212,151.705,0.2,9.6,80.913,55.812,67.895,116.349,144.131
2.0000000000000004,9.375,0.826,141.832,152.077,0.2,3.617,80.803,68.998,77.821,107.307,145.182
2.1000000000000005,10.028,0.435,128.55,143.873,0.2,5.269,78.79,64.257,72.469,118.149,123.52
2.2000000000000006,52.207,0.826,167.696,240.345,0.2,4.768,78.236,64.041,72.189,116.972,131.207
2.3000000000000007,45.559,0.957,150.427,240.315,0.2,5.032,80.533,63.239,75.52,119.279,129.758
2.400000000000001,5.532,1.0,118.218,128.429,0.2,1.076,78.535,74.229,75.549,109.89,118.244
2.500000000000001,4.559,0.957,108.587,116.837,0.2,1.39,77.093,72.843,74.345,100.152,108.228
2.600000000000001,49.039,0.826,160.102,208.36,0.2,1.794,73.878,68.398,71.097,101.701,195.973
2.700000000000001,53.145,0.565,147.839,209.657,0.2,0.934,70.769,68.17,69.712,99.862,101.836
2.800000000000001,53.55,0.348,164.401,212.502,0.2,6.232,68.789,49.847,63.565,99.86,198.194
2.9000000000000012,9.178,0.609,185.934,204.022,0.2,6.411,61.193,40.754,47.629,176.861,181.59
3.0000000000000013,2.391,0.174,179.686,183.019,0.2,6.561,56.399,40.818,48.549,177.672,178.938
3.1000000000000014,-1,0.0,-1,-1,0.2,3.621,56.402,44.687,53.303,-1,-1
3.2000000000000015,-1,0.0,-1,-1,0.2,6.472,51.264,33.481,40.292,-1,-1
3.3000000000000016,4.826,0.435,125.095,132.521,0.2,17.87,75.445,33.513,55.621,118.004,124.951
3.4000000000000017,5.621,0.565,125.373,133.983,0.2,3.756,75.493,64.002,70.292,117.409,125.58
3.5000000000000018,3.356,0.696,135.485,142.386,0.2,4.048,77.613,67.343,73.711,125.66,135.709
3.600000000000002,13.728,1.0,146.977,161.815,0.2,1.902,78.17,72.234,75.6,108.583,151.092
3.700000000000002,23.53,1.0,166.111,252.266,0.2,4.284,82.598,69.881,75.977,134.959,160.261
