t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,5.528,0.304,145.151,154.861,0.2,6.361,60.418,37.204,44.048,138.402,143.403
0.1,-1,0.0,-1,-1,0.2,5.629,60.949,41.527,51.736,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.612,49.94,41.54,45.523,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,1.337,47.55,42.883,44.932,-1,-1
0.4,14.239,0.174,284.464,300.172,0.2,1.477,49.029,43.244,45.468,267.183,286.091
0.5,-1,0.0,-1,-1,0.2,2.422,49.976,42.848,46.046,-1,-1
0.6,-1,0.0,-1,-1,0.2,1.33,50.467,45.957,49.049,-1,-1
0.7,-1,0.0,-1,-1,0.2,1.518,50.437,45.173,47.183,-1,-1
0.7999999999999999,3.692,0.522,174.896,179.369,0.2,11.947,72.935,45.125,59.786,164.767,174.893
0.8999999999999999,2.791,0.913,176.365,181.669,0.2,6.798,72.956,53.165,66.697,170.825,177.018
0.9999999999999999,34.526,0.826,215.303,266.664,0.2,6.472,72.476,53.514,64.251,171.927,226.313
1.0999999999999999,17.053,1.0,256.786,284.197,0.2,1.733,75.115,68.738,72.8,223.786,258.503
1.2,12.731,1.0,265.244,283.878,0.2,1.039,76.268,72.541,73.967,240.611,263.647
1.3,29.169,1.0,228.983,274.246,0.2,1.303,75.405,70.2,72.693,187.329,226.951
1.4000000000000001,14.98,0.739,190.445,223.956,0.2,5.322,72.563,56.928,65.99,171.691,187.882
1.5000000000000002,8.751,0.522,178.787,186.385,0.2,3.838,67.206,56.833,61.988,161.921,182.557
1.6000000000000003,7.463,0.913,190.687,203.128,0.2,2.775,74.129,66.582,70.111,180.959,189.765
1.7000000000000004,5.925,1.0,203.915,211.641,0.2,0.965,74.045,70.326,71.776,194.317,205.347
1.8000000000000005,12.607,1.0,197.78,211.664,0.2,1.31,74.069,68.531,70.719,173.328,201.027
1.9000000000000006,11.69,1.0,172.97,195.974,0.2,0.97,74.23,70.622,72.079,161.902,166.627
2.0000000000000004,1.655,0.739,163.045,166.693,0.2,6.437,72.89,56.641,65.814,160.437,162.731
2.1000000000000005,22.125,0.435,187.47,212.116,0.2,5.178,67.307,51.645,58.147,161.192,198.936
2.2000000000000006,5.952,0.826,196.2,210.831,0.2,3.117,70.088,57.046,67.702,189.828,194.506
2.3000000000000007,3.525,1.0,188.884,194.585,0.2,0.919,70.129,67.222,68.879,182.564,189.202
2.400000000000001,4.969,1.0,184.87,194.816,0.2,2.17,70.081,63.135,67.119,174.381,184.355
2.500000000000001,10.452,1.0,194.897,207.773,0.2,2.141,69.983,63.241,67.347,174.693,196.977
2.600000000000001,2.849,0.826,205.245,208.804,0.2,7.149,69.453,47.464,63.054,198.877,205.506
2.700000000000001,39.855,0.391,231.754,291.236,0.2,3.912,59.829,45.262,49.944,203.916,205.717
2.800000000000001,4.261,0.261,169.358,172.404,0.2,10.249,68.63,43.045,53.161,163.01,171.774
2.9000000000000012,4.229,0.609,168.832,174.283,0.2,8.298,68.707,46.448,59.849,162.262,169.763
3.0000000000000013,7.427,0.609,172.94,189.136,0.2,10.258,70.923,45.77,57.843,163.42,171.863
3.1000000000000014,4.395,1.0,172.181,183.072,0.2,5.396,70.938,53.324,66.69,166.503,171.41
3.2000000000000015,14.772,0.87,182.662,203.094,0.2,8.029,69.13,46.782,60.56,167.736,173.495
3.3000000000000016,8.928,0.957,207.482,220.613,0.2,0.736,70.876,67.773,69.224,192.295,207.064
3.4000000000000017,5.147,1.0,221.457,227.439,0.2,1.5,73.108,68.188,71.145,210.697,223.961
3.5000000000000018,19.313,0.826,218.661,227.431,0.2,8.708,71.922,47.478,60.909,163.653,225.178
3.600000000000002,30.304,0.87,175.942,231.859,0.2,7.221,68.856,47.368,62.497,147.909,159.785
3.700000000000002,17.146,0.87,149.287,160.456,0.2,7.682,67.234,45.404,57.977,101.122,156.791
3.800000000000002,42.011,0.696,190.868,302.038,0.2,10.7,72.96,45.083,63.723,171.553,175.047
3.900000000000002,3.635,1.0,178.507,184.504,0.2,2.456,72.841,64.112,69.279,171.82,177.868
4.000000000000002,3.539,0.87,179.964,183.875,0.2,2.44,69.509,60.503,66.81,171.444,180.61
4.100000000000001,3.485,0.348,176.293,181.53,0.2,4.927,69.542,52.64,61.975,170.846,175.33
