t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.018,89.87,89.8,89.837,-1,-1
0.1,-1,0.043,816.802,816.802,0.2,0.015,89.874,89.818,89.838,816.802,816.802
0.2,14.703,0.565,236.746,267.768,0.2,0.261,89.972,89.02,89.76,223.86,228.998
0.30000000000000004,2.705,0.348,228.24,232.94,0.2,0.487,91.036,88.941,89.966,223.69,227.86
0.4,5.567,0.391,230.022,235.087,0.2,0.839,92.474,89.73,90.542,220.278,232.329
0.5,17.551,1.0,243.799,282.753,0.2,0.424,90.914,89.514,89.966,220.432,235.233
0.6,19.148,0.696,272.316,294.932,0.2,0.492,91.427,89.61,90.149,241.784,276.776
0.7,235.927,0.522,442.278,833.695,0.2,0.595,91.408,89.245,90.0,285.968,328.506
0.7999999999999999,215.83,0.652,415.922,834.589,0.2,0.198,90.321,89.42,89.837,282.075,322.125
0.8999999999999999,14.775,0.391,293.063,322.988,0.2,1.21,93.007,88.649,90.312,278.498,289.968
0.9999999999999999,107.389,0.435,277.228,483.842,0.2,1.742,93.888,88.507,90.951,219.153,228.408
1.0999999999999999,5.915,0.913,220.219,234.488,0.2,1.692,93.532,87.679,89.164,211.917,219.645
1.2,7.793,0.783,213.604,220.845,0.2,0.695,90.763,88.455,89.675,188.076,215.05
1.3,16.569,0.261,216.604,246.457,0.2,0.444,90.755,89.191,89.764,198.532,213.554
1.4000000000000001,11.069,0.652,205.202,240.809,0.2,0.169,90.148,89.543,89.921,197.806,202.062
1.5000000000000002,14.145,1.0,214.63,239.536,0.2,0.06,90.09,89.877,89.987,197.767,211.67
1.6000000000000003,8.883,1.0,236.757,247.304,0.2,0.083,90.07,89.748,89.926,217.389,238.367
1.7000000000000004,15.097,1.0,226.415,247.258,0.2,0.256,90.328,89.226,89.909,204.378,223.515
1.8000000000000005,8.342,1.0,203.382,221.621,0.2,0.191,90.328,89.678,89.977,191.594,201.362
1.9000000000000006,2.008,0.435,195.519,197.623,0.2,0.193,90.306,89.613,89.822,190.881,196.089
2.0000000000000004,5.123,0.304,212.262,222.762,0.2,0.143,90.19,89.613,89.791,207.897,210.648
2.1000000000000005,8.164,0.87,220.406,235.499,0.2,0.098,90.193,89.747,89.916,207.806,220.65
2.2000000000000006,10.277,0.739,238.221,249.256,0.2,0.068,89.956,89.652,89.861,222.017,242.083
2.3000000000000007,5.534,0.304,244.894,249.259,0.2,1.296,93.046,89.42,90.651,234.27,247.619
2.400000000000001,2.824,0.435,209.427,214.832,0.2,1.309,93.464,89.368,90.561,205.898,208.959
2.500000000000001,5.916,1.0,203.763,212.181,0.2,0.288,90.292,89.108,89.592,184.476,205.315
2.600000000000001,9.279,1.0,202.586,221.626,0.2,0.081,89.949,89.64,89.784,186.882,199.857
2.700000000000001,19.466,1.0,225.297,248.631,0.2,0.072,89.967,89.737,89.883,186.606,227.169
2.800000000000001,12.765,1.0,237.098,249.419,0.2,0.198,90.25,89.354,89.877,206.796,241.32
2.9000000000000012,11.883,1.0,216.738,244.473,0.2,0.226,90.269,89.377,89.894,203.472,210.718
3.0000000000000013,10.057,1.0,219.893,240.366,0.2,0.283,90.485,89.389,89.909,208.53,219.3
3.1000000000000014,10.863,0.87,238.894,253.32,0.2,0.129,90.179,89.702,89.863,218.517,241.925
3.2000000000000015,19.881,0.478,261.478,300.299,0.2,0.14,90.184,89.657,89.828,243.153,252.88
3.3000000000000016,35.507,0.522,248.233,303.458,0.2,0.217,90.476,89.531,89.89,211.367,237.807
3.4000000000000017,6.618,0.304,216.533,229.73,0.2,0.333,90.472,89.32,89.838,211.031,214.065
3.5000000000000018,11.303,0.739,202.856,225.531,0.2,0.211,90.233,89.263,89.894,183.446,202.719
3.600000000000002,5.831,1.0,191.836,206.355,0.2,0.033,89.877,89.755,89.833,183.945,189.615
3.700000000000002,0.677,1.0,189.152,190.295,0.2,0.024,89.894,89.8,89.854,188.168,189.24
3.800000000000002,5.607,1.0,184.52,190.03,0.2,0.168,90.156,89.545,89.882,173.372,186.731
3.900000000000002,241.473,0.87,292.064,789.619,0.2,0.13,90.153,89.757,89.9,155.463,177.539
4.000000000000002,292.482,0.304,590.725,793.479,0.2,0.032,89.882,89.762,89.802,159.819,739.777
4.100000000000001,32.372,0.217,644.959,688.527,0.2,0.039,89.927,89.782,89.816,614.469,629.427
4.200000000000001,27.429,0.391,650.542,686.262,0.2,0.039,89.932,89.803,89.852,611.804,663.388
4.300000000000001,2.501,0.435,208.029,212.643,0.2,0.064,89.993,89.774,89.855,204.715,207.895
4.4,7.96,0.826,201.864,212.219,0.2,0.057,89.987,89.762,89.832,185.742,203.776
4.5,10.305,0.783,202.857,224.002,0.2,0.132,90.19,89.682,89.863,185.161,200.876
4.6,3.72,0.217,211.803,217.179,0.2,0.349,90.827,89.579,89.992,207.684,212.066
4.699999999999999,4.584,0.522,211.347,218.73,0.2,0.352,90.826,89.636,90.046,200.885,212.082
4.799999999999999,18.992,0.261,225.779,243.545,0.2,0.354,90.775,89.131,89.821,206.034,226.569
4.899999999999999,11.227,0.696,255.49,276.701,0.2,0.379,90.811,89.005,89.903,243.13,252.303
4.999999999999998,9.211,1.0,268.642,277.027,0.2,0.118,90.141,89.722,89.894,245.596,272.965
5.099999999999998,21.298,1.0,253.056,276.088,0.2,0.072,90.006,89.784,89.863,213.591,258.27
5.1999999999999975,14.537,1.0,217.242,249.675,0.2,0.03,89.903,89.818,89.852,203.435,208.95
5.299999999999997,12.117,1.0,204.776,252.744,0.2,0.057,89.975,89.726,89.874,191.288,203.694
5.399999999999997,14.668,0.565,203.081,246.692,0.2,0.097,90.059,89.714,89.818,191.296,199.333
5.4999999999999964,16.495,0.391,217.009,241.719,0.2,0.136,90.283,89.721,89.858,194.519,223.577
5.599999999999996,8.178,0.783,238.938,248.479,0.2,0.196,90.288,89.405,89.826,223.044,241.204
5.699999999999996,5.394,0.913,244.467,251.288,0.2,0.247,90.318,89.43,89.909,230.986,245.806
5.799999999999995,11.08,1.0,231.744,251.192,0.2,0.111,90.098,89.694,89.877,220.536,227.184
5.899999999999995,8.933,1.0,229.173,248.82,0.2,0.07,89.975,89.73,89.874,220.552,225.273
5.999999999999995,20.881,1.0,256.873,308.366,0.2,0.205,90.323,89.709,89.927,227.959,254.8
6.099999999999994,7.582,0.348,271.583,283.026,0.2,0.068,89.972,89.711,89.803,261.365,271.171
6.199999999999994,60.727,0.261,742.139,850.117,0.2,0.071,89.969,89.752,89.835,674.07,726.798
6.299999999999994,25.977,0.13,681.065,703.666,0.2,0.018,89.831,89.771,89.797,651.485,691.546
6.399999999999993,-1,0.043,809.263,809.263,0.2,0.055,89.965,89.782,89.847,809.263,809.263
6.499999999999993,203.222,0.609,314.418,806.885,0.2,0.073,90.061,89.777,89.889,217.953,226.479
6.5999999999999925,7.093,1.0,216.966,234.264,0.2,0.068,90.068,89.786,89.886,208.335,217.759
6.699999999999992,4.177,1.0,213.156,223.702,0.2,0.092,90.126,89.796,89.895,208.288,211.692
6.799999999999992,9.844,1.0,227.248,239.289,0.2,0.062,90.02,89.788,89.877,211.792,230.036
6.8999999999999915,14.642,0.87,224.846,239.314,0.2,0.071,90.022,89.783,89.853,196.584,231.542
6.999999999999991,6.571,0.435,206.648,219.269,0.2,0.056,90.015,89.788,89.853,196.874,206.651
7.099999999999991,7.476,0.739,207.573,221.442,0.2,0.102,90.092,89.679,89.886,194.604,206.507
7.19999999999999,20.399,1.0,228.805,258.193,0.2,0.075,90.099,89.797,89.888,196.578,229.208
7.29999999999999,8.702,0.739,253.085,266.609,0.2,0.205,90.232,89.345,89.819,236.363,254.528
7.39999999999999,242.622,0.348,365.105,651.75,0.2,0.354,90.23,88.916,89.809,102.541,260.293
7.499999999999989,290.375,0.391,394.987,807.739,0.2,0.494,90.696,88.957,89.919,195.833,204.237
7.599999999999989,21.205,0.13,247.082,269.785,0.2,0.257,90.279,89.162,89.805,227.789,243.671
7.699999999999989,5.666,0.652,226.023,235.673,0.2,0.063,89.949,89.747,89.831,218.249,226.383
7.799999999999988,12.165,0.913,238.917,258.571,0.2,0.033,89.942,89.792,89.849,219.165,241.035
7.899999999999988,8.292,0.652,258.106,274.828,0.2,0.067,90.003,89.748,89.853,248.075,259.816
7.999999999999988,5.911,0.478,260.944,272.283,0.2,0.063,89.995,89.792,89.866,251.309,261.639
8.099999999999987,6.918,0.261,212.371,222.005,0.2,0.023,89.866,89.792,89.829,203.43,212.085
8.199999999999987,12.472,0.87,201.199,222.793,0.2,0.018,89.869,89.803,89.847,184.937,200.004
8.299999999999986,17.66,1.0,213.457,236.022,0.2,0.219,90.393,89.422,89.856,185.15,216.834
8.399999999999986,9.466,0.913,235.968,259.395,0.2,0.054,89.992,89.781,89.841,221.477,237.25
8.499999999999986,9.29,0.565,246.346,261.742,0.2,0.131,90.172,89.659,89.844,231.538,241.78
8.599999999999985,191.367,0.435,289.233,830.857,0.2,0.231,90.244,89.512,89.844,202.486,233.095
8.699999999999985,5.696,0.783,204.704,221.711,0.2,0.144,90.183,89.62,89.871,198.874,202.507
8.799999999999985,6.117,1.0,207.167,222.346,0.2,0.177,90.338,89.695,89.869,201.608,205.449
8.899999999999984,6.996,1.0,214.845,224.733,0.2,0.139,90.297,89.755,89.858,204.088,213.289
8.999999999999984,8.737,1.0,206.928,223.773,0.2,0.052,89.938,89.728,89.836,191.316,208.869
9.099999999999984,3.558,0.522,197.707,203.78,0.2,0.037,89.928,89.789,89.855,191.954,197.142
9.199999999999983,179.805,0.478,244.865,786.908,0.2,0.268,90.632,89.663,89.924,184.128,191.783
9.299999999999983,277.663,0.348,337.962,789.543,0.2,0.436,90.636,88.966,89.815,184.856,189.012
9.399999999999983,18.61,0.348,186.209,224.736,0.2,0.125,90.149,89.633,89.861,170.144,179.113
9.499999999999982,238.15,0.478,288.202,770.611,0.2,0.078,89.905,89.637,89.817,167.06,179.846
9.599999999999982,326.44,0.435,355.78,806.905,0.2,0.038,89.905,89.77,89.827,103.691,107.998
9.699999999999982,362.863,0.348,367.119,830.092,0.2,0.013,89.85,89.801,89.82,100.004,106.765
9.799999999999981,-1,0.0,-1,-1,0.2,0.009,89.852,89.816,89.834,-1,-1
9.89999999999998,9.944,0.478,787.578,800.955,0.2,0.018,89.864,89.796,89.83,766.841,790.953
9.99999999999998,9.578,0.391,786.492,795.787,0.2,0.011,89.863,89.824,89.838,767.847,790.037
10.09999999999998,4.815,0.304,210.64,221.155,0.2,0.142,90.1,89.49,89.818,207.74,208.443
10.19999999999998,5.089,0.87,213.646,220.073,0.2,0.131,90.169,89.733,89.939,207.309,213.402
10.29999999999998,8.584,1.0,226.018,241.075,0.2,0.103,90.098,89.546,89.818,213.209,221.815
10.399999999999979,31.411,1.0,261.504,311.361,0.2,0.184,90.176,89.484,89.847,225.336,241.395
10.499999999999979,13.899,1.0,302.23,322.17,0.2,0.115,89.952,89.543,89.808,282.955,302.701
10.599999999999978,34.5,1.0,267.365,320.973,0.2,0.176,90.247,89.539,89.906,225.331,266.902
