t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,13.316,0.435,790.678,813.106,0.2,2.15,26.774,19.819,23.296,772.716,789.216
0.1,4.958,0.652,797.264,806.184,0.2,1.911,26.733,20.317,23.487,787.122,796.721
0.2,11.68,0.348,788.262,800.941,0.2,1.868,25.478,18.037,22.173,767.767,791.233
0.30000000000000004,9.974,0.087,667.525,674.577,0.2,1.884,24.456,18.007,21.273,660.472,667.525
0.4,-1,0.043,791.413,791.413,0.2,2.058,25.197,18.359,21.311,791.413,791.413
0.5,8.062,0.13,781.991,787.241,0.2,2.403,27.499,18.756,23.809,772.708,786.022
0.6,-1,0.043,789.176,789.176,0.2,2.462,28.128,21.107,24.191,789.176,789.176
0.7,10.214,0.13,778.846,790.529,0.2,1.869,25.477,18.722,21.929,771.605,774.403
0.7999999999999999,12.335,0.435,195.308,208.263,0.2,10.795,49.424,19.315,34.879,174.402,198.699
0.8999999999999999,30.511,1.0,220.982,284.872,0.2,2.647,50.168,40.166,47.445,178.051,208.945
0.9999999999999999,27.806,0.783,270.821,297.645,0.2,7.623,52.871,29.039,45.672,217.458,283.29
1.0999999999999999,14.077,0.348,299.8,331.237,0.2,9.008,52.531,23.772,34.125,287.653,295.812
1.2,28.195,0.391,281.598,330.853,0.2,7.763,53.021,29.429,40.989,244.692,285.597
1.3,22.496,0.609,247.602,266.766,0.2,8.025,54.878,31.995,42.621,192.854,254.791
1.4000000000000001,13.648,0.696,230.481,245.059,0.2,9.741,58.63,33.436,49.743,194.95,236.148
1.5000000000000002,6.873,1.0,229.184,238.318,0.2,3.582,58.556,48.825,54.98,217.448,227.496
1.6000000000000003,222.115,0.739,316.407,803.522,0.2,4.094,56.269,42.324,51.062,188.507,223.153
1.7000000000000004,248.845,0.478,382.975,803.638,0.2,2.568,54.708,45.45,49.85,232.382,235.882
1.8000000000000005,133.178,0.957,284.613,695.926,0.2,5.034,61.997,45.539,55.0,233.701,237.238
1.9000000000000006,13.412,1.0,263.214,281.952,0.2,7.77,62.021,42.166,55.362,234.487,264.114
2.0000000000000004,11.284,1.0,264.601,281.654,0.2,5.481,56.269,42.06,50.665,237.965,265.396
2.1000000000000005,16.125,1.0,239.32,270.713,0.2,1.934,55.986,49.898,52.571,219.173,235.506
2.2000000000000006,10.285,1.0,215.591,231.296,0.2,2.317,52.963,46.942,50.165,192.648,218.277
2.3000000000000007,12.747,0.522,200.565,215.163,0.2,3.568,51.131,41.115,45.99,173.71,204.559
2.400000000000001,11.439,0.304,205.489,220.104,0.2,3.916,52.856,42.243,46.736,189.576,206.159
2.500000000000001,16.897,0.913,188.324,225.514,0.2,2.657,53.157,45.489,50.524,171.37,181.511
2.600000000000001,5.296,1.0,170.151,178.56,0.2,3.863,48.562,36.635,43.064,159.874,171.544
2.700000000000001,11.294,1.0,159.946,167.544,0.2,3.663,45.994,35.282,42.036,128.228,163.701
2.800000000000001,24.341,0.609,169.762,200.76,0.2,4.15,45.842,31.989,40.81,129.429,163.48
2.9000000000000012,18.183,0.783,212.224,250.657,0.2,2.058,48.43,39.01,42.852,193.835,204.42
3.0000000000000013,39.73,1.0,263.11,320.412,0.2,3.65,53.675,43.076,49.522,204.172,262.823
3.1000000000000014,14.228,1.0,311.916,340.891,0.2,0.702,54.016,51.5,52.917,275.702,314.723
3.2000000000000015,15.202,1.0,334.985,351.565,0.2,0.377,54.105,52.851,53.5,312.979,343.323
3.3000000000000016,138.518,0.87,392.386,798.444,0.2,2.893,53.981,44.501,50.801,332.006,349.091
3.4000000000000017,203.388,0.696,683.667,834.916,0.2,2.849,53.097,43.924,48.912,333.989,791.772
3.5000000000000018,45.084,0.565,777.47,828.985,0.2,6.936,53.109,35.221,43.192,680.504,787.252
3.600000000000002,38.218,0.261,655.313,688.837,0.2,6.839,39.774,20.095,30.497,605.742,673.641
3.700000000000002,2.986,0.087,607.621,609.733,0.2,1.943,26.946,20.261,22.876,605.509,607.621
3.800000000000002,-1,0.0,-1,-1,0.2,1.23,24.585,20.127,22.472,-1,-1
3.900000000000002,-1,0.0,-1,-1,0.2,8.781,40.695,18.694,29.747,-1,-1
4.000000000000002,5.641,0.522,245.989,259.439,0.2,6.542,53.321,35.502,45.254,236.894,245.271
4.100000000000001,9.868,1.0,235.765,247.069,0.2,3.622,53.351,41.797,48.956,216.773,237.456
4.200000000000001,15.52,1.0,212.173,232.605,0.2,2.776,55.061,43.736,51.623,190.011,219.939
4.300000000000001,8.048,1.0,187.825,205.577,0.2,1.895,54.995,48.551,52.901,177.749,186.952
4.4,2.981,1.0,177.562,185.538,0.2,2.152,52.025,45.75,47.789,174.765,176.262
4.5,1.979,0.826,175.205,177.518,0.2,9.558,46.092,23.776,36.535,168.863,175.461
4.6,7.871,0.522,182.564,192.643,0.2,11.008,48.323,21.337,34.198,174.176,177.235
4.699999999999999,6.194,0.783,185.246,192.481,0.2,6.071,48.306,27.401,40.029,171.855,186.812
4.799999999999999,11.814,0.87,200.632,214.39,0.2,7.295,50.466,26.783,42.273,180.058,205.556
4.899999999999999,6.93,1.0,205.326,211.712,0.2,6.516,50.745,29.428,44.494,180.316,207.873
4.999999999999998,16.827,0.652,210.326,249.309,0.2,7.431,48.388,23.678,31.131,179.216,207.544
5.099999999999998,9.997,0.652,262.309,273.907,0.2,9.402,51.591,23.939,42.963,246.207,262.532
5.1999999999999975,7.843,1.0,270.522,279.79,0.2,2.936,55.773,47.215,51.952,247.139,272.638
5.299999999999997,16.18,1.0,265.21,280.509,0.2,4.113,55.787,44.385,52.031,237.359,273.046
5.399999999999997,15.982,1.0,235.088,271.711,0.2,2.307,51.149,44.405,48.478,205.201,232.476
5.4999999999999964,14.08,1.0,210.446,232.62,0.2,5.269,50.211,29.967,42.691,180.861,209.774
5.599999999999996,11.84,0.87,205.423,231.557,0.2,6.979,46.274,27.894,37.197,181.541,205.01
5.699999999999996,9.655,0.696,209.343,221.666,0.2,5.459,46.299,31.627,39.487,182.893,211.877
5.799999999999995,12.086,0.783,227.699,244.085,0.2,8.27,52.685,31.789,43.975,208.261,224.085
5.899999999999995,243.294,0.826,354.322,823.663,0.2,6.821,52.809,33.449,46.41,210.801,238.738
5.999999999999995,259.68,0.783,338.414,815.862,0.2,3.789,47.233,33.731,41.582,177.875,204.121
6.099999999999994,9.426,1.0,190.395,205.46,0.2,3.158,50.881,40.414,48.302,174.145,191.62
6.199999999999994,10.137,1.0,171.675,190.983,0.2,2.945,50.865,42.472,47.329,159.653,169.302
6.299999999999994,2.985,1.0,159.553,166.524,0.2,1.256,45.355,40.131,42.281,154.844,158.734
6.399999999999993,2.977,0.652,155.285,158.661,0.2,6.672,41.733,24.398,34.571,150.566,155.84
6.499999999999993,-1,0.043,150.502,150.502,0.2,1.592,27.701,21.56,24.36,150.502,150.502
6.5999999999999925,-1,0.0,-1,-1,0.2,1.513,24.511,18.892,22.178,-1,-1
6.699999999999992,4.393,0.304,196.706,201.657,0.2,10.619,44.842,18.752,28.555,189.34,197.491
6.799999999999992,4.804,0.913,200.617,207.357,0.2,2.417,49.367,39.656,44.356,188.494,202.244
6.8999999999999915,6.16,1.0,205.661,223.58,0.2,1.687,50.252,44.646,48.76,200.637,203.115
6.999999999999991,19.878,1.0,229.439,260.08,0.2,4.529,59.807,47.917,54.348,202.11,230.633
7.099999999999991,13.389,0.957,262.306,278.189,0.2,8.846,59.819,34.33,53.312,235.145,267.778
7.19999999999999,3.61,0.391,273.389,278.168,0.2,5.789,52.133,29.091,35.309,268.494,272.075
7.29999999999999,3.091,0.261,268.444,272.41,0.2,4.878,33.872,20.297,25.379,264.331,268.128
7.39999999999999,3.128,0.478,197.72,202.532,0.2,12.778,50.594,20.544,37.045,194.239,197.733
7.499999999999989,12.61,1.0,205.252,234.613,0.2,1.518,51.765,46.41,49.484,194.248,199.434
7.599999999999989,18.23,1.0,234.08,257.829,0.2,2.002,52.497,46.247,50.521,197.474,240.201
7.699999999999989,5.335,0.87,246.185,257.936,0.2,6.223,51.789,28.536,44.522,239.509,244.032
7.799999999999988,8.292,0.609,251.349,266.431,0.2,11.901,57.315,25.794,40.088,240.229,250.984
7.899999999999988,3.97,0.739,256.282,265.925,0.2,9.022,57.291,34.919,46.391,249.604,255.756
7.999999999999988,310.742,0.609,495.603,846.177,0.2,7.614,55.544,34.413,44.702,187.301,482.173
8.099999999999987,5.89,0.435,194.839,201.568,0.2,6.247,54.465,35.712,43.954,185.27,197.759
8.199999999999987,288.324,0.391,421.622,819.247,0.2,5.112,52.491,39.097,45.491,226.629,231.548
8.299999999999986,208.105,0.957,298.19,829.3,0.2,1.636,55.379,48.901,52.678,188.985,224.99
8.399999999999986,19.563,1.0,187.6,218.134,0.2,4.521,54.079,39.9,47.416,156.089,183.89
8.499999999999986,9.54,0.478,169.356,183.727,0.2,7.986,45.104,22.043,33.039,156.215,168.331
8.599999999999985,5.967,0.522,166.623,183.1,0.2,10.714,48.767,22.083,37.829,161.734,165.603
8.699999999999985,2.135,0.913,164.405,167.999,0.2,2.624,48.758,40.092,44.741,160.525,164.816
8.799999999999985,2.016,0.609,164.967,166.823,0.2,8.827,43.402,22.716,31.329,159.152,165.441
8.899999999999984,-1,0.0,-1,-1,0.2,0.944,24.253,20.659,22.754,-1,-1
8.999999999999984,-1,0.0,-1,-1,0.2,3.184,28.698,18.676,22.798,-1,-1
9.099999999999984,86.687,0.261,726.62,791.414,0.2,2.911,28.67,18.738,21.919,571.477,770.539
9.199999999999983,54.794,0.87,769.977,806.414,0.2,1.162,23.106,19.663,21.299,562.351,779.065
9.299999999999983,13.635,0.391,788.569,803.524,0.2,1.773,25.393,18.455,20.89,767.554,796.195
9.399999999999983,20.769,0.435,181.772,213.427,0.2,8.848,47.003,19.276,29.304,160.917,170.281
9.499999999999982,35.005,1.0,217.33,261.848,0.2,6.522,55.273,34.533,47.95,162.507,220.159
9.599999999999982,10.858,1.0,260.45,274.775,0.2,1.447,56.193,50.496,54.231,235.735,262.445
9.699999999999982,6.006,1.0,273.367,282.883,0.2,3.224,54.812,45.323,48.929,265.14,272.004
9.799999999999981,6.653,0.783,277.688,293.912,0.2,8.153,48.54,26.955,38.117,268.813,275.899
9.89999999999998,7.813,0.826,281.943,297.858,0.2,10.243,54.193,26.643,47.14,266.831,284.221
9.99999999999998,38.148,1.0,243.998,287.35,0.2,7.187,53.984,36.771,45.941,190.358,256.107
10.09999999999998,9.341,1.0,209.611,226.224,0.2,3.607,46.112,36.791,42.637,189.813,211.655
10.19999999999998,9.499,1.0,221.931,239.025,0.2,3.984,54.182,44.427,50.404,210.378,221.779
10.29999999999998,8.38,1.0,237.78,252.842,0.2,2.937,55.921,46.241,52.451,223.25,237.021
10.399999999999979,10.222,1.0,239.856,252.646,0.2,3.063,56.896,46.087,52.6,215.789,241.647
