t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,247.557,0.87,480.875,688.434,0.2,5.34,55.056,39.67,49.594,176.942,667.117
0.1,7.668,0.913,181.0,208.253,0.2,1.097,54.777,50.078,53.361,176.276,178.652
0.2,13.315,1.0,191.254,217.089,0.2,3.366,61.803,53.003,58.103,176.679,187.017
0.30000000000000004,7.56,1.0,208.934,218.022,0.2,3.784,61.206,51.543,57.423,192.833,207.788
0.4,7.666,1.0,202.333,217.357,0.2,1.916,57.109,51.528,55.174,190.127,202.139
0.5,3.087,1.0,194.876,199.503,0.2,2.033,60.726,55.012,57.362,189.944,195.105
0.6,3.64,1.0,193.041,198.107,0.2,1.383,60.712,56.913,58.244,185.024,192.683
0.7,8.425,0.87,183.853,192.086,0.2,3.265,57.616,49.493,54.82,166.8,187.751
0.7999999999999999,9.369,0.609,187.635,205.259,0.2,3.536,59.16,45.905,51.298,166.514,187.615
0.8999999999999999,10.474,0.87,182.136,205.513,0.2,3.622,60.262,45.953,57.102,165.092,184.532
0.9999999999999999,15.847,1.0,159.774,183.076,0.2,3.839,58.135,45.29,54.335,129.796,163.641
1.0999999999999999,8.364,1.0,141.127,156.032,0.2,2.243,53.713,45.201,48.822,127.081,139.606
1.2,5.336,0.609,137.467,145.419,0.2,4.253,49.748,37.476,44.957,130.188,135.505
1.3,54.18,0.174,767.47,808.225,0.2,1.579,42.68,37.647,40.005,686.205,794.27
1.4000000000000001,4.787,0.13,797.032,802.079,0.2,2.672,39.953,32.291,35.657,792.262,796.461
1.5000000000000002,2.208,0.087,580.948,582.509,0.2,0.824,34.836,32.288,33.489,579.386,580.948
1.6000000000000003,54.833,0.304,669.677,746.579,0.2,1.719,38.57,32.475,34.596,614.279,680.606
1.7000000000000004,79.968,0.522,702.593,846.992,0.2,1.498,37.119,31.681,34.029,605.722,688.237
1.8000000000000005,91.404,0.87,676.327,821.762,0.2,1.641,37.276,31.704,35.052,540.709,664.939
1.9000000000000006,150.877,0.696,630.371,719.485,0.2,2.299,42.031,31.773,34.556,237.274,686.518
2.0000000000000004,25.282,0.696,204.59,267.517,0.2,10.722,59.472,31.799,49.235,183.308,192.779
2.1000000000000005,16.888,1.0,210.284,226.752,0.2,1.376,62.669,57.668,60.197,183.572,217.373
2.2000000000000006,14.267,1.0,212.31,226.672,0.2,1.678,62.597,57.645,60.378,184.363,218.014
2.3000000000000007,14.733,1.0,183.474,210.032,0.2,1.468,60.135,54.827,57.967,162.94,183.593
2.400000000000001,8.343,0.652,164.269,175.209,0.2,5.123,58.672,42.845,52.723,149.453,165.069
2.500000000000001,3.936,0.087,148.494,151.278,0.2,3.455,49.594,35.702,42.641,145.711,148.494
2.600000000000001,78.577,0.304,634.067,721.561,0.2,2.305,41.079,31.87,36.912,468.247,668.837
2.700000000000001,41.244,0.217,657.965,696.721,0.2,2.041,39.186,31.821,34.549,613.556,675.086
2.800000000000001,47.888,0.522,654.46,737.478,0.2,1.376,37.256,32.252,34.492,602.21,668.87
2.9000000000000012,39.053,0.348,725.624,773.811,0.2,2.455,37.787,29.791,34.091,669.723,738.74
3.0000000000000013,69.403,0.217,734.744,776.217,0.2,2.158,37.88,29.807,34.482,612.74,767.903
3.1000000000000014,55.952,0.696,769.478,857.288,0.2,1.608,39.923,33.737,36.324,605.782,766.325
3.2000000000000015,50.608,0.739,627.14,696.167,0.2,1.106,40.054,36.07,38.256,499.87,617.959
3.3000000000000016,105.815,0.565,646.117,775.311,0.2,1.914,39.06,32.061,35.383,440.279,601.242
3.4000000000000017,46.991,0.652,732.415,781.368,0.2,1.62,38.974,33.405,35.771,659.98,762.825
3.5000000000000018,70.208,0.739,693.671,803.339,0.2,2.439,41.288,33.209,37.594,587.097,674.696
3.600000000000002,94.725,0.913,718.813,824.89,0.2,1.344,39.942,35.252,37.772,496.44,758.359
3.700000000000002,260.132,0.696,573.066,816.446,0.2,5.868,56.58,36.143,41.113,195.2,711.99
3.800000000000002,10.572,0.826,194.899,224.122,0.2,5.926,58.768,38.475,53.666,182.559,191.34
3.900000000000002,12.48,1.0,201.494,215.907,0.2,1.489,59.215,54.346,55.875,183.194,203.448
4.000000000000002,4.466,1.0,211.761,215.87,0.2,1.599,62.019,56.883,59.072,201.354,213.674
4.100000000000001,15.015,1.0,193.122,213.186,0.2,1.818,58.927,53.715,56.685,169.299,195.031
4.200000000000001,10.562,1.0,167.765,188.666,0.2,2.485,56.302,47.842,54.338,153.287,167.31
4.300000000000001,3.649,0.522,158.144,163.79,0.2,6.396,55.937,36.023,45.261,153.159,158.086
4.4,-1,0.0,-1,-1,0.2,1.684,39.228,32.692,35.513,-1,-1
4.5,23.458,0.261,777.986,818.992,0.2,1.44,36.728,31.29,33.899,747.512,775.918
4.6,51.258,0.391,757.49,825.942,0.2,2.606,38.886,30.447,33.866,653.065,779.799
4.699999999999999,48.389,0.652,734.249,792.295,0.2,1.742,38.689,32.944,35.364,667.851,765.226
4.799999999999999,73.033,0.957,726.512,811.487,0.2,1.763,40.669,33.728,36.831,592.887,767.145
4.899999999999999,91.947,0.783,644.201,795.715,0.2,1.43,41.263,36.318,38.267,501.457,620.397
4.999999999999998,104.018,0.826,650.52,809.963,0.2,1.228,39.353,34.8,37.093,493.005,675.845
5.099999999999998,121.234,0.783,691.92,838.472,0.2,0.936,36.882,33.997,35.234,498.699,757.129
5.1999999999999975,51.82,0.696,723.867,828.86,0.2,1.827,37.187,31.251,35.05,668.119,694.416
5.299999999999997,10.214,0.304,686.151,695.312,0.2,2.753,39.448,30.939,34.587,670.465,689.787
5.399999999999997,66.48,0.478,768.904,832.61,0.2,2.565,39.446,31.002,34.427,591.908,786.377
5.4999999999999964,309.681,0.87,453.665,822.413,0.2,8.298,54.19,34.651,43.817,174.525,199.828
5.599999999999996,4.9,1.0,173.962,182.268,0.2,0.756,54.535,52.078,53.559,162.985,174.946
5.699999999999996,10.349,1.0,176.717,216.499,0.2,4.909,59.315,42.763,52.032,162.888,176.367
5.799999999999995,8.156,1.0,182.278,209.555,0.2,3.448,59.317,48.762,56.015,174.179,179.172
5.899999999999995,2.677,1.0,181.429,185.159,0.2,4.606,58.862,45.696,54.226,175.129,181.576
5.999999999999995,16.178,1.0,193.608,223.137,0.2,5.931,56.135,38.034,47.198,177.893,184.413
6.099999999999994,12.32,1.0,205.156,226.815,0.2,2.393,57.083,48.701,54.574,180.421,210.391
6.199999999999994,13.003,1.0,187.148,211.746,0.2,2.784,58.087,48.729,54.703,173.6,184.232
6.299999999999994,4.244,1.0,173.249,181.216,0.2,1.291,56.454,52.145,53.745,166.979,173.689
6.399999999999993,6.996,1.0,178.723,185.665,0.2,1.254,57.029,52.383,54.892,166.223,181.582
6.499999999999993,5.873,1.0,180.732,185.763,0.2,2.525,57.26,48.984,55.459,161.827,182.88
6.5999999999999925,8.192,1.0,183.109,199.358,0.2,5.099,56.636,39.574,48.877,165.89,182.682
6.699999999999992,8.546,1.0,185.239,207.869,0.2,4.53,53.89,39.384,48.924,169.837,187.19
6.799999999999992,19.445,0.913,196.104,224.349,0.2,4.931,56.727,42.413,48.711,170.049,187.291
6.8999999999999915,9.7,1.0,212.829,232.625,0.2,2.064,58.096,50.574,55.382,189.912,213.458
6.999999999999991,8.827,0.609,202.425,213.807,0.2,4.363,56.198,41.203,48.78,188.534,203.78
7.099999999999991,8.739,0.826,192.303,204.866,0.2,3.76,54.799,41.248,50.672,169.857,194.497
7.19999999999999,9.311,1.0,196.219,206.829,0.2,4.11,60.91,49.228,57.605,170.224,196.672
7.29999999999999,10.072,1.0,188.036,204.841,0.2,2.649,60.899,53.569,57.908,169.715,189.04
7.39999999999999,10.736,1.0,168.672,185.793,0.2,1.891,55.569,48.569,53.242,150.109,169.334
7.499999999999989,6.495,0.652,156.579,166.755,0.2,6.313,54.579,35.763,44.239,147.155,157.82
