t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,5.411,36.134,19.11,28.564,-1,-1
0.1,37.877,0.217,429.041,496.321,0.2,23.172,75.503,18.992,44.212,407.462,412.22
0.2,4.024,0.565,136.122,144.31,0.2,6.944,75.472,56.878,63.075,130.428,135.337
0.30000000000000004,20.786,1.0,157.992,188.855,0.2,2.431,61.744,53.841,58.128,133.638,152.184
0.4,7.103,0.565,179.576,189.085,0.2,11.801,61.728,30.127,50.289,165.365,181.614
0.5,268.901,0.478,319.186,740.85,0.2,11.073,59.543,30.633,45.924,143.421,172.592
0.6,12.414,0.913,148.833,174.729,0.2,4.706,60.13,46.547,55.247,133.647,144.571
0.7,6.83,1.0,134.662,145.398,0.2,2.295,60.137,53.495,57.49,126.701,132.057
0.7999999999999999,1.864,1.0,128.733,132.276,0.2,0.938,60.051,57.084,58.723,125.641,128.493
0.8999999999999999,4.039,1.0,126.548,142.069,0.2,0.961,59.352,56.555,57.913,118.351,125.838
0.9999999999999999,359.817,0.478,384.015,848.976,0.2,4.412,68.631,54.707,62.261,122.734,125.729
1.0999999999999999,336.128,0.565,351.222,849.895,0.2,3.509,67.233,54.912,58.614,133.164,137.661
1.2,2.642,1.0,138.401,141.732,0.2,0.824,60.545,58.114,59.588,133.22,139.248
1.3,5.298,1.0,134.825,141.731,0.2,1.238,60.543,57.064,58.537,124.928,134.795
1.4000000000000001,3.923,1.0,125.77,133.396,0.2,1.336,57.669,53.747,55.738,119.68,123.791
1.5000000000000002,1.62,1.0,122.076,124.34,0.2,3.484,54.894,46.115,51.025,118.168,122.604
1.6000000000000003,10.955,0.609,124.276,149.331,0.2,4.54,63.95,48.579,56.647,109.384,121.41
1.7000000000000004,320.552,0.435,328.486,821.347,0.2,3.358,64.94,53.737,60.62,121.825,133.7
1.8000000000000005,8.716,0.87,119.174,139.189,0.2,3.104,62.73,53.138,58.414,108.106,117.487
1.9000000000000006,259.358,0.783,221.848,849.921,0.2,5.263,55.773,40.479,49.811,104.498,111.12
2.0000000000000004,253.406,0.391,551.45,689.362,0.2,2.912,46.202,35.562,41.456,104.151,676.548
2.1000000000000005,44.169,0.304,743.033,801.953,0.2,5.413,51.859,35.567,44.981,682.017,734.786
2.2000000000000006,38.066,0.348,748.421,817.741,0.2,7.065,51.765,30.559,45.292,703.621,738.375
2.3000000000000007,27.143,0.304,727.67,757.844,0.2,4.22,43.243,27.492,36.948,699.002,737.515
2.400000000000001,5.423,0.174,149.943,155.917,0.2,5.858,43.855,24.877,30.716,142.739,150.942
2.500000000000001,6.848,0.522,150.368,161.989,0.2,13.523,61.826,25.082,49.594,142.469,148.858
2.600000000000001,8.016,0.783,168.721,176.686,0.2,2.852,61.795,52.253,59.602,152.535,172.544
2.700000000000001,2.514,1.0,172.627,177.411,0.2,3.571,60.646,50.432,54.051,168.378,172.933
2.800000000000001,1.842,0.913,171.603,174.222,0.2,2.295,58.727,50.657,56.638,168.358,171.681
2.9000000000000012,1.652,0.348,172.927,174.185,0.2,2.453,57.072,48.005,52.812,169.239,173.552
3.0000000000000013,-1,0.0,-1,-1,0.2,4.877,50.92,37.579,43.382,-1,-1
3.1000000000000014,-1,0.0,-1,-1,0.2,4.413,49.876,37.628,45.299,-1,-1
3.2000000000000015,228.487,0.696,233.051,701.554,0.2,4.768,58.928,47.03,54.082,116.141,126.003
3.3000000000000016,7.739,1.0,129.257,144.439,0.2,2.727,59.722,51.175,55.228,116.289,128.728
3.4000000000000017,5.108,1.0,140.14,145.71,0.2,3.687,63.723,51.065,60.366,129.818,141.283
3.5000000000000018,11.832,1.0,130.466,145.138,0.2,3.147,62.55,54.034,59.423,108.182,133.149
3.600000000000002,8.244,1.0,110.751,129.139,0.2,2.925,56.848,47.09,51.961,102.651,106.799
3.700000000000002,2.01,0.609,105.423,109.35,0.2,7.341,49.584,25.178,42.368,102.737,105.122
3.800000000000002,4.284,0.391,118.916,125.541,0.2,8.53,51.537,26.14,41.819,112.693,119.66
3.900000000000002,4.369,1.0,116.875,126.473,0.2,4.56,51.577,38.203,44.137,110.811,116.709
4.000000000000002,3.722,0.87,116.159,124.68,0.2,6.31,55.427,37.966,47.547,111.032,114.954
4.100000000000001,2.758,0.478,115.763,120.707,0.2,8.926,62.623,37.471,47.577,112.484,115.337
4.200000000000001,2.581,0.522,120.345,123.395,0.2,4.727,62.825,47.248,56.388,115.438,120.506
4.300000000000001,5.489,0.652,118.675,123.179,0.2,9.006,56.708,27.79,49.483,102.875,119.613
4.4,26.183,0.391,139.706,162.059,0.2,13.102,60.23,25.324,42.317,103.147,160.979
4.5,1.744,0.783,162.45,165.548,0.2,1.235,60.726,55.184,59.081,158.099,162.43
4.6,11.634,1.0,151.484,165.485,0.2,1.307,60.71,56.883,58.504,131.772,152.852
4.699999999999999,10.621,1.0,128.43,148.339,0.2,2.057,58.802,52.348,55.314,116.728,125.206
4.799999999999999,2.86,1.0,120.436,124.858,0.2,0.919,54.487,51.026,53.49,114.521,120.712
4.899999999999999,5.28,0.826,117.526,124.031,0.2,6.677,54.458,32.965,45.071,106.142,118.234
4.999999999999998,6.266,0.609,118.234,126.805,0.2,6.545,53.229,33.028,45.416,107.427,118.614
5.099999999999998,12.723,0.348,127.813,144.108,0.2,10.321,58.694,26.348,45.585,114.957,120.771
5.1999999999999975,2.375,0.696,145.434,148.223,0.2,2.578,63.661,53.583,59.57,141.436,145.25
5.299999999999997,3.919,0.87,142.265,149.126,0.2,1.937,61.731,54.921,57.356,134.292,141.701
5.399999999999997,5.11,0.913,144.143,151.611,0.2,2.5,61.294,54.569,58.302,133.156,145.347
5.4999999999999964,3.33,1.0,151.925,156.269,0.2,1.752,61.29,56.717,59.084,146.499,152.79
5.599999999999996,2.332,1.0,157.38,160.9,0.2,2.96,57.463,47.656,54.768,153.237,157.588
5.699999999999996,2.086,0.478,158.841,160.849,0.2,10.542,53.908,22.085,38.094,153.966,159.369
5.799999999999995,0.881,0.13,792.305,793.117,0.2,3.517,34.383,22.603,28.747,791.347,792.429
5.899999999999995,-1,0.0,-1,-1,0.2,0.989,29.6,25.739,27.491,-1,-1
5.999999999999995,-1,0.0,-1,-1,0.2,1.063,29.103,25.228,27.408,-1,-1
6.099999999999994,-1,0.0,-1,-1,0.2,1.971,29.13,22.411,25.549,-1,-1
6.199999999999994,-1,0.043,126.979,126.979,0.2,7.775,46.51,22.508,29.058,126.979,126.979
6.299999999999994,3.487,0.652,123.647,128.058,0.2,7.085,50.411,24.427,44.573,118.68,123.902
6.399999999999993,4.57,1.0,127.47,137.74,0.2,5.828,59.324,45.564,51.328,118.767,127.229
6.499999999999993,8.695,1.0,140.008,152.391,0.2,1.618,62.365,57.698,60.623,127.455,141.036
6.5999999999999925,6.105,1.0,147.831,155.269,0.2,1.629,62.385,56.663,60.639,131.794,149.405
6.699999999999992,11.107,0.565,139.304,154.252,0.2,8.95,59.639,34.15,48.953,120.082,139.002
6.799999999999992,4.788,0.609,132.358,142.87,0.2,8.123,59.202,34.918,53.042,126.962,130.561
6.8999999999999915,7.395,1.0,141.21,148.832,0.2,3.975,59.167,46.03,56.11,127.135,144.753
6.999999999999991,6.51,0.739,142.09,148.837,0.2,8.483,60.774,35.865,49.453,130.169,145.199
7.099999999999991,6.328,0.739,124.559,137.572,0.2,2.943,61.055,50.851,57.27,115.499,123.173
7.19999999999999,6.112,0.87,119.729,130.886,0.2,3.389,59.453,48.944,55.101,105.994,122.017
7.29999999999999,7.1,0.348,114.514,123.05,0.2,1.93,54.146,45.839,48.656,101.622,113.745
7.39999999999999,2.391,0.522,160.194,163.532,0.2,3.682,54.951,43.932,50.849,153.078,160.731
7.499999999999989,6.433,1.0,157.156,162.527,0.2,5.986,54.953,36.417,48.117,141.111,160.055
7.599999999999989,7.013,0.696,154.188,162.118,0.2,8.14,53.639,29.053,44.005,141.206,155.793
7.699999999999989,15.803,0.783,168.064,198.225,0.2,5.065,53.7,39.987,48.97,154.129,159.352
7.799999999999988,16.112,0.391,184.538,207.966,0.2,9.903,45.808,17.616,31.153,158.246,188.072
7.899999999999988,16.378,0.348,146.577,166.56,0.2,11.734,48.98,17.204,28.971,125.626,147.239
7.999999999999988,13.093,0.913,133.281,166.519,0.2,3.746,54.114,40.271,49.087,122.993,130.002
8.099999999999987,9.431,1.0,137.517,149.201,0.2,2.119,56.992,50.247,54.897,122.87,139.662
8.199999999999987,1.793,1.0,147.113,150.044,0.2,6.107,56.911,40.885,48.97,143.635,147.184
8.299999999999986,13.639,1.0,158.635,184.01,0.2,3.373,43.012,32.912,38.016,144.919,154.957
8.399999999999986,16.773,1.0,155.56,184.477,0.2,3.573,42.752,32.904,37.116,129.945,153.505
8.499999999999986,6.427,1.0,141.23,151.356,0.2,6.123,57.892,40.249,48.611,130.071,142.45
8.599999999999985,4.166,1.0,149.013,155.68,0.2,5.563,59.313,43.876,53.737,138.482,150.463
8.699999999999985,4.347,0.522,149.482,155.117,0.2,8.167,55.893,27.47,41.89,140.03,150.221
8.799999999999985,9.122,0.609,133.103,147.963,0.2,6.504,59.139,32.897,52.043,123.01,129.392
8.899999999999984,6.88,1.0,134.378,143.243,0.2,1.351,53.548,48.526,50.556,122.761,135.505
8.999999999999984,4.471,1.0,143.399,148.517,0.2,3.916,60.028,49.694,56.467,135.164,143.144
9.099999999999984,1.408,1.0,147.77,150.863,0.2,2.404,60.029,54.235,57.03,145.913,147.433
9.199999999999983,2.478,0.826,150.235,153.564,0.2,1.45,58.683,54.237,56.856,146.536,150.85
9.299999999999983,312.2,0.304,335.625,800.598,0.2,5.525,57.474,40.296,50.874,152.126,153.349
9.399999999999983,300.106,0.696,378.767,791.398,0.2,4.671,49.86,33.865,40.204,134.63,170.547
9.499999999999982,18.314,1.0,135.64,172.392,0.2,8.028,55.551,34.144,46.942,116.006,125.935
9.599999999999982,5.922,1.0,127.033,136.788,0.2,2.649,60.347,52.444,55.72,115.513,126.289
9.699999999999982,170.084,0.565,178.342,744.261,0.2,4.184,70.555,56.586,61.07,123.434,131.642
9.799999999999981,-1,0.0,-1,-1,0.2,10.367,70.454,37.897,51.146,-1,-1
9.89999999999998,5.229,0.174,111.929,118.573,0.2,5.626,53.415,36.738,45.816,105.84,111.885
9.99999999999998,3.734,0.087,115.025,117.665,0.2,5.586,53.156,33.27,43.705,112.384,115.025
10.09999999999998,7.134,0.174,694.85,704.96,0.2,6.542,44.058,20.157,32.363,687.929,693.312
10.19999999999998,-1,0.0,-1,-1,0.2,2.546,29.019,20.284,24.726,-1,-1
10.29999999999998,-1,0.0,-1,-1,0.2,1.133,26.143,22.412,23.791,-1,-1
10.399999999999979,-1,0.0,-1,-1,0.2,0.665,24.635,22.444,23.607,-1,-1
10.499999999999979,41.113,0.217,738.3,788.524,0.2,3.329,31.711,21.455,25.619,701.064,718.799
10.599999999999978,9.396,0.261,133.737,147.024,0.2,9.331,53.894,22.701,32.808,117.055,134.435
10.699999999999978,4.857,0.783,134.103,145.093,0.2,8.604,63.591,38.55,56.739,117.214,134.153
10.799999999999978,6.221,0.522,131.437,136.251,0.2,7.892,63.577,38.157,55.659,119.284,134.263
10.899999999999977,1.448,0.087,119.611,120.635,0.2,8.261,63.858,38.26,48.193,118.587,119.611
10.999999999999977,11.272,0.217,115.558,133.587,0.2,5.913,63.964,41.565,53.582,107.047,108.495
11.099999999999977,303.911,0.609,569.493,861.318,0.2,3.31,58.254,47.651,51.688,106.95,716.347
11.199999999999976,293.6,0.87,587.199,857.306,0.2,2.932,52.002,40.959,47.849,143.251,720.948
11.299999999999976,150.705,0.826,169.508,786.909,0.2,2.872,49.997,41.309,44.944,116.313,124.751
11.399999999999975,2.977,0.87,120.303,125.259,0.2,3.147,54.877,42.828,51.056,116.315,119.448
11.499999999999975,2.646,0.652,122.967,126.213,0.2,1.607,57.517,51.892,54.538,117.934,123.641
11.599999999999975,4.762,0.304,128.364,132.816,0.2,4.346,57.538,43.584,50.727,120.146,130.159
11.699999999999974,4.436,0.783,135.039,141.46,0.2,5.179,61.211,43.532,55.857,129.433,135.216
11.799999999999974,2.475,1.0,141.169,143.803,0.2,1.204,60.992,57.013,59.793,134.814,141.913
11.899999999999974,3.422,1.0,140.801,143.822,0.2,1.263,60.454,56.819,58.951,129.745,141.519
