t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,8.755,0.522,187.123,194.662,0.2,12.497,67.537,32.221,56.697,169.552,190.631
0.1,19.984,0.609,198.446,234.52,0.2,4.768,67.569,54.255,59.711,170.277,193.75
0.2,10.281,0.739,242.082,253.794,0.2,4.966,71.075,56.959,65.681,219.165,246.702
0.30000000000000004,4.188,1.0,250.956,257.099,0.2,0.478,71.062,69.407,70.18,241.405,251.132
0.4,19.736,1.0,232.639,257.91,0.2,0.482,70.391,68.743,69.566,194.853,236.545
0.5,18.488,1.0,193.624,227.703,0.2,1.015,69.535,66.087,68.351,166.376,187.402
0.6,5.189,0.478,175.585,180.996,0.2,2.539,67.926,60.099,64.06,165.518,178.209
0.7,0.925,0.391,190.118,191.272,0.2,3.092,68.291,58.054,63.953,188.534,190.372
0.7999999999999999,2.892,1.0,192.986,197.565,0.2,0.702,68.44,65.731,67.291,188.55,192.933
0.8999999999999999,6.543,1.0,189.311,197.634,0.2,0.717,69.435,66.915,68.6,177.56,190.244
0.9999999999999999,7.26,1.0,175.084,187.657,0.2,0.882,69.443,67.087,67.993,164.385,173.762
1.0999999999999999,188.939,0.783,232.845,753.68,0.2,1.474,67.394,61.903,65.678,164.638,168.345
1.2,13.679,0.304,182.949,195.126,0.2,3.594,65.878,56.161,61.005,167.237,192.393
1.3,1.789,0.783,194.77,199.421,0.2,3.344,67.045,56.038,64.885,192.373,194.186
1.4000000000000001,7.331,0.913,198.276,220.417,0.2,4.288,67.666,53.647,64.027,185.937,196.845
1.5000000000000002,11.283,0.913,197.941,218.437,0.2,4.399,67.638,53.363,64.686,169.93,203.158
1.6000000000000003,8.465,0.565,196.462,204.258,0.2,5.693,67.302,50.55,58.963,175.238,199.229
1.7000000000000004,253.575,0.522,295.037,840.432,0.2,3.711,64.634,53.828,61.097,173.687,191.832
1.8000000000000005,284.104,0.565,331.174,835.931,0.2,5.657,64.193,48.572,57.928,172.895,178.942
1.9000000000000006,8.538,0.696,175.45,197.066,0.2,3.515,64.842,51.549,62.251,164.003,173.679
2.0000000000000004,9.707,0.652,180.475,195.816,0.2,6.827,68.587,48.469,60.707,162.268,185.07
2.1000000000000005,5.498,1.0,192.073,199.537,0.2,1.238,69.677,65.848,68.723,182.33,193.155
2.2000000000000006,158.769,0.696,234.816,829.98,0.2,8.397,69.467,43.225,63.525,183.256,196.413
2.3000000000000007,5.757,0.565,171.148,186.556,0.2,7.747,67.911,43.838,61.787,163.819,170.623
2.400000000000001,4.635,0.739,169.929,180.727,0.2,4.828,67.834,52.265,62.761,162.164,170.255
2.500000000000001,4.896,0.739,175.301,180.099,0.2,5.403,69.368,52.43,64.189,161.072,176.14
2.600000000000001,3.755,1.0,174.21,180.444,0.2,0.34,67.206,66.083,66.698,166.102,175.593
2.700000000000001,7.124,1.0,163.843,175.978,0.2,0.556,67.168,65.248,66.673,151.477,163.148
2.800000000000001,4.926,1.0,152.722,161.568,0.2,1.322,66.588,62.321,64.217,143.898,151.793
2.9000000000000012,4.473,1.0,145.546,155.778,0.2,1.964,63.781,58.871,60.836,139.383,143.967
3.0000000000000013,1.925,1.0,140.651,144.137,0.2,0.64,58.995,56.986,58.197,136.166,141.111
3.1000000000000014,8.27,0.783,142.9,166.783,0.2,2.031,57.76,51.617,55.223,135.747,139.496
3.2000000000000015,169.135,0.391,232.575,541.955,0.2,3.983,54.284,40.446,48.01,133.543,151.872
3.3000000000000016,50.647,0.087,565.107,600.919,0.2,2.18,48.495,40.268,47.09,529.294,565.107
3.4000000000000017,22.587,0.174,823.798,848.144,0.2,5.86,48.542,33.616,42.396,794.856,828.115
3.5000000000000018,1.982,0.13,171.545,173.609,0.2,9.817,64.031,34.031,45.084,169.545,171.369
3.600000000000002,4.351,0.522,170.668,174.514,0.2,5.609,67.644,47.887,61.959,161.35,172.393
3.700000000000002,10.593,0.739,184.817,200.528,0.2,4.655,68.759,55.836,64.323,162.101,188.417
3.800000000000002,9.61,1.0,198.399,216.254,0.2,1.449,73.234,68.417,69.334,187.668,196.261
3.900000000000002,14.645,1.0,221.771,242.945,0.2,1.95,73.275,66.655,70.558,199.514,219.473
4.000000000000002,10.252,1.0,231.932,244.241,0.2,1.124,70.976,66.753,70.267,210.858,232.068
