t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,10.358,0.087,780.054,787.379,0.2,0.597,64.533,62.431,63.557,772.73,780.054
0.1,-1,0.0,-1,-1,0.2,0.369,63.926,62.425,62.997,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.409,63.713,62.403,63.061,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.35,63.793,62.494,63.197,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.276,63.681,62.691,63.205,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.327,63.668,62.283,62.939,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.341,63.511,62.443,63.072,-1,-1
0.7,2.827,0.348,152.999,158.001,0.2,4.538,73.586,62.328,67.174,150.043,152.27
0.7999999999999999,4.387,0.913,153.552,159.313,0.2,1.997,75.5,69.236,72.061,143.755,152.973
0.8999999999999999,5.089,1.0,158.502,171.01,0.2,1.993,76.054,69.335,73.762,151.367,158.014
0.9999999999999999,11.642,0.913,173.938,187.884,0.2,1.827,75.743,67.881,72.819,155.604,174.87
1.0999999999999999,292.136,0.652,445.694,837.092,0.2,3.349,72.907,63.096,66.391,184.121,187.59
1.2,275.814,0.783,301.008,831.924,0.2,3.558,74.999,63.074,68.523,145.912,156.808
1.3,7.239,0.739,144.822,158.586,0.2,3.264,75.737,67.332,72.616,132.102,147.132
1.4000000000000001,1.847,0.435,134.42,136.574,0.2,4.601,78.067,65.532,71.885,130.301,134.645
1.5000000000000002,2.392,0.739,133.21,136.086,0.2,2.901,78.082,68.008,74.475,127.48,133.846
1.6000000000000003,4.434,0.652,126.119,133.146,0.2,3.109,76.054,67.47,72.112,120.262,126.298
1.7000000000000004,340.291,0.957,487.713,811.73,0.2,3.793,75.14,65.327,69.495,119.667,773.643
1.8000000000000005,235.389,0.826,628.616,810.313,0.2,1.492,70.577,64.691,66.645,134.464,759.714
1.9000000000000006,184.158,0.87,224.097,611.456,0.2,3.023,74.672,64.701,70.928,131.805,135.577
2.0000000000000004,2.352,1.0,137.157,139.89,0.2,0.919,75.62,72.256,74.627,132.452,138.054
2.1000000000000005,4.546,1.0,135.053,139.903,0.2,0.331,74.959,73.803,74.631,128.042,136.715
2.2000000000000006,3.146,1.0,127.713,134.066,0.2,0.622,74.827,72.807,73.628,121.096,127.634
2.3000000000000007,4.261,1.0,120.811,127.787,0.2,0.554,73.96,72.246,73.033,116.428,119.538
2.400000000000001,1.849,0.739,115.749,117.905,0.2,1.435,72.481,68.0,71.083,111.413,116.6
2.500000000000001,0.911,0.174,112.799,113.911,0.2,2.801,70.576,62.671,65.422,111.725,112.771
2.600000000000001,0.702,0.217,132.426,133.128,0.2,2.268,69.087,62.881,64.824,131.268,132.597
2.700000000000001,3.846,0.783,129.165,133.286,0.2,1.35,70.659,65.809,69.476,121.593,130.838
2.800000000000001,2.899,1.0,124.729,131.226,0.2,0.739,70.667,68.532,69.336,120.627,124.968
2.9000000000000012,310.682,0.565,502.655,756.08,0.2,1.745,69.46,64.33,66.987,123.058,722.504
3.0000000000000013,232.635,0.826,664.094,845.982,0.2,2.295,73.007,64.304,66.345,144.453,753.685
