t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.561,69.604,67.76,68.624,-1,-1
0.1,120.762,0.217,677.339,811.704,0.2,0.585,69.364,67.203,68.102,564.907,610.798
0.2,115.504,0.13,650.345,783.137,0.2,0.573,68.955,66.941,67.72,573.176,594.724
0.30000000000000004,-1,0.0,-1,-1,0.2,0.843,69.35,66.069,67.858,-1,-1
0.4,-1,0.043,718.322,718.322,0.2,0.616,68.506,66.453,67.436,718.322,718.322
0.5,-1,0.043,716.731,716.731,0.2,0.52,68.256,66.427,67.03,716.731,716.731
0.6,-1,0.0,-1,-1,0.2,0.444,68.302,66.399,67.393,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.659,69.36,67.131,67.898,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,0.798,69.341,66.601,67.836,-1,-1
0.8999999999999999,3.759,0.13,640.123,644.33,0.2,0.673,68.837,66.59,67.628,636.694,638.947
0.9999999999999999,218.738,0.652,309.341,731.025,0.2,4.688,80.496,67.402,72.231,161.735,235.418
1.0999999999999999,26.86,1.0,174.376,248.533,0.2,2.311,83.485,75.209,81.324,154.759,161.985
1.2,1.973,1.0,162.492,165.627,0.2,0.342,83.741,82.685,83.192,159.243,162.258
1.3,2.764,0.565,162.207,165.658,0.2,6.292,83.782,69.124,77.779,155.166,162.226
1.4000000000000001,2.832,0.522,163.314,167.531,0.2,5.669,83.109,69.067,77.008,157.292,163.135
1.5000000000000002,4.938,1.0,166.968,174.015,0.2,3.301,86.688,76.23,82.458,156.488,167.036
1.6000000000000003,10.759,0.826,173.64,204.096,0.2,6.082,87.022,71.351,80.715,162.279,171.652
1.7000000000000004,16.6,0.87,198.366,216.075,0.2,3.803,82.106,71.207,77.406,163.11,202.702
1.8000000000000005,19.403,1.0,192.921,215.992,0.2,3.345,84.058,73.697,81.647,147.376,193.5
1.9000000000000006,264.642,0.696,401.614,755.72,0.2,6.099,83.725,68.101,74.624,150.739,193.024
2.0000000000000004,265.674,0.957,357.238,771.199,0.2,6.566,85.044,68.26,77.768,158.587,163.498
2.1000000000000005,6.999,1.0,156.328,163.652,0.2,1.008,85.041,80.676,83.104,141.6,159.534
2.2000000000000006,7.372,1.0,143.384,159.016,0.2,1.377,83.311,78.425,81.091,133.929,141.55
2.3000000000000007,1.681,0.826,137.524,140.979,0.2,2.584,81.002,70.605,77.592,134.281,137.865
2.400000000000001,286.499,0.739,555.534,841.275,0.2,2.986,78.302,68.358,71.39,135.691,655.188
2.500000000000001,318.564,0.913,347.625,831.439,0.2,3.34,77.449,68.419,73.862,126.193,129.184
2.600000000000001,1.733,0.913,128.159,132.683,0.2,0.537,75.929,74.118,75.066,126.16,127.984
2.700000000000001,227.191,0.913,410.885,666.688,0.2,2.414,74.618,68.692,71.245,128.078,564.001
2.800000000000001,31.877,0.435,589.842,644.64,0.2,0.92,70.294,66.892,68.269,562.397,572.317
2.9000000000000012,326.291,0.13,555.057,747.742,0.2,1.689,73.996,66.261,68.088,178.322,739.107
3.0000000000000013,143.156,0.739,246.201,549.42,0.2,6.569,83.314,66.974,78.396,175.592,182.355
3.1000000000000014,11.811,1.0,195.675,210.81,0.2,0.966,84.995,81.408,83.052,175.323,197.648
3.2000000000000015,6.51,1.0,204.662,210.911,0.2,1.217,85.868,81.38,84.456,187.536,207.607
3.3000000000000016,20.781,1.0,179.793,208.742,0.2,3.381,85.876,75.787,81.391,145.831,178.701
3.4000000000000017,211.132,0.565,240.499,719.23,0.2,4.221,79.847,68.092,74.71,142.11,157.323
3.5000000000000018,234.414,0.348,410.175,788.565,0.2,4.03,81.118,68.083,73.968,150.732,489.933
3.600000000000002,268.601,0.609,645.988,800.814,0.2,2.938,79.316,67.193,71.49,149.844,778.257
3.700000000000002,295.28,0.826,351.819,795.364,0.2,4.734,79.677,67.129,74.704,151.198,158.084
3.800000000000002,7.532,1.0,151.377,158.931,0.2,1.703,82.688,77.763,80.289,137.754,153.206
3.900000000000002,9.351,0.783,137.845,152.942,0.2,2.334,82.62,75.454,78.808,124.253,137.658
4.000000000000002,268.334,0.391,303.224,747.26,0.2,3.554,77.108,67.674,72.622,124.646,130.266
4.100000000000001,-1,0.0,-1,-1,0.2,1.008,69.769,66.357,67.759,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,0.488,67.819,66.152,66.841,-1,-1
4.300000000000001,-1,0.0,-1,-1,0.2,0.675,68.767,66.482,67.68,-1,-1
