t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.466,69.524,67.634,68.446,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.621,68.993,66.093,67.915,-1,-1
0.2,47.507,0.261,778.117,832.133,0.2,0.734,68.564,66.121,67.514,732.269,776.929
0.30000000000000004,73.66,0.696,711.415,838.378,0.2,0.411,68.998,67.522,68.401,593.807,693.628
0.4,47.291,0.913,693.41,802.868,0.2,0.349,69.303,67.951,68.58,546.024,692.867
0.5,54.762,0.652,720.685,781.618,0.2,0.315,69.052,67.854,68.402,548.496,731.52
0.6,161.64,0.609,354.047,748.901,0.2,8.448,88.814,68.067,76.943,285.676,290.681
0.7,155.854,1.0,434.703,636.958,0.2,7.468,88.671,68.018,75.59,285.894,293.5
0.7999999999999999,105.183,1.0,475.078,634.113,0.2,7.866,88.336,67.864,77.671,354.71,398.002
0.8999999999999999,17.063,1.0,391.784,415.05,0.2,1.99,88.321,82.091,84.931,353.672,395.677
0.9999999999999999,73.241,1.0,316.585,414.99,0.2,1.739,85.448,80.474,83.723,221.925,315.724
1.0999999999999999,18.035,0.739,231.794,276.483,0.2,3.891,85.409,74.098,79.877,211.394,224.805
1.2,14.001,0.304,228.274,246.79,0.2,2.157,81.335,71.41,75.186,211.477,235.625
1.3,6.0,0.739,232.981,243.327,0.2,5.006,86.767,70.86,82.104,223.771,233.939
1.4000000000000001,8.95,1.0,242.47,252.218,0.2,1.049,86.785,83.841,85.015,225.781,246.062
1.5000000000000002,14.319,1.0,234.91,252.288,0.2,2.06,85.792,77.481,82.512,213.033,238.908
1.6000000000000003,7.553,1.0,213.528,230.199,0.2,1.986,82.075,76.382,78.102,198.622,214.485
1.7000000000000004,285.946,0.957,512.285,788.216,0.2,3.284,77.542,68.88,73.199,196.716,738.614
1.8000000000000005,271.307,0.957,497.549,790.096,0.2,6.321,84.338,68.523,75.51,224.905,491.095
1.9000000000000006,7.448,1.0,237.088,250.29,0.2,1.941,87.836,80.938,84.265,225.026,237.117
2.0000000000000004,12.619,1.0,256.577,274.81,0.2,4.16,87.901,73.764,83.325,237.663,262.533
2.1000000000000005,163.479,0.957,439.426,641.817,0.2,6.353,84.19,67.908,74.901,262.694,516.561
2.2000000000000006,165.148,0.696,558.062,697.934,0.2,3.066,78.532,67.009,70.621,246.002,631.042
2.3000000000000007,288.338,0.522,460.302,796.64,0.2,3.586,79.516,67.846,73.619,204.236,247.479
2.400000000000001,216.175,0.478,639.669,798.322,0.2,3.288,79.377,66.953,71.868,225.624,773.363
2.500000000000001,121.226,0.826,272.76,553.652,0.2,3.686,81.268,67.537,78.335,210.589,221.035
2.600000000000001,17.787,0.652,222.038,262.774,0.2,5.41,80.72,66.933,74.508,199.323,220.66
2.700000000000001,4.354,0.652,256.458,266.249,0.2,7.514,87.448,66.849,77.697,251.994,254.386
2.800000000000001,21.684,1.0,276.982,317.118,0.2,1.214,89.692,85.181,87.314,253.423,271.361
2.9000000000000012,16.402,1.0,315.986,331.295,0.2,1.755,87.526,80.883,85.491,281.002,323.324
3.0000000000000013,184.194,0.913,483.541,748.729,0.2,7.717,87.193,67.17,74.565,319.258,331.153
3.1000000000000014,238.414,0.913,403.113,782.463,0.2,7.27,84.174,67.178,76.623,207.799,231.963
3.2000000000000015,4.638,1.0,212.288,224.575,0.2,2.203,83.842,77.856,80.002,203.968,212.176
3.3000000000000016,209.239,0.696,293.134,837.284,0.2,4.289,82.343,68.542,74.758,194.577,213.64
3.4000000000000017,189.573,0.783,300.505,822.404,0.2,5.644,86.929,68.739,81.032,231.028,233.372
3.5000000000000018,15.888,1.0,246.703,279.304,0.2,1.739,83.885,79.681,81.906,230.935,242.471
3.600000000000002,17.356,0.957,279.466,300.159,0.2,1.594,83.648,79.65,81.772,248.353,285.015
3.700000000000002,3.763,0.391,295.683,300.142,0.2,6.604,83.602,67.48,74.099,288.913,295.88
3.800000000000002,-1,0.0,-1,-1,0.2,0.507,69.009,67.158,67.947,-1,-1
3.900000000000002,12.866,0.522,218.561,234.348,0.2,6.624,83.444,67.227,76.36,202.129,218.547
4.000000000000002,10.818,1.0,206.677,232.6,0.2,2.022,81.991,76.299,79.238,191.431,203.669
4.100000000000001,9.082,1.0,190.625,205.824,0.2,0.682,78.529,76.268,77.407,179.358,188.187
4.200000000000001,3.786,0.696,179.545,184.305,0.2,2.356,77.778,70.717,74.354,173.114,180.269
4.300000000000001,13.734,0.261,723.597,745.941,0.2,1.934,72.863,66.715,69.249,709.434,721.578
4.4,23.252,0.522,788.232,837.035,0.2,0.513,68.787,66.666,67.92,754.913,780.345
4.5,100.859,0.565,734.06,832.069,0.2,0.456,68.463,66.987,67.795,526.896,773.275
4.6,-1,0.0,-1,-1,0.2,0.577,68.729,66.805,67.735,-1,-1
4.699999999999999,185.258,0.565,363.368,673.905,0.2,6.49,83.482,67.514,74.613,240.132,245.041
4.799999999999999,11.193,0.696,241.609,271.269,0.2,4.34,83.509,72.312,77.695,228.283,240.917
