t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.746,70.15,67.617,68.835,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.586,69.617,67.468,68.415,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.55,69.557,67.395,68.537,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.795,70.604,67.325,68.558,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.432,69.411,67.754,68.362,-1,-1
0.5,50.161,0.174,784.667,826.667,0.2,0.429,69.33,67.708,68.396,725.343,793.329
0.6,41.514,0.304,769.312,827.021,0.2,0.517,69.545,67.664,68.518,724.024,757.95
0.7,49.481,0.261,771.953,836.615,0.2,0.675,69.72,67.196,68.626,726.649,751.744
0.7999999999999999,99.532,0.565,281.439,504.238,0.2,5.518,82.282,66.985,73.51,224.183,241.149
0.8999999999999999,8.856,1.0,230.727,261.658,0.2,1.733,84.143,78.35,82.747,223.367,228.319
0.9999999999999999,3.835,0.739,226.834,231.596,0.2,2.51,84.126,76.165,82.224,217.669,228.344
1.0999999999999999,13.363,0.348,237.85,249.13,0.2,2.515,82.216,74.043,77.852,218.406,245.76
1.2,9.171,0.826,254.815,272.806,0.2,4.567,88.845,73.813,83.764,239.511,252.839
1.3,12.271,1.0,274.249,287.568,0.2,1.184,88.187,83.497,85.36,253.251,276.629
1.4000000000000001,10.974,1.0,276.842,287.617,0.2,0.624,84.698,82.135,83.752,253.284,282.213
1.5000000000000002,20.008,1.0,245.679,277.307,0.2,1.445,84.448,79.645,81.725,222.016,244.999
1.6000000000000003,5.574,0.87,222.084,235.109,0.2,1.82,80.498,73.42,79.202,210.719,222.13
1.7000000000000004,231.358,0.478,326.383,800.812,0.2,2.214,79.722,72.599,75.234,204.836,221.956
1.8000000000000005,208.496,0.783,341.438,812.228,0.2,4.073,83.483,72.684,79.224,243.811,250.487
1.9000000000000006,7.811,1.0,260.722,272.286,0.2,1.598,84.012,78.051,81.984,248.744,262.398
2.0000000000000004,17.625,0.609,257.601,272.28,0.2,4.064,82.499,69.105,76.69,220.352,265.055
2.1000000000000005,8.188,0.217,206.827,217.15,0.2,5.094,83.868,68.056,73.031,198.224,203.891
2.2000000000000006,8.988,0.783,193.29,216.558,0.2,3.111,84.078,72.443,80.832,186.056,188.123
2.3000000000000007,3.404,1.0,189.674,198.511,0.2,0.517,82.46,80.606,81.714,186.161,188.214
2.400000000000001,12.153,1.0,203.26,234.468,0.2,2.5,82.028,75.181,78.293,189.819,201.251
2.500000000000001,20.115,1.0,235.281,258.006,0.2,2.551,82.077,75.265,79.186,206.177,241.178
2.600000000000001,5.674,1.0,259.679,267.034,0.2,1.393,84.983,80.936,83.159,247.269,260.906
2.700000000000001,6.28,0.565,261.586,267.625,0.2,4.884,84.85,71.654,78.338,247.785,263.743
2.800000000000001,18.574,0.348,218.721,253.544,0.2,3.311,79.501,68.02,74.341,194.929,216.852
2.9000000000000012,11.672,0.261,207.929,219.809,0.2,3.216,78.835,67.885,72.163,189.208,210.631
3.0000000000000013,11.862,0.609,215.407,249.786,0.2,5.289,81.398,67.905,76.784,203.369,212.446
3.1000000000000014,4.469,1.0,209.78,215.729,0.2,2.551,82.679,74.72,79.563,198.299,211.305
3.2000000000000015,5.246,1.0,208.034,214.306,0.2,0.579,82.704,80.553,81.595,197.37,209.936
3.3000000000000016,3.615,1.0,201.148,208.384,0.2,1.749,81.533,76.311,79.415,196.848,200.354
3.4000000000000017,5.61,1.0,201.612,209.731,0.2,2.262,82.781,76.342,80.045,182.369,203.002
3.5000000000000018,247.995,0.522,305.667,836.97,0.2,3.088,82.698,71.582,77.936,178.189,203.622
3.600000000000002,312.479,0.609,419.832,836.224,0.2,4.186,80.309,68.506,75.129,180.942,205.375
