t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,6.384,0.087,794.004,798.518,0.2,4.051,58.172,43.91,50.798,789.489,794.004
0.1,0.339,0.087,789.736,789.976,0.2,3.719,58.89,44.166,53.421,789.497,789.736
0.2,-1,0.0,-1,-1,0.2,2.245,54.996,47.519,52.209,-1,-1
0.30000000000000004,19.1,0.087,774.202,787.707,0.2,3.661,56.786,44.026,50.878,760.696,774.202
0.4,-1,0.0,-1,-1,0.2,3.703,56.837,43.323,51.297,-1,-1
0.5,6.291,0.261,569.617,578.469,0.2,2.488,55.255,45.346,50.385,560.31,569.212
0.6,35.373,0.391,722.76,768.18,0.2,2.134,56.081,49.054,52.322,656.575,732.885
0.7,19.902,0.783,751.391,774.148,0.2,1.989,56.093,48.858,52.541,687.411,752.33
0.7999999999999999,9.712,0.478,755.571,776.46,0.2,2.021,56.562,48.762,52.872,738.77,756.534
0.8999999999999999,16.907,0.217,811.8,840.412,0.2,1.959,55.552,48.695,52.047,796.385,807.681
0.9999999999999999,-1,0.043,795.298,795.298,0.2,3.481,56.675,44.04,50.88,795.298,795.298
1.0999999999999999,4.913,0.261,176.21,184.194,0.2,8.041,70.358,46.655,57.684,170.633,174.773
1.2,25.428,0.652,201.984,233.329,0.2,5.738,69.186,51.344,59.928,166.441,200.969
1.3,21.399,1.0,239.366,265.65,0.2,1.879,69.207,61.164,66.905,199.712,239.735
1.4000000000000001,16.383,1.0,248.289,265.397,0.2,1.79,71.133,65.151,68.805,211.519,254.705
1.5000000000000002,28.204,1.0,204.523,251.329,0.2,2.709,73.147,65.093,70.173,172.017,200.749
1.6000000000000003,5.171,0.391,177.638,188.437,0.2,4.095,73.138,61.312,66.795,173.161,175.826
1.7000000000000004,11.077,0.609,165.289,200.275,0.2,3.777,71.481,60.097,67.87,158.543,161.477
1.8000000000000005,2.354,1.0,162.64,165.77,0.2,0.666,72.934,70.5,71.612,158.631,163.393
1.9000000000000006,6.781,1.0,158.558,165.799,0.2,2.759,72.987,64.995,70.366,147.615,161.94
2.0000000000000004,4.007,1.0,148.647,158.483,0.2,1.179,69.148,65.019,67.078,142.26,148.548
2.1000000000000005,3.188,1.0,145.708,155.562,0.2,0.613,67.76,65.876,66.96,142.225,144.77
2.2000000000000006,17.803,0.522,155.915,192.82,0.2,4.3,68.887,56.269,64.323,142.187,145.446
2.3000000000000007,8.726,0.696,166.724,192.354,0.2,4.613,69.094,55.653,65.304,156.877,164.938
2.400000000000001,7.802,0.957,154.705,166.156,0.2,3.519,68.892,55.789,66.677,138.221,155.004
