t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.043,111.086,111.086,0.2,2.557,53.528,43.443,48.887,111.086,111.086
0.1,6.567,0.174,610.868,619.051,0.2,2.531,53.533,44.935,49.385,604.196,609.828
0.2,3.509,0.087,607.155,609.636,0.2,3.38,53.085,41.391,47.679,604.674,607.155
0.30000000000000004,-1,0.0,-1,-1,0.2,3.258,55.633,43.007,51.128,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.242,54.116,42.891,49.552,-1,-1
0.5,-1,0.0,-1,-1,0.2,3.102,54.068,43.019,49.317,-1,-1
0.6,8.299,0.087,713.731,719.599,0.2,3.343,55.285,43.233,50.884,707.863,713.731
0.7,8.339,0.13,748.793,758.255,0.2,2.176,56.869,48.58,53.585,742.515,745.611
0.7999999999999999,147.519,0.435,642.123,777.823,0.2,2.345,55.473,48.014,51.656,468.444,740.981
0.8999999999999999,113.134,0.609,657.126,773.765,0.2,2.631,54.108,45.104,49.646,468.012,653.489
0.9999999999999999,29.805,0.435,464.585,488.054,0.2,4.474,58.372,45.577,51.726,399.083,476.965
1.0999999999999999,110.644,0.391,519.735,683.35,0.2,2.916,58.662,46.982,53.172,369.738,481.867
1.2,21.087,0.087,626.2,641.111,0.2,3.464,55.133,44.023,50.924,611.289,626.2
1.3,-1,0.0,-1,-1,0.2,3.405,54.957,44.089,50.37,-1,-1
1.4000000000000001,3.785,0.174,144.461,148.151,0.2,4.059,65.775,49.223,53.87,139.776,144.959
1.5000000000000002,10.496,0.783,130.527,148.552,0.2,9.444,77.875,52.128,70.255,114.894,128.95
1.6000000000000003,5.369,1.0,117.672,129.009,0.2,1.608,77.846,73.273,74.485,112.91,114.935
1.7000000000000004,1.703,0.826,114.558,117.807,0.2,1.588,73.538,68.17,72.673,111.415,114.35
1.8000000000000005,2.828,0.261,114.549,117.977,0.2,11.359,73.294,44.383,56.238,111.722,114.257
1.9000000000000006,100.889,0.391,643.918,742.204,0.2,3.743,59.33,46.062,52.169,509.783,664.317
2.0000000000000004,233.707,0.783,292.267,667.77,0.2,8.248,73.585,53.354,64.007,125.07,144.658
2.1000000000000005,5.668,1.0,127.728,147.094,0.2,1.025,73.594,70.532,72.176,119.532,128.17
2.2000000000000006,3.725,1.0,121.952,129.018,0.2,0.424,72.578,70.951,71.958,116.589,121.276
2.3000000000000007,2.974,1.0,122.139,127.075,0.2,0.841,72.177,69.934,70.908,116.441,122.51
2.400000000000001,3.588,1.0,121.813,127.012,0.2,0.393,71.069,69.813,70.33,115.102,122.29
2.500000000000001,8.926,1.0,126.989,144.893,0.2,3.199,78.03,69.748,74.051,115.208,126.601
2.600000000000001,7.484,1.0,140.499,149.61,0.2,1.064,78.505,73.8,77.68,127.971,141.168
2.700000000000001,6.952,0.565,145.75,157.514,0.2,7.234,78.26,54.543,69.367,132.229,146.936
2.800000000000001,6.084,0.739,140.959,160.936,0.2,8.038,77.602,54.712,71.761,137.209,138.509
2.9000000000000012,5.122,1.0,135.061,138.727,0.2,1.002,77.604,74.245,75.938,119.782,137.675
3.0000000000000013,7.981,0.783,126.645,138.229,0.2,7.788,75.877,54.553,66.604,110.473,127.9
3.1000000000000014,5.87,0.783,126.569,132.122,0.2,5.932,74.382,54.885,67.203,113.347,129.052
3.2000000000000015,1.96,0.87,130.518,134.621,0.2,2.941,75.126,65.189,72.511,126.026,130.426
3.3000000000000016,337.373,0.522,402.931,798.476,0.2,5.491,73.521,54.749,62.76,125.384,134.16
3.4000000000000017,10.461,0.478,134.878,156.65,0.2,7.109,74.071,54.64,62.832,121.222,132.517
3.5000000000000018,7.618,1.0,129.239,156.036,0.2,1.199,74.088,68.47,72.132,123.695,126.067
3.600000000000002,3.165,1.0,122.925,126.166,0.2,0.401,73.098,71.655,72.236,117.042,123.245
