t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.401,51.455,46.018,47.551,-1,-1
0.1,-1,0.0,-1,-1,0.2,1.386,48.476,44.327,46.176,-1,-1
0.2,9.66,0.435,364.466,386.856,0.2,0.759,46.315,43.504,45.084,352.413,363.396
0.30000000000000004,12.221,0.609,369.51,396.023,0.2,1.612,48.073,42.104,44.864,353.185,366.445
0.4,2.536,0.087,224.744,226.537,0.2,4.614,58.327,41.74,45.321,222.951,224.744
0.5,7.452,0.522,198.55,213.083,0.2,10.811,74.478,44.325,62.601,188.942,197.098
0.6,21.433,0.478,210.965,240.821,0.2,9.792,71.907,44.981,55.862,189.481,199.903
0.7,18.989,0.739,262.768,286.286,0.2,6.073,73.25,52.214,68.973,234.691,267.369
0.7999999999999999,12.517,1.0,289.768,308.353,0.2,0.646,71.99,69.801,70.789,264.575,288.451
0.8999999999999999,40.222,1.0,261.171,309.951,0.2,2.199,76.105,70.595,73.52,192.099,267.083
0.9999999999999999,21.446,1.0,198.789,248.099,0.2,2.344,77.751,70.45,74.326,176.689,191.529
1.0999999999999999,3.787,0.565,180.056,188.943,0.2,7.906,77.705,56.408,66.725,176.482,178.418
1.2,9.769,0.435,180.581,201.807,0.2,6.068,72.139,56.69,64.453,172.141,177.071
1.3,6.974,1.0,183.186,201.619,0.2,1.786,76.181,70.862,73.624,172.235,182.953
1.4000000000000001,5.881,1.0,191.108,198.754,0.2,0.652,76.178,73.74,75.426,181.242,191.996
1.5000000000000002,15.383,1.0,177.486,198.713,0.2,2.383,76.111,68.926,72.632,154.049,174.485
1.6000000000000003,5.759,1.0,157.968,170.736,0.2,2.459,73.736,66.867,70.165,151.773,155.181
1.7000000000000004,2.585,0.739,153.826,158.553,0.2,1.929,68.806,63.319,66.318,149.168,154.4
1.8000000000000005,24.0,0.261,176.808,206.418,0.2,4.553,70.695,53.125,60.999,153.371,175.016
1.9000000000000006,4.812,0.739,196.582,212.238,0.2,7.39,74.702,53.106,69.955,191.969,196.077
2.0000000000000004,6.332,1.0,203.22,213.38,0.2,1.358,74.732,69.544,73.057,193.013,203.876
2.1000000000000005,3.912,1.0,210.4,215.952,0.2,1.946,73.009,66.035,70.443,198.461,211.708
2.2000000000000006,5.561,0.522,209.687,216.207,0.2,9.409,70.144,46.968,56.376,197.725,210.727
