t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,8.748,0.261,126.863,141.971,0.2,10.295,76.412,46.942,57.016,116.292,127.376
0.1,10.044,0.87,121.841,153.528,0.2,3.543,76.799,63.544,74.292,111.094,119.077
0.2,275.065,0.609,254.393,777.431,0.2,8.694,76.393,51.181,66.306,111.333,118.869
0.30000000000000004,235.741,0.478,294.92,777.367,0.2,11.086,78.73,50.923,66.085,175.354,187.44
0.4,8.233,1.0,198.059,207.068,0.2,1.305,80.798,76.838,78.926,183.212,199.925
0.5,10.243,1.0,196.967,212.194,0.2,1.082,81.113,77.476,79.422,176.265,199.71
0.6,16.844,1.0,171.417,203.075,0.2,3.002,82.857,73.398,77.88,141.846,169.703
0.7,11.814,1.0,144.858,162.581,0.2,1.891,82.854,76.839,79.62,122.479,143.005
0.7999999999999999,7.271,0.478,133.486,141.749,0.2,4.047,80.574,67.894,75.507,122.428,134.825
0.8999999999999999,7.127,0.609,136.405,154.54,0.2,4.692,80.571,66.76,75.151,128.591,134.184
0.9999999999999999,11.331,1.0,144.984,160.136,0.2,0.923,80.553,77.667,78.753,128.563,147.29
1.0999999999999999,3.603,1.0,153.707,160.223,0.2,4.307,81.101,68.992,74.673,144.593,153.22
1.2,14.03,1.0,136.498,153.884,0.2,5.402,82.345,68.228,73.482,117.305,134.059
1.3,5.128,1.0,123.307,133.084,0.2,4.336,79.845,68.269,74.975,111.913,123.523
1.4000000000000001,4.949,0.87,118.151,125.082,0.2,1.756,77.632,71.079,75.523,106.284,118.433
1.5000000000000002,13.868,0.478,124.913,149.532,0.2,2.79,78.917,68.657,74.111,106.291,119.2
1.6000000000000003,13.823,0.783,123.093,149.658,0.2,2.765,79.005,69.307,76.452,109.428,118.629
1.7000000000000004,4.895,1.0,108.196,119.621,0.2,1.924,77.238,71.087,73.944,100.558,109.097
1.8000000000000005,4.202,1.0,107.04,113.667,0.2,1.262,73.571,68.866,71.659,100.854,105.247
1.9000000000000006,3.637,0.609,109.683,113.598,0.2,1.478,74.723,69.504,72.735,102.006,111.132
2.0000000000000004,-1,0.0,-1,-1,0.2,8.618,74.837,52.666,64.403,-1,-1
2.1000000000000005,-1,0.0,-1,-1,0.2,4.179,58.023,41.524,50.927,-1,-1
2.2000000000000006,19.066,0.609,202.94,218.238,0.2,17.623,88.479,42.102,73.686,148.065,209.407
2.3000000000000007,36.557,0.783,165.56,212.49,0.2,8.095,88.316,60.464,76.945,123.178,157.331
2.400000000000001,4.969,0.217,128.608,135.266,0.2,9.204,72.602,42.65,56.177,123.629,127.876
2.500000000000001,2.365,0.13,166.188,168.88,0.2,9.563,75.081,43.103,54.934,164.128,165.237
2.600000000000001,230.148,0.652,275.936,727.954,0.2,6.776,79.365,57.34,73.095,149.897,168.632
2.700000000000001,271.346,0.478,286.093,837.074,0.2,9.519,81.135,55.659,67.263,149.89,164.845
2.800000000000001,15.904,0.783,151.646,190.598,0.2,6.047,81.325,57.874,77.283,136.012,144.083
2.9000000000000012,7.511,0.783,136.204,145.36,0.2,10.82,79.324,50.081,70.769,119.607,137.025
3.0000000000000013,10.106,0.652,142.95,152.059,0.2,11.657,82.425,50.394,69.684,120.207,147.779
3.1000000000000014,15.683,1.0,134.044,151.144,0.2,2.223,84.535,78.274,81.579,107.219,139.437
3.2000000000000015,7.608,1.0,111.725,131.683,0.2,3.643,82.434,70.006,75.853,103.502,109.947
3.3000000000000016,4.405,0.609,105.946,112.031,0.2,9.481,75.764,49.931,68.134,100.302,105.468
3.4000000000000017,13.969,0.217,115.519,127.709,0.2,10.128,78.031,41.479,54.511,100.013,122.165
3.5000000000000018,4.257,0.696,118.47,127.47,0.2,10.607,79.28,41.741,72.662,112.501,118.087
3.600000000000002,3.664,0.87,120.512,126.23,0.2,6.558,77.563,55.691,73.06,112.136,120.887
3.700000000000002,22.264,0.739,147.621,175.332,0.2,10.229,79.869,49.443,70.107,117.934,157.837
3.800000000000002,11.367,1.0,175.679,192.524,0.2,0.786,80.031,77.222,78.867,156.82,175.169
3.900000000000002,4.911,1.0,183.015,190.279,0.2,0.98,80.058,77.136,78.006,176.251,182.666
4.000000000000002,5.439,0.957,180.829,189.675,0.2,8.422,77.563,51.856,72.34,168.017,180.119
4.100000000000001,18.202,0.304,197.9,223.399,0.2,11.416,74.598,40.121,54.87,171.439,202.334
4.200000000000001,29.446,0.739,166.265,221.554,0.2,11.078,84.057,47.3,75.102,132.514,154.34
4.300000000000001,15.558,1.0,128.882,156.823,0.2,2.485,82.944,73.845,76.808,109.747,128.054
4.4,5.422,0.609,111.168,121.407,0.2,5.064,77.381,60.115,71.862,102.042,111.779
4.5,338.83,0.174,609.083,791.454,0.2,3.808,71.252,60.017,67.112,101.6,771.638
4.6,7.335,0.087,537.809,542.996,0.2,6.32,70.353,49.912,62.651,532.623,537.809
4.699999999999999,55.572,0.391,508.008,590.096,0.2,2.684,56.417,47.121,52.67,440.882,528.098
4.799999999999999,-1,0.0,-1,-1,0.2,1.53,57.836,52.341,55.845,-1,-1
4.899999999999999,-1,0.0,-1,-1,0.2,2.722,58.174,48.117,54.093,-1,-1
4.999999999999998,0.006,0.087,128.27,128.274,0.2,7.374,69.2,43.563,55.211,128.266,128.27
5.099999999999998,2.25,0.652,126.036,129.823,0.2,9.51,79.287,44.747,72.672,122.688,126.652
5.1999999999999975,1.555,0.565,126.576,128.176,0.2,3.323,79.607,69.766,76.198,122.829,126.824
5.299999999999997,2.604,0.522,124.756,130.573,0.2,4.086,80.552,69.381,76.805,121.877,124.029
5.399999999999997,6.206,1.0,129.218,143.26,0.2,0.761,80.537,76.834,79.552,121.876,127.871
5.4999999999999964,23.12,1.0,159.871,191.107,0.2,2.262,80.361,71.904,77.896,129.056,163.444
5.599999999999996,10.018,1.0,192.159,204.69,0.2,1.586,80.592,75.495,78.938,169.927,193.654
5.699999999999996,15.512,1.0,183.844,204.673,0.2,1.483,82.337,76.953,80.466,154.248,188.424
5.799999999999995,11.144,0.609,163.295,181.507,0.2,11.392,81.618,51.158,69.808,147.262,161.344
5.899999999999995,7.256,0.652,142.277,153.148,0.2,10.525,83.834,50.694,73.724,125.381,143.212
5.999999999999995,8.639,1.0,146.696,159.827,0.2,5.452,84.412,66.722,78.091,126.805,146.402
6.099999999999994,4.25,1.0,155.605,161.186,0.2,1.677,84.419,79.079,81.837,149.018,156.874
6.199999999999994,10.118,1.0,144.744,159.609,0.2,3.768,83.07,71.127,79.259,126.993,145.737
6.299999999999994,3.534,1.0,132.311,138.159,0.2,3.048,81.261,71.328,78.436,124.871,131.706
6.399999999999993,4.542,1.0,131.966,140.817,0.2,1.852,81.25,75.667,79.031,121.336,131.351
6.499999999999993,4.576,1.0,140.523,145.974,0.2,0.461,79.922,78.37,78.951,131.967,141.636
6.5999999999999925,5.559,0.913,140.156,146.007,0.2,0.602,79.401,76.367,78.514,125.595,141.168
6.699999999999992,5.893,0.435,131.929,138.519,0.2,3.255,79.364,69.659,74.662,122.493,133.652
6.799999999999992,8.105,0.304,113.28,125.358,0.2,2.963,78.108,68.749,73.153,103.771,113.3
6.8999999999999915,5.839,0.565,119.673,128.833,0.2,3.253,77.866,67.5,73.977,110.566,118.306
6.999999999999991,3.539,0.783,117.125,123.033,0.2,6.253,76.885,58.822,71.719,110.148,117.098
7.099999999999991,4.08,0.826,116.748,124.182,0.2,6.533,77.634,58.857,72.425,109.131,115.843
7.19999999999999,9.631,1.0,127.69,145.942,0.2,1.165,79.627,75.525,77.146,110.068,126.824
7.29999999999999,5.716,1.0,140.657,148.866,0.2,2.12,80.541,73.952,77.46,128.811,141.965
7.39999999999999,13.513,1.0,129.409,148.369,0.2,2.21,81.105,75.07,77.254,110.768,130.589
7.499999999999989,4.102,1.0,118.035,124.192,0.2,0.99,77.923,75.174,76.939,109.848,119.585
7.599999999999989,1.887,1.0,122.541,125.246,0.2,0.547,78.524,76.498,77.732,118.421,122.632
7.699999999999989,3.482,1.0,127.672,132.364,0.2,0.3,78.517,77.513,77.984,122.431,128.552
7.799999999999988,4.747,1.0,127.431,132.348,0.2,0.693,77.691,75.794,76.961,117.674,129.715
7.899999999999988,5.807,1.0,116.423,127.066,0.2,1.513,76.423,72.138,74.226,108.884,114.543
7.999999999999988,8.284,1.0,117.978,138.735,0.2,3.766,75.39,64.068,71.538,108.647,115.564
8.099999999999987,10.986,1.0,126.396,139.919,0.2,5.948,79.935,64.147,74.972,104.643,127.375
8.199999999999987,11.814,1.0,113.949,137.503,0.2,3.355,79.928,70.604,74.496,101.834,108.945
8.299999999999986,2.826,0.826,106.35,110.359,0.2,6.123,73.356,55.54,67.306,101.281,106.381
8.399999999999986,13.302,0.783,120.405,139.594,0.2,7.473,76.433,54.991,69.009,101.262,124.454
8.499999999999986,5.745,0.478,131.27,139.833,0.2,9.497,75.474,50.324,62.837,124.751,128.708
8.599999999999985,32.322,0.217,776.334,817.82,0.2,2.854,55.79,45.649,50.341,730.479,780.07
8.699999999999985,-1,0.0,-1,-1,0.2,2.401,55.524,46.699,52.943,-1,-1
8.799999999999985,-1,0.0,-1,-1,0.2,2.26,56.038,48.915,53.37,-1,-1
8.899999999999984,31.681,0.522,143.027,212.808,0.2,10.666,78.445,48.922,63.995,121.909,127.287
8.999999999999984,8.249,1.0,126.723,155.96,0.2,4.159,79.171,68.016,75.062,115.858,125.377
9.099999999999984,5.605,1.0,126.613,136.439,0.2,3.393,77.735,67.978,74.09,116.464,126.765
9.199999999999983,3.187,1.0,130.807,136.347,0.2,1.695,80.35,75.853,78.196,125.535,131.323
9.299999999999983,3.844,1.0,133.431,142.309,0.2,2.894,79.815,70.069,76.338,124.003,133.511
9.399999999999983,13.209,1.0,148.892,166.257,0.2,3.23,78.659,69.944,75.05,123.82,147.884
9.499999999999982,10.182,1.0,172.484,186.059,0.2,0.469,78.711,77.231,78.201,157.501,172.082
9.599999999999982,5.211,0.826,183.363,191.72,0.2,10.397,78.756,51.308,70.388,166.097,184.531
