t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,17.572,29.617,-31.674,1.967,-1,-1
0.1,-1,0.0,-1,-1,0.2,92.725,-1.863,-326.318,-52.307,-1,-1
0.2,-1,0.0,-1,-1,0.2,115.044,21.6,-331.563,-54.585,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,7.421,33.947,8.572,21.801,-1,-1
0.4,-1,0.043,504.101,504.101,0.2,10.769,33.604,-15.028,17.177,504.101,504.101
0.5,35.84,0.13,522.807,564.181,0.2,12.06,19.018,-28.057,0.515,501.314,502.926
0.6,3.154,0.174,202.143,205.228,0.2,7.549,20.514,-4.393,6.255,197.77,202.786
0.7,1.841,0.13,201.349,202.8,0.2,14.562,20.526,-30.737,2.784,199.278,201.97
0.7999999999999999,-1,0.0,-1,-1,0.2,69.461,3.644,-300.075,-31.987,-1,-1
0.8999999999999999,-1,0.0,-1,-1,0.2,75.105,20.769,-300.163,-16.539,-1,-1
0.9999999999999999,-1,0.0,-1,-1,0.2,12.269,29.788,-5.883,10.494,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,14.066,50.14,3.819,26.109,-1,-1
1.2,-1,0.0,-1,-1,0.2,8.466,50.148,25.579,34.916,-1,-1
1.3,50.451,0.217,533.686,601.631,0.2,5.074,32.579,18.909,25.512,485.433,523.209
1.4000000000000001,-1,0.0,-1,-1,0.2,4.072,28.749,11.924,20.646,-1,-1
1.5000000000000002,-1,0.0,-1,-1,0.2,7.168,38.682,11.688,27.278,-1,-1
1.6000000000000003,27.436,0.565,522.849,547.195,0.2,8.524,34.165,3.475,23.695,465.312,536.64
1.7000000000000004,323.31,0.304,492.677,762.84,0.2,99.979,23.69,-332.22,-31.837,146.128,737.025
1.8000000000000005,-1,0.0,-1,-1,0.2,105.931,44.88,-329.691,-21.602,-1,-1
1.9000000000000006,4.479,0.478,140.781,151.245,0.2,11.901,58.486,24.48,48.62,136.942,139.413
2.0000000000000004,2.894,1.0,138.51,143.816,0.2,0.594,58.504,56.401,57.923,133.251,137.488
2.1000000000000005,2.78,0.826,139.477,142.945,0.2,3.942,60.386,48.178,56.186,133.136,139.607
2.2000000000000006,326.482,0.652,380.154,842.234,0.2,3.057,57.46,47.863,52.555,139.55,173.351
2.3000000000000007,229.764,0.913,272.228,828.057,0.2,3.786,61.538,48.236,57.158,169.988,182.822
2.400000000000001,13.271,1.0,170.534,187.406,0.2,1.701,62.413,56.087,60.651,145.582,172.093
2.500000000000001,13.351,1.0,145.187,169.031,0.2,2.469,61.804,54.105,56.294,126.197,143.15
2.600000000000001,294.814,0.957,285.848,823.385,0.2,1.564,56.166,50.553,53.471,123.478,130.397
2.700000000000001,338.869,0.913,565.784,846.323,0.2,3.216,58.706,43.87,50.982,124.686,815.385
2.800000000000001,291.126,0.957,315.845,849.383,0.2,5.578,61.269,44.565,57.304,157.053,163.287
2.9000000000000012,3.33,1.0,160.229,165.576,0.2,2.581,60.044,52.309,56.759,154.23,160.714
3.0000000000000013,2.656,0.957,159.591,162.653,0.2,1.973,56.485,49.137,54.341,154.057,159.96
3.1000000000000014,1.735,0.391,160.51,162.668,0.2,2.816,55.695,45.438,50.966,158.428,160.206
3.2000000000000015,-1,0.0,-1,-1,0.2,13.333,53.458,15.291,39.626,-1,-1
3.3000000000000016,-1,0.0,-1,-1,0.2,99.136,29.562,-328.987,-40.938,-1,-1
3.4000000000000017,4.716,0.348,129.878,136.919,0.2,128.958,56.341,-331.099,-31.722,122.491,130.315
3.5000000000000018,4.41,0.913,125.104,136.233,0.2,2.412,56.41,48.642,52.705,120.131,123.255
3.600000000000002,7.601,1.0,128.096,142.737,0.2,2.484,56.69,48.281,52.262,117.449,123.609
3.700000000000002,9.566,1.0,145.861,158.486,0.2,1.17,57.277,53.666,56.06,129.984,150.243
3.800000000000002,3.897,1.0,158.261,164.092,0.2,1.301,57.891,53.438,55.824,150.289,158.847
3.900000000000002,3.754,0.783,160.991,164.353,0.2,1.652,59.279,53.963,57.074,148.165,162.093
4.000000000000002,21.85,0.304,142.583,161.683,0.2,4.392,56.55,41.674,50.655,119.027,158.532
4.100000000000001,3.089,0.261,117.777,119.448,0.2,8.629,52.675,25.679,40.847,111.501,118.876
4.200000000000001,5.932,0.348,148.056,160.502,0.2,11.271,57.939,26.0,44.34,142.583,145.795
4.300000000000001,6.759,0.913,140.483,159.527,0.2,1.307,59.019,53.782,57.218,133.989,136.933
4.4,2.342,1.0,137.438,140.398,0.2,0.578,59.006,56.844,57.964,133.962,137.158
4.5,3.602,0.652,140.329,148.115,0.2,4.463,57.963,46.137,53.285,131.947,139.903
4.6,-1,0.0,-1,-1,0.2,13.613,49.884,8.949,31.094,-1,-1
4.699999999999999,7.93,0.174,156.487,168.343,0.2,7.95,48.26,16.132,28.441,151.839,152.833
