t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.882,70.228,66.406,67.992,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.616,69.323,66.556,68.031,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.419,69.194,67.746,68.438,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.31,69.126,67.865,68.446,-1,-1
0.4,-1,0.0,-1,-1,0.2,0.689,70.067,67.206,68.689,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.873,70.085,67.203,68.701,-1,-1
0.6,-1,0.0,-1,-1,0.2,0.499,68.683,66.944,67.939,-1,-1
0.7,10.834,0.217,268.699,283.579,0.2,3.154,77.611,66.61,68.91,257.466,265.529
0.7999999999999999,9.601,0.783,254.191,281.448,0.2,4.653,83.553,67.657,77.882,244.713,249.418
0.8999999999999999,4.238,0.696,245.063,249.331,0.2,4.23,84.124,72.953,80.004,235.965,246.346
0.9999999999999999,221.933,0.652,469.033,706.826,0.2,2.81,78.075,69.298,72.977,234.95,290.78
1.0999999999999999,153.835,0.957,373.69,700.365,0.2,4.817,84.454,69.462,79.736,286.138,303.851
1.2,12.974,1.0,323.978,339.021,0.2,0.778,84.879,82.412,83.821,297.532,327.968
1.3,35.292,1.0,296.88,339.017,0.2,1.056,83.506,79.971,81.611,235.503,305.311
1.4000000000000001,26.016,1.0,235.889,291.888,0.2,1.073,80.905,76.827,79.493,197.172,227.628
1.5000000000000002,242.809,0.87,408.939,762.164,0.2,4.199,80.278,68.969,73.6,194.297,232.132
1.6000000000000003,181.686,0.913,340.897,741.967,0.2,4.601,81.686,68.993,77.494,237.606,245.453
1.7000000000000004,14.651,1.0,259.061,282.365,0.2,1.103,82.915,79.581,81.551,238.577,254.608
1.8000000000000005,196.702,0.957,419.738,732.541,0.2,4.47,82.872,71.604,78.224,262.938,281.161
1.9000000000000006,100.493,0.87,584.715,691.796,0.2,1.777,76.262,69.226,72.166,266.137,612.916
2.0000000000000004,174.447,0.957,357.765,621.709,0.2,3.999,81.212,69.434,75.781,220.792,237.276
2.1000000000000005,13.574,1.0,235.043,265.049,0.2,1.027,81.965,79.014,80.445,220.822,230.095
2.2000000000000006,16.869,1.0,262.28,278.194,0.2,1.134,84.195,79.511,82.357,225.789,268.635
2.3000000000000007,10.749,1.0,262.481,277.461,0.2,1.786,82.91,77.902,80.616,246.415,261.6
2.400000000000001,10.612,1.0,263.339,283.423,0.2,1.569,82.315,77.875,80.478,246.607,265.101
2.500000000000001,8.782,0.696,271.339,283.39,0.2,4.854,82.324,70.359,78.426,254.714,270.612
2.600000000000001,136.972,0.652,288.762,561.903,0.2,3.114,77.976,69.487,73.197,201.119,224.97
