t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,0.373,0.273,-1.085,-0.502,-1,-1
0.1,0.887,0.087,623.68,624.308,0.2,17.363,37.284,-1.059,15.612,623.053,623.68
0.2,-1,0.043,624.562,624.562,0.2,6.816,37.159,19.444,26.954,624.562,624.562
0.30000000000000004,89.192,0.304,334.304,406.357,0.2,1.976,22.397,14.966,19.992,238.772,405.057
0.4,2.55,0.087,425.441,427.243,0.2,9.455,37.955,6.297,18.499,423.638,425.441
0.5,-1,0.0,-1,-1,0.2,10.564,49.421,8.943,24.556,-1,-1
0.6,7.243,0.565,210.681,221.015,0.2,20.505,69.221,15.512,54.814,197.38,209.302
0.7,4.22,1.0,209.443,217.201,0.2,1.606,71.245,65.843,69.314,197.305,209.777
0.7999999999999999,22.711,1.0,233.345,271.993,0.2,2.724,75.681,66.669,71.48,209.786,235.244
0.8999999999999999,17.493,1.0,273.577,298.665,0.2,1.979,78.236,71.266,75.651,244.49,276.741
0.9999999999999999,6.559,1.0,294.12,304.13,0.2,1.514,79.095,73.622,77.519,279.163,295.2
1.0999999999999999,12.216,0.696,294.259,304.215,0.2,11.519,78.526,47.156,62.098,251.66,297.355
1.2,36.534,0.783,227.653,298.553,0.2,11.447,76.474,47.187,67.721,195.329,210.154
1.3,7.301,1.0,194.283,210.515,0.2,0.911,76.783,73.933,75.689,185.209,192.023
1.4000000000000001,2.479,1.0,187.616,191.805,0.2,7.665,76.983,54.602,71.137,182.16,186.951
1.5000000000000002,6.492,0.957,190.972,212.876,0.2,9.438,75.94,50.27,63.455,181.341,189.68
1.6000000000000003,8.935,1.0,204.747,221.899,0.2,2.694,81.19,72.987,77.754,188.217,206.208
1.7000000000000004,3.424,1.0,213.99,218.281,0.2,1.899,81.287,76.414,78.965,206.538,214.541
1.8000000000000005,10.232,1.0,205.29,218.445,0.2,1.609,76.894,72.47,75.088,185.909,205.445
1.9000000000000006,6.68,1.0,189.94,205.892,0.2,8.077,76.097,51.907,69.414,182.32,187.333
2.0000000000000004,14.526,0.652,197.74,219.72,0.2,10.864,77.605,48.747,62.094,181.85,188.583
2.1000000000000005,16.008,0.913,227.919,255.614,0.2,2.771,81.729,71.787,77.121,195.561,230.792
2.2000000000000006,18.194,1.0,261.347,291.955,0.2,4.556,85.007,70.751,80.835,234.735,267.148
2.3000000000000007,7.539,0.87,283.821,294.271,0.2,10.704,85.03,53.029,74.886,271.196,285.887
2.400000000000001,4.318,0.478,288.57,294.187,0.2,7.747,69.165,42.428,50.812,279.657,288.709
2.500000000000001,181.157,0.217,310.42,511.368,0.2,13.443,73.287,34.819,54.082,175.442,181.994
2.600000000000001,123.146,0.826,230.942,512.55,0.2,2.852,75.733,66.332,73.044,174.782,179.409
2.700000000000001,0.938,1.0,178.456,179.799,0.2,0.309,75.828,74.736,75.505,176.436,178.673
2.800000000000001,0.728,1.0,177.38,178.586,0.2,0.715,75.734,73.521,74.521,176.005,177.306
2.9000000000000012,2.841,1.0,176.498,181.394,0.2,2.064,74.17,67.756,72.335,170.749,176.774
3.0000000000000013,8.105,1.0,182.056,199.599,0.2,3.068,73.194,63.615,69.242,171.087,180.04
3.1000000000000014,6.943,1.0,192.069,200.713,0.2,4.921,80.183,63.377,73.456,180.075,193.868
3.2000000000000015,5.043,1.0,188.976,200.171,0.2,1.648,80.161,75.124,76.494,184.088,186.212
3.3000000000000016,1.94,0.522,184.177,186.096,0.2,11.302,76.111,45.934,64.068,179.535,184.529
3.4000000000000017,1.668,0.174,189.646,191.189,0.2,11.147,74.775,38.406,51.186,187.655,189.87
3.5000000000000018,3.785,0.739,184.456,191.404,0.2,7.372,75.846,48.784,69.262,177.365,184.411
3.600000000000002,2.042,0.913,182.771,185.945,0.2,7.791,72.2,51.306,62.51,178.353,183.468
3.700000000000002,5.08,0.739,184.623,194.041,0.2,7.091,71.385,47.874,53.771,174.759,184.537
3.800000000000002,4.91,0.739,175.331,192.544,0.2,7.279,71.912,47.9,67.602,169.174,174.947
3.900000000000002,10.378,1.0,182.468,198.745,0.2,2.925,74.927,65.175,69.756,168.215,179.362
4.000000000000002,10.9,1.0,202.674,223.506,0.2,3.568,81.64,70.638,77.833,181.414,203.593
4.100000000000001,20.509,1.0,231.934,262.174,0.2,1.341,84.071,80.119,81.746,203.521,228.764
4.200000000000001,9.428,1.0,254.808,265.843,0.2,1.868,82.518,75.552,80.632,237.665,257.756
4.300000000000001,29.371,1.0,223.281,264.37,0.2,1.967,81.115,75.581,78.113,174.848,222.764
4.4,10.508,0.783,190.356,212.13,0.2,9.441,80.528,53.66,67.747,168.689,192.01
4.5,9.544,0.87,177.862,195.508,0.2,5.612,73.217,53.485,67.378,160.664,177.155
4.6,4.269,0.87,178.437,184.344,0.2,4.806,73.953,57.994,67.977,167.604,178.801
4.699999999999999,2.414,0.783,177.693,184.287,0.2,8.497,77.15,51.416,67.184,174.253,177.195
4.799999999999999,9.162,0.609,185.042,196.327,0.2,8.605,73.371,50.224,62.088,174.326,183.872
4.899999999999999,2.902,0.826,192.214,196.791,0.2,4.83,78.692,61.654,73.794,187.835,192.542
4.999999999999998,3.677,1.0,186.518,192.993,0.2,2.063,77.444,68.974,75.455,180.183,185.499
5.099999999999998,1.669,0.522,183.111,185.481,0.2,11.635,75.903,46.397,57.58,180.267,182.892
5.1999999999999975,5.044,0.522,194.754,203.98,0.2,12.058,77.093,46.822,63.006,187.564,193.627
5.299999999999997,4.357,1.0,193.333,200.419,0.2,3.928,80.12,66.608,74.168,183.932,193.171
5.399999999999997,5.169,0.783,187.838,196.488,0.2,9.564,80.129,54.389,69.298,180.846,185.972
5.4999999999999964,6.538,0.739,177.046,189.68,0.2,8.013,77.012,53.933,63.71,167.981,175.18
5.599999999999996,67.882,0.522,191.724,407.149,0.2,9.367,72.336,40.409,51.436,167.583,171.946
5.699999999999996,3.705,0.522,182.901,188.046,0.2,12.377,72.504,40.403,58.29,172.67,182.952
5.799999999999995,1.247,1.0,183.69,186.405,0.2,1.389,74.442,70.567,73.191,181.565,183.859
5.899999999999995,1.653,1.0,185.819,187.899,0.2,0.254,74.591,73.836,74.3,182.98,186.3
5.999999999999995,3.627,1.0,190.017,196.877,0.2,0.553,75.046,72.963,74.317,186.739,187.731
6.099999999999994,5.462,1.0,191.567,196.936,0.2,8.132,75.041,49.101,68.319,177.628,193.124
6.199999999999994,7.844,0.652,192.581,201.181,0.2,12.124,75.008,43.557,62.38,176.558,195.596
6.299999999999994,61.295,0.957,209.276,483.479,0.2,1.184,77.832,74.875,76.302,192.158,196.131
6.399999999999993,6.064,1.0,188.065,195.393,0.2,1.556,77.821,73.723,75.587,177.675,189.594
6.499999999999993,3.92,0.957,178.494,185.872,0.2,7.056,74.399,53.137,68.545,171.48,177.693
6.5999999999999925,5.112,0.826,171.639,180.472,0.2,7.976,70.067,46.822,61.323,161.586,172.738
6.699999999999992,138.717,0.87,245.62,488.68,0.2,10.07,69.993,40.475,58.157,162.92,169.34
6.799999999999992,22.238,0.696,170.011,188.451,0.2,11.128,78.358,40.692,66.904,106.118,179.465
6.8999999999999915,3.063,1.0,178.161,183.798,0.2,4.535,78.139,63.611,68.016,172.385,179.021
6.999999999999991,2.577,1.0,177.158,184.298,0.2,3.479,74.55,62.865,71.435,174.606,176.757
7.099999999999991,0.651,1.0,175.524,176.934,0.2,0.959,74.499,71.683,72.549,174.59,175.367
7.19999999999999,1.378,0.739,174.971,178.078,0.2,12.851,71.897,39.087,58.682,172.648,175.278
7.29999999999999,2.489,0.913,171.806,177.337,0.2,12.86,69.298,36.802,55.635,167.836,171.31
7.39999999999999,4.069,0.913,169.96,180.985,0.2,9.74,69.26,42.967,60.889,160.265,169.96
7.499999999999989,80.969,0.739,236.903,365.42,0.2,11.983,71.542,39.842,59.286,173.368,183.963
7.599999999999989,10.285,1.0,187.617,209.651,0.2,4.963,80.226,59.355,71.248,173.748,185.683
7.699999999999989,9.333,1.0,200.692,214.174,0.2,6.349,81.898,59.255,77.513,176.886,201.379
7.799999999999988,11.043,1.0,217.476,241.191,0.2,1.896,81.911,75.618,79.88,200.104,216.888
7.899999999999988,10.377,0.87,236.815,246.975,0.2,9.616,80.235,49.522,68.805,219.031,242.706
7.999999999999988,1.479,0.478,245.791,248.387,0.2,15.3,62.514,12.78,39.229,243.438,246.307
8.099999999999987,29.628,0.304,362.782,403.844,0.2,10.014,45.152,14.408,37.534,322.726,378.248
8.199999999999987,-1,0.0,-1,-1,0.2,0.988,45.085,41.735,43.264,-1,-1
8.299999999999986,5.565,0.304,387.225,394.023,0.2,3.167,43.007,34.116,38.714,379.101,387.682
8.399999999999986,-1,0.0,-1,-1,0.2,13.23,51.424,3.713,26.568,-1,-1
8.499999999999986,7.202,0.609,183.078,191.493,0.2,26.514,80.839,2.839,57.569,165.657,186.425
8.599999999999985,5.833,1.0,192.489,201.036,0.2,2.551,80.893,73.704,76.624,184.464,191.084
8.699999999999985,3.339,1.0,196.138,200.356,0.2,2.169,80.23,74.146,77.248,190.955,196.188
8.799999999999985,7.279,1.0,202.119,212.869,0.2,1.023,81.552,78.64,80.577,191.139,202.804
8.899999999999984,2.743,1.0,209.184,212.889,0.2,1.368,81.915,78.236,80.185,202.863,210.209
8.999999999999984,4.989,1.0,203.882,211.36,0.2,1.786,78.82,73.589,77.173,194.267,203.563
9.099999999999984,5.032,0.826,199.391,205.932,0.2,10.351,76.147,47.465,65.299,187.04,201.013
9.199999999999983,6.119,0.783,190.783,203.766,0.2,11.888,80.133,46.121,67.853,181.833,189.903
9.299999999999983,5.34,1.0,191.903,201.173,0.2,2.251,80.507,72.556,77.065,182.572,190.917
9.399999999999983,4.481,1.0,194.453,201.136,0.2,4.824,78.377,61.878,72.283,182.645,194.399
