t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,1.486,0.087,488.507,489.557,0.2,1.726,35.449,28.9,31.27,487.456,488.507
0.1,91.063,0.13,677.246,781.972,0.2,6.408,48.001,29.633,37.756,616.706,633.061
0.2,69.494,0.087,543.231,592.371,0.2,4.184,45.713,30.532,36.814,494.091,543.231
0.30000000000000004,125.036,0.304,444.394,600.747,0.2,4.277,47.561,32.457,42.292,308.635,473.44
0.4,189.625,0.348,212.318,522.771,0.2,13.575,73.277,37.563,54.964,109.269,110.259
0.5,3.244,0.783,112.928,117.675,0.2,1.828,73.615,67.258,72.359,109.294,111.439
0.6,12.58,0.435,122.311,146.204,0.2,10.118,73.389,43.769,62.181,114.156,117.029
0.7,3.076,0.696,153.168,156.214,0.2,5.665,76.578,56.473,72.414,145.824,154.433
0.7999999999999999,1.14,0.913,153.753,155.297,0.2,4.199,76.557,60.069,72.209,151.779,154.135
0.8999999999999999,1.072,0.696,152.109,154.579,0.2,7.94,77.437,55.417,68.469,150.805,151.931
0.9999999999999999,8.653,0.783,153.648,187.287,0.2,8.074,77.38,49.343,68.773,146.808,151.169
1.0999999999999999,19.317,0.261,138.713,153.822,0.2,7.758,68.701,44.321,54.948,112.5,148.79
1.2,6.582,0.261,107.291,117.327,0.2,7.491,73.819,51.242,69.026,100.02,106.186
1.3,-1,0.0,-1,-1,0.2,3.735,73.505,64.362,70.046,-1,-1
1.4000000000000001,4.551,0.304,107.453,114.631,0.2,3.581,71.601,59.073,65.128,102.817,106.454
1.5000000000000002,4.057,0.913,107.906,114.007,0.2,2.233,73.126,63.93,71.465,102.277,108.153
1.6000000000000003,3.446,0.826,107.693,111.997,0.2,0.859,74.207,71.507,73.304,101.065,108.656
1.7000000000000004,1.704,0.261,103.35,105.156,0.2,1.308,74.145,69.651,72.141,100.564,103.579
1.8000000000000005,-1,0.0,-1,-1,0.2,2.702,73.256,61.752,69.781,-1,-1
1.9000000000000006,-1,0.0,-1,-1,0.2,4.061,69.785,54.991,62.607,-1,-1
2.0000000000000004,-1,0.0,-1,-1,0.2,5.01,71.787,54.812,66.251,-1,-1
2.1000000000000005,-1,0.0,-1,-1,0.2,2.51,68.421,57.988,66.363,-1,-1
2.2000000000000006,8.272,0.13,609.885,615.302,0.2,2.575,67.333,57.3,64.553,600.364,613.988
2.3000000000000007,13.3,0.304,608.98,635.391,0.2,4.267,65.398,55.177,59.826,592.94,605.211
2.400000000000001,-1,0.0,-1,-1,0.2,2.333,61.753,55.142,59.428,-1,-1
2.500000000000001,-1,0.0,-1,-1,0.2,2.339,60.988,54.852,57.918,-1,-1
2.600000000000001,-1,0.0,-1,-1,0.2,4.411,60.043,46.135,54.569,-1,-1
2.700000000000001,23.393,0.609,748.516,781.964,0.2,3.533,55.068,40.615,46.127,716.506,751.568
2.800000000000001,15.222,0.87,730.144,758.906,0.2,4.574,49.47,33.125,42.961,708.007,727.134
2.9000000000000012,-1,0.0,-1,-1,0.2,4.209,40.792,27.689,32.754,-1,-1
3.0000000000000013,7.561,0.522,128.738,140.12,0.2,18.879,72.693,27.711,56.751,113.367,129.767
3.1000000000000014,16.289,1.0,144.773,176.352,0.2,1.625,71.872,66.912,70.246,113.579,148.669
3.2000000000000015,22.878,1.0,140.093,173.921,0.2,2.306,73.997,67.067,71.328,101.387,151.705
3.3000000000000016,37.183,0.652,135.024,192.436,0.2,0.977,74.649,70.844,73.533,99.896,120.544
3.4000000000000017,46.233,0.478,133.712,193.093,0.2,3.103,73.987,63.417,71.482,100.072,100.531
3.5000000000000018,0.274,0.13,100.215,100.505,0.2,4.619,69.997,55.859,61.187,99.96,100.18
3.600000000000002,-1,0.0,-1,-1,0.2,11.987,60.069,27.861,47.991,-1,-1
3.700000000000002,7.301,0.348,737.36,744.058,0.2,2.901,38.282,26.395,30.778,725.415,740.534
3.800000000000002,7.58,0.304,737.221,747.202,0.2,2.586,35.358,26.436,30.748,724.258,737.769
3.900000000000002,-1,0.0,-1,-1,0.2,1.17,30.71,26.215,28.862,-1,-1
4.000000000000002,-1,0.0,-1,-1,0.2,7.863,58.692,28.361,33.256,-1,-1
4.100000000000001,2.023,0.522,105.042,108.774,0.2,14.273,70.458,31.98,59.548,101.846,105.09
4.200000000000001,9.355,0.696,113.022,124.552,0.2,7.491,71.557,48.924,63.857,101.47,109.347
4.300000000000001,2.479,0.696,121.202,124.936,0.2,6.495,71.831,53.123,65.945,116.997,121.504
4.4,7.206,0.609,111.094,122.447,0.2,6.82,73.731,53.381,63.79,100.587,109.369
4.5,3.199,0.696,106.795,113.362,0.2,5.98,74.237,58.061,67.6,101.088,107.057
4.6,2.488,0.13,102.371,105.162,0.2,10.497,74.261,47.224,66.637,100.386,101.566
4.699999999999999,-1,0.0,-1,-1,0.2,7.473,68.769,46.314,58.932,-1,-1
4.799999999999999,-1,0.0,-1,-1,0.2,4.906,68.579,53.219,60.059,-1,-1
4.899999999999999,-1,0.0,-1,-1,0.2,5.849,69.552,52.455,65.85,-1,-1
4.999999999999998,-1,0.043,103.658,103.658,0.2,7.27,69.327,48.243,62.503,103.658,103.658
5.099999999999998,-1,0.0,-1,-1,0.2,8.405,74.615,48.935,68.9,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,6.086,74.562,57.893,68.631,-1,-1
5.299999999999997,1.665,0.13,104.888,106.272,0.2,2.888,67.244,57.646,62.551,102.972,105.699
5.399999999999997,3.674,0.696,111.39,114.866,0.2,3.702,71.956,61.516,68.804,103.666,112.687
5.4999999999999964,4.97,0.696,110.193,114.909,0.2,0.211,72.149,71.469,71.808,100.419,112.651
5.599999999999996,4.33,0.391,105.876,111.765,0.2,4.376,73.545,58.26,69.721,99.823,105.621
5.699999999999996,7.944,0.87,114.613,127.49,0.2,5.002,74.954,59.406,71.474,105.343,112.284
5.799999999999995,7.85,0.87,118.275,127.589,0.2,0.744,75.09,72.927,73.989,101.609,119.061
5.899999999999995,6.472,0.304,109.71,118.08,0.2,1.295,73.569,69.969,71.915,101.044,111.826
5.999999999999995,0.566,0.087,108.962,109.362,0.2,4.55,73.497,58.423,69.272,108.562,108.962
6.099999999999994,0.281,0.087,108.73,108.929,0.2,4.778,72.491,58.457,68.396,108.531,108.73
6.199999999999994,-1,0.0,-1,-1,0.2,0.242,72.529,71.548,72.104,-1,-1
6.299999999999994,-1,0.0,-1,-1,0.2,5.332,72.503,52.515,69.81,-1,-1
6.399999999999993,-1,0.0,-1,-1,0.2,8.397,71.762,50.687,62.165,-1,-1
6.499999999999993,-1,0.0,-1,-1,0.2,5.611,71.72,50.624,67.458,-1,-1
6.5999999999999925,-1,0.0,-1,-1,0.2,7.483,71.317,49.122,62.28,-1,-1
6.699999999999992,-1,0.0,-1,-1,0.2,6.822,70.256,49.226,63.734,-1,-1
6.799999999999992,12.26,0.261,116.667,130.391,0.2,8.286,69.928,41.838,57.212,102.753,116.003
6.8999999999999915,8.459,0.435,109.785,128.645,0.2,7.93,69.49,40.673,64.658,100.735,107.622
6.999999999999991,2.478,0.174,103.243,106.172,0.2,2.748,71.348,61.157,68.409,100.379,103.21
7.099999999999991,-1,0.0,-1,-1,0.2,2.73,71.386,60.733,67.95,-1,-1
7.19999999999999,-1,0.0,-1,-1,0.2,12.145,67.998,36.763,53.356,-1,-1
7.29999999999999,12.28,0.391,161.502,180.845,0.2,10.487,66.741,36.387,52.336,141.173,161.862
7.39999999999999,9.063,0.217,163.737,173.114,0.2,2.15,68.357,61.334,64.757,151.008,167.461
7.499999999999989,-1,0.0,-1,-1,0.2,6.074,66.014,42.897,59.618,-1,-1
7.599999999999989,10.412,0.391,162.587,176.335,0.2,6.298,61.694,42.817,52.721,142.497,165.287
7.699999999999989,11.274,0.217,156.093,167.143,0.2,9.862,70.608,42.684,59.636,137.499,156.894
7.799999999999988,5.521,0.13,106.382,111.211,0.2,3.384,70.792,60.5,67.143,100.363,107.573
7.899999999999988,2.935,0.652,111.292,113.902,0.2,4.093,74.216,60.463,66.125,103.064,112.065
7.999999999999988,4.531,0.826,109.836,113.827,0.2,3.498,75.797,63.883,73.372,100.224,112.062
8.099999999999987,2.534,0.217,104.177,107.29,0.2,2.174,74.894,68.856,72.113,100.95,104.41
8.199999999999987,-1,0.0,-1,-1,0.2,4.153,70.338,55.61,65.941,-1,-1
8.299999999999986,1.605,0.087,682.057,683.193,0.2,5.564,65.13,47.892,53.515,680.922,682.057
8.399999999999986,2.037,0.174,683.942,685.409,0.2,8.315,53.047,29.118,41.655,680.996,684.67
8.499999999999986,1.803,0.087,153.858,155.132,0.2,5.21,49.411,27.367,32.33,152.583,153.858
8.599999999999985,1.49,0.087,152.632,153.685,0.2,16.742,71.652,27.633,57.969,151.578,152.632
8.699999999999985,-1,0.0,-1,-1,0.2,7.71,70.777,47.711,61.843,-1,-1
8.799999999999985,-1,0.043,100.688,100.688,0.2,4.732,70.718,53.759,66.577,100.688,100.688
8.899999999999984,0.565,0.087,100.992,101.391,0.2,3.804,69.752,55.26,66.776,100.592,100.992
8.999999999999984,-1,0.0,-1,-1,0.2,6.686,69.119,49.174,60.987,-1,-1
9.099999999999984,-1,0.0,-1,-1,0.2,6.877,67.612,49.159,57.464,-1,-1
9.199999999999983,7.647,0.478,117.206,138.152,0.2,11.857,76.616,47.756,63.666,108.975,115.68
9.299999999999983,5.649,0.565,112.301,119.693,0.2,1.145,76.625,72.736,75.384,102.088,114.378
9.399999999999983,16.782,0.261,600.596,622.054,0.2,2.675,75.178,65.87,70.557,575.797,601.617
9.499999999999982,-1,0.043,99.872,99.872,0.2,9.109,69.16,41.144,57.986,99.872,99.872
9.599999999999982,-1,0.0,-1,-1,0.2,12.39,67.52,32.934,50.369,-1,-1
9.699999999999982,4.282,0.522,168.333,173.722,0.2,2.44,68.363,59.447,66.782,158.663,168.834
9.799999999999981,32.51,0.826,159.952,206.941,0.2,3.148,70.685,57.312,67.441,88.33,170.251
9.89999999999998,0.372,0.217,100.423,100.872,0.2,7.995,70.661,46.842,60.177,99.935,100.523
9.99999999999998,-1,0.0,-1,-1,0.2,4.747,69.339,55.874,60.588,-1,-1
10.09999999999998,5.601,0.348,109.929,116.641,0.2,8.031,73.734,48.32,61.352,102.044,110.547
10.19999999999998,6.146,0.391,108.244,116.538,0.2,1.737,74.061,68.808,72.536,100.068,108.772
10.29999999999998,-1,0.0,-1,-1,0.2,8.859,73.236,43.728,62.848,-1,-1
10.399999999999979,-1,0.0,-1,-1,0.2,8.71,58.458,32.931,39.673,-1,-1
10.499999999999979,1.634,0.391,115.261,118.285,0.2,5.817,47.81,32.968,40.26,111.841,115.452
10.599999999999978,-1,0.0,-1,-1,0.2,1.46,51.365,46.64,48.251,-1,-1
10.699999999999978,-1,0.0,-1,-1,0.2,0.999,52.262,49.299,50.758,-1,-1
10.799999999999978,9.055,0.174,783.94,794.176,0.2,2.443,50.651,43.948,47.915,773.253,784.257
