t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,2.314,22.632,15.578,18.675,-1,-1
0.1,-1,0.0,-1,-1,0.2,0.553,17.368,15.436,16.326,-1,-1
0.2,-1,0.0,-1,-1,0.2,0.673,18.009,15.591,16.769,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,0.658,17.94,15.683,16.487,-1,-1
0.4,-1,0.0,-1,-1,0.2,1.168,19.747,15.428,16.909,-1,-1
0.5,-1,0.0,-1,-1,0.2,0.803,18.753,15.93,17.48,-1,-1
0.6,-1,0.0,-1,-1,0.2,1.215,19.239,15.531,17.606,-1,-1
0.7,-1,0.0,-1,-1,0.2,0.675,18.152,15.433,16.33,-1,-1
0.7999999999999999,8.344,0.304,810.969,823.699,0.2,6.189,32.856,15.78,21.956,800.907,808.449
0.8999999999999999,7.427,0.348,811.348,822.014,0.2,4.152,41.287,26.567,35.408,800.558,811.848
0.9999999999999999,-1,0.0,-1,-1,0.2,1.346,42.349,37.124,40.688,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,2.337,41.254,33.947,39.0,-1,-1
1.2,1.118,0.087,813.047,813.838,0.2,7.2,42.743,18.198,30.079,812.257,813.047
1.3,12.626,0.304,185.465,195.897,0.2,18.849,71.697,18.816,51.416,158.582,188.921
1.4000000000000001,22.228,0.783,176.602,196.655,0.2,9.338,71.653,45.725,62.577,100.146,183.734
1.5000000000000002,4.935,0.87,180.34,195.529,0.2,6.515,78.833,55.164,70.721,174.225,180.268
1.6000000000000003,10.143,1.0,186.588,214.285,0.2,4.229,78.782,66.283,71.361,174.744,184.666
1.7000000000000004,21.592,0.652,209.421,246.379,0.2,6.04,73.46,57.64,66.275,186.158,203.59
1.8000000000000005,252.74,0.391,443.336,727.7,0.2,7.484,69.002,41.564,56.05,221.997,245.607
1.9000000000000006,9.034,0.609,216.958,236.288,0.2,7.853,69.768,46.852,58.482,203.277,217.487
2.0000000000000004,8.373,0.739,197.676,212.634,0.2,11.778,78.573,46.865,68.963,183.581,198.718
2.1000000000000005,9.634,0.739,185.211,199.749,0.2,12.951,78.565,43.722,67.353,163.92,184.899
2.2000000000000006,11.921,0.609,163.879,183.339,0.2,11.954,74.869,43.643,59.979,140.573,162.058
2.3000000000000007,4.682,0.913,154.52,164.047,0.2,3.357,74.876,62.427,68.297,140.742,153.247
2.400000000000001,0.831,0.739,152.79,153.785,0.2,6.827,71.407,52.458,63.8,150.91,153.079
2.500000000000001,7.776,0.261,157.033,167.24,0.2,2.445,60.953,52.512,55.419,151.499,152.513
2.600000000000001,2.676,0.652,164.077,168.232,0.2,7.024,74.978,55.287,65.962,159.612,164.355
2.700000000000001,9.079,1.0,172.258,183.526,0.2,1.265,76.127,72.205,74.237,159.67,171.357
