t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,1.123,0.13,758.638,759.4,0.2,3.199,31.699,19.604,27.542,757.346,759.165
0.1,-1,0.0,-1,-1,0.2,3.617,43.955,28.341,31.175,-1,-1
0.2,-1,0.0,-1,-1,0.2,13.283,70.115,28.528,48.484,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,6.657,73.909,48.623,70.033,-1,-1
0.4,-1,0.0,-1,-1,0.2,6.358,73.784,57.762,67.678,-1,-1
0.5,3.153,0.348,108.567,113.015,0.2,5.864,73.477,57.885,64.457,102.938,108.561
0.6,6.857,1.0,115.889,124.089,0.2,1.685,75.703,70.38,74.196,100.738,118.48
0.7,7.051,0.87,115.516,123.259,0.2,0.96,75.524,72.803,74.015,102.271,117.374
0.7999999999999999,3.931,0.304,106.628,111.946,0.2,0.575,74.543,72.29,73.579,100.884,107.422
0.8999999999999999,-1,0.0,-1,-1,0.2,6.268,73.828,57.745,67.052,-1,-1
0.9999999999999999,1.466,0.261,113.936,115.322,0.2,6.066,70.238,50.279,60.852,111.296,114.266
1.0999999999999999,3.353,0.87,116.77,122.399,0.2,2.165,71.091,63.873,69.325,109.961,116.309
1.2,3.326,0.87,117.911,123.828,0.2,4.536,70.806,54.472,66.722,111.295,118.373
1.3,12.262,0.478,118.928,140.183,0.2,6.085,69.133,49.675,56.536,102.446,116.366
1.4000000000000001,-1,0.0,-1,-1,0.2,7.191,69.639,49.194,64.283,-1,-1
1.5000000000000002,0.4,0.087,101.37,101.653,0.2,1.582,72.165,66.616,68.984,101.087,101.37
1.6000000000000003,1.699,0.609,101.958,105.08,0.2,1.616,74.168,68.234,72.489,99.736,101.565
1.7000000000000004,1.706,0.522,101.359,104.286,0.2,6.163,73.678,57.268,68.148,99.701,100.777
1.8000000000000005,6.669,0.217,108.662,116.596,0.2,6.484,72.259,51.692,60.761,99.763,111.642
1.9000000000000006,383.617,0.174,438.062,780.724,0.2,2.232,73.12,64.032,70.786,100.318,435.603
2.0000000000000004,65.039,0.174,197.755,234.784,0.2,9.722,73.073,46.536,64.81,100.397,227.92
2.1000000000000005,0.731,0.174,100.546,101.361,0.2,11.143,73.861,46.084,62.919,99.753,100.61
2.2000000000000006,0.693,0.13,100.825,101.364,0.2,6.282,73.844,56.119,68.544,100.043,101.069
2.3000000000000007,-1,0.0,-1,-1,0.2,5.27,70.406,55.162,61.593,-1,-1
2.400000000000001,-1,0.0,-1,-1,0.2,6.08,68.933,51.712,61.374,-1,-1
2.500000000000001,-1,0.0,-1,-1,0.2,1.239,71.182,67.031,68.582,-1,-1
2.600000000000001,0.329,0.217,101.7,102.261,0.2,2.14,75.466,69.134,72.862,101.41,101.598
2.700000000000001,2.726,0.783,105.788,108.949,0.2,2.34,75.462,68.752,72.179,101.575,106.9
2.800000000000001,3.185,1.0,110.398,117.452,0.2,1.16,70.27,66.081,68.319,106.556,110.125
2.9000000000000012,2.706,0.957,115.18,118.798,0.2,4.177,67.889,53.318,63.571,110.235,116.02
3.0000000000000013,1.42,0.348,116.841,118.702,0.2,8.198,65.903,39.344,52.188,114.546,116.968
3.1000000000000014,-1,0.0,-1,-1,0.2,8.286,75.168,52.571,68.632,-1,-1
3.2000000000000015,1.125,0.217,101.544,102.601,0.2,2.811,75.163,64.447,73.448,100.218,101.874
3.3000000000000016,0.246,0.087,102.53,102.704,0.2,7.149,73.258,53.487,65.928,102.356,102.53
3.4000000000000017,-1,0.0,-1,-1,0.2,4.762,73.217,56.415,68.989,-1,-1
3.5000000000000018,-1,0.043,236.975,236.975,0.2,4.23,71.705,56.63,66.576,236.975,236.975
3.600000000000002,1.916,0.087,235.69,237.045,0.2,7.503,70.802,48.494,62.834,234.335,235.69
3.700000000000002,-1,0.0,-1,-1,0.2,4.254,71.561,57.196,67.642,-1,-1
3.800000000000002,-1,0.0,-1,-1,0.2,0.796,71.543,69.154,70.39,-1,-1
3.900000000000002,-1,0.0,-1,-1,0.2,7.748,70.42,49.955,64.659,-1,-1
4.000000000000002,2.618,0.087,111.319,113.17,0.2,7.645,68.208,44.82,57.916,109.468,111.319
4.100000000000001,-1,0.0,-1,-1,0.2,9.882,71.43,44.911,61.256,-1,-1
4.200000000000001,9.858,0.174,397.742,408.763,0.2,3.27,71.401,61.843,65.61,385.148,399.115
4.300000000000001,-1,0.0,-1,-1,0.2,4.617,73.693,55.998,64.925,-1,-1
4.4,3.413,0.522,106.231,110.342,0.2,4.419,76.818,60.03,73.721,99.945,107.199
4.5,4.144,1.0,111.721,117.274,0.2,1.642,76.132,71.785,73.318,102.908,111.884
4.6,1.748,0.87,117.329,119.432,0.2,5.91,72.311,53.823,67.473,113.665,117.978
4.699999999999999,0.409,0.304,118.822,119.496,0.2,3.479,65.22,53.545,57.861,118.297,118.787
4.799999999999999,1.72,0.435,101.548,104.377,0.2,7.757,73.375,53.174,65.491,99.591,100.578
4.899999999999999,1.677,0.435,101.503,104.674,0.2,0.278,73.665,72.707,73.154,99.821,100.653
4.999999999999998,-1,0.0,-1,-1,0.2,0.635,73.648,71.598,72.626,-1,-1
5.099999999999998,0.463,0.087,101.063,101.391,0.2,1.05,74.222,71.153,72.594,100.736,101.063
5.1999999999999975,0.591,0.174,101.183,101.877,0.2,7.342,74.224,56.035,67.185,100.518,101.185
5.299999999999997,7.31,0.174,111.0,119.286,0.2,7.132,74.023,56.403,67.137,102.419,111.309
5.399999999999997,2.339,0.087,239.349,241.003,0.2,1.331,74.72,69.995,73.241,237.695,239.349
5.4999999999999964,-1,0.0,-1,-1,0.2,6.664,74.423,54.746,65.738,-1,-1
5.599999999999996,6.797,0.174,461.234,467.322,0.2,7.143,69.645,48.479,60.898,452.661,462.477
5.699999999999996,6.571,0.174,458.295,464.259,0.2,4.066,69.188,56.084,61.801,451.568,458.677
5.799999999999995,1.538,0.217,101.909,104.022,0.2,6.912,73.461,50.205,61.196,100.436,100.973
5.899999999999995,4.875,0.783,107.647,114.914,0.2,3.097,75.172,62.758,72.739,100.475,107.524
5.999999999999995,8.931,0.609,113.905,143.781,0.2,12.1,75.173,45.536,63.663,106.486,111.956
6.099999999999994,8.951,0.652,122.593,144.973,0.2,10.209,71.242,45.441,61.327,115.136,118.369
6.199999999999994,2.946,0.565,120.302,126.305,0.2,11.247,70.427,37.415,55.862,117.399,119.198
6.299999999999994,-1,0.0,-1,-1,0.2,4.779,49.888,33.399,37.327,-1,-1
6.399999999999993,-1,0.0,-1,-1,0.2,1.694,39.939,34.164,37.306,-1,-1
6.499999999999993,1.566,0.087,445.389,446.497,0.2,4.291,40.244,27.678,35.081,444.282,445.389
6.5999999999999925,-1,0.0,-1,-1,0.2,14.295,70.11,27.407,45.854,-1,-1
6.699999999999992,1.761,0.217,101.549,103.505,0.2,6.207,74.958,48.19,67.889,99.575,100.521
6.799999999999992,33.239,0.826,111.379,248.092,0.2,1.898,76.372,69.681,74.222,99.91,103.505
6.8999999999999915,2.306,0.304,106.645,108.408,0.2,7.989,76.354,52.354,66.653,102.187,107.836
6.999999999999991,-1,0.0,-1,-1,0.2,2.402,70.817,62.299,65.844,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,3.008,71.878,62.995,69.339,-1,-1
7.19999999999999,-1,0.0,-1,-1,0.2,2.183,71.887,66.28,69.067,-1,-1
7.29999999999999,-1,0.0,-1,-1,0.2,1.548,70.306,65.176,67.624,-1,-1
7.39999999999999,-1,0.0,-1,-1,0.2,1.604,70.294,65.371,67.877,-1,-1
7.499999999999989,13.54,0.087,827.275,836.849,0.2,8.21,69.987,47.73,60.669,817.701,827.275
7.599999999999989,75.388,0.391,443.004,592.611,0.2,6.738,53.363,31.535,43.13,391.957,404.032
7.699999999999989,0.056,0.13,403.388,403.434,0.2,9.151,64.413,33.082,53.459,403.326,403.404
7.799999999999988,-1,0.0,-1,-1,0.2,10.387,60.748,29.057,41.553,-1,-1
7.899999999999988,-1,0.0,-1,-1,0.2,2.056,35.825,28.748,31.895,-1,-1
7.999999999999988,79.433,0.304,734.885,843.618,0.2,1.524,34.61,28.924,32.128,630.833,737.598
8.099999999999987,-1,0.0,-1,-1,0.2,1.464,35.553,30.67,32.774,-1,-1
8.199999999999987,-1,0.0,-1,-1,0.2,3.506,42.901,30.563,35.685,-1,-1
8.299999999999986,-1,0.0,-1,-1,0.2,14.86,74.538,36.787,59.871,-1,-1
8.399999999999986,-1,0.0,-1,-1,0.2,0.783,75.01,72.041,73.925,-1,-1
8.499999999999986,7.865,0.609,112.137,123.332,0.2,0.665,76.513,74.33,75.174,100.25,113.301
8.599999999999985,7.112,1.0,123.121,132.574,0.2,1.148,77.63,73.247,76.097,107.737,125.089
8.699999999999985,19.883,0.652,139.418,181.231,0.2,11.868,76.201,44.048,61.433,123.591,130.805
8.799999999999985,14.63,0.783,138.07,180.131,0.2,10.09,74.295,44.056,65.598,126.094,133.095
8.899999999999984,2.905,0.304,131.445,134.327,0.2,7.353,72.69,45.221,58.0,127.298,132.431
8.999999999999984,0.987,0.087,101.119,101.817,0.2,10.038,67.778,33.006,46.28,100.421,101.119
9.099999999999984,-1,0.0,-1,-1,0.2,9.256,71.961,43.488,63.43,-1,-1
9.199999999999983,-1,0.0,-1,-1,0.2,5.198,68.394,49.63,57.984,-1,-1
9.299999999999983,1.035,0.304,101.968,103.097,0.2,7.398,72.222,50.152,64.899,100.037,102.307
9.399999999999983,214.646,0.478,256.599,533.998,0.2,3.674,76.649,66.447,72.888,99.756,102.379
9.499999999999982,9.672,0.391,524.908,534.572,0.2,9.553,76.641,50.335,70.417,501.713,525.476
9.599999999999982,-1,0.0,-1,-1,0.2,10.234,74.45,46.867,62.131,-1,-1
9.699999999999982,-1,0.0,-1,-1,0.2,5.856,74.42,56.727,66.392,-1,-1
9.799999999999981,1.634,0.217,322.632,325.516,0.2,3.687,63.184,49.274,57.201,321.469,322.122
9.89999999999998,-1,0.043,101.595,101.595,0.2,7.286,72.586,51.372,65.699,101.595,101.595
9.99999999999998,-1,0.043,101.54,101.54,0.2,9.646,72.846,43.386,66.545,101.54,101.54
10.09999999999998,-1,0.0,-1,-1,0.2,10.608,73.541,43.182,60.538,-1,-1
10.19999999999998,0.85,0.087,463.706,464.307,0.2,9.737,73.361,49.705,63.109,463.105,463.706
10.29999999999998,-1,0.0,-1,-1,0.2,0.775,74.05,71.888,72.979,-1,-1
10.399999999999979,-1,0.0,-1,-1,0.2,0.683,72.967,70.51,71.619,-1,-1
10.499999999999979,3.001,0.478,105.087,109.465,0.2,1.704,75.145,70.291,72.001,100.566,105.516
10.599999999999978,5.255,1.0,111.047,116.881,0.2,0.907,76.05,73.595,75.033,100.843,112.064
10.699999999999978,3.546,1.0,119.359,125.253,0.2,1.596,75.622,70.834,72.745,114.637,118.638
10.799999999999978,2.864,0.957,125.688,131.909,0.2,5.963,72.08,51.267,67.662,120.125,126.295
10.899999999999977,1.932,0.391,128.323,132.273,0.2,9.322,67.29,36.967,48.187,126.324,128.533
10.999999999999977,207.196,0.957,462.046,794.941,0.2,5.224,44.99,26.569,34.397,125.471,438.083
11.099999999999977,3.638,0.13,511.473,515.121,0.2,11.575,58.15,26.71,42.972,507.846,511.452
11.199999999999976,2.273,0.087,510.878,512.485,0.2,9.907,75.431,43.594,66.347,509.271,510.878
11.299999999999976,-1,0.0,-1,-1,0.2,6.499,75.43,53.581,68.346,-1,-1
11.399999999999975,-1,0.0,-1,-1,0.2,5.256,73.84,53.582,70.056,-1,-1
11.499999999999975,-1,0.0,-1,-1,0.2,6.609,72.16,51.076,66.346,-1,-1
11.599999999999975,-1,0.0,-1,-1,0.2,9.52,72.172,47.516,62.859,-1,-1
11.699999999999974,-1,0.0,-1,-1,0.2,9.419,71.89,47.408,63.85,-1,-1
11.799999999999974,1.03,0.174,198.115,199.055,0.2,1.954,73.559,66.427,71.592,196.841,198.281
11.899999999999974,-1,0.0,-1,-1,0.2,1.34,73.506,69.549,71.569,-1,-1
11.999999999999973,-1,0.0,-1,-1,0.2,1.319,73.687,69.559,70.899,-1,-1
12.099999999999973,-1,0.0,-1,-1,0.2,10.07,73.712,45.687,66.329,-1,-1
12.199999999999973,40.206,0.174,135.336,171.182,0.2,8.606,68.677,45.482,59.634,100.228,134.967
12.299999999999972,1.467,0.13,101.721,103.156,0.2,2.249,70.689,62.612,67.815,100.225,101.784
12.399999999999972,6.149,0.696,110.693,119.198,0.2,2.688,71.678,62.827,69.755,101.345,111.197
12.499999999999972,6.425,1.0,121.298,131.504,0.2,1.808,71.671,66.928,68.702,109.241,122.381
12.599999999999971,4.885,1.0,132.424,137.933,0.2,0.743,69.07,66.85,67.922,123.476,133.901
12.69999999999997,66.5,0.783,160.292,343.292,0.2,5.652,69.079,54.147,61.651,135.671,137.327
12.79999999999997,0.317,0.087,137.859,138.083,0.2,12.159,57.154,27.258,45.476,137.635,137.859
12.89999999999997,5.437,0.13,110.218,116.417,0.2,13.096,68.625,26.946,39.357,106.258,107.98
12.99999999999997,3.833,0.739,108.699,121.223,0.2,11.447,77.142,36.792,69.348,104.33,107.391
13.09999999999997,3.626,0.739,105.247,110.817,0.2,1.133,77.171,73.666,75.488,100.188,105.343
13.199999999999969,0.212,0.13,100.626,100.871,0.2,1.27,74.835,71.15,72.74,100.503,100.504
13.299999999999969,1.34,0.261,101.015,102.924,0.2,1.553,75.436,71.172,73.343,99.741,100.682
13.399999999999968,1.289,0.435,101.331,102.846,0.2,3.906,75.436,60.562,71.226,99.747,101.549
13.499999999999968,-1,0.0,-1,-1,0.2,7.058,70.227,50.404,58.671,-1,-1
13.599999999999968,-1,0.0,-1,-1,0.2,4.5,66.625,50.446,59.468,-1,-1
13.699999999999967,-1,0.0,-1,-1,0.2,8.016,73.867,50.866,65.64,-1,-1
13.799999999999967,-1,0.0,-1,-1,0.2,7.196,73.861,52.257,67.327,-1,-1
13.899999999999967,2.646,0.174,241.79,245.045,0.2,8.166,72.012,48.02,60.555,238.567,241.775
13.999999999999966,235.406,0.304,301.022,828.537,0.2,5.981,66.625,47.847,59.828,161.279,236.281
14.099999999999966,335.291,0.261,595.091,828.881,0.2,3.633,63.693,50.524,58.657,162.177,796.614
14.199999999999966,3.252,0.565,110.503,116.609,0.2,8.5,73.206,49.085,67.013,106.454,110.635
14.299999999999965,3.463,0.957,113.514,117.197,0.2,3.347,74.281,61.357,71.757,106.303,114.282
14.399999999999965,5.039,0.609,116.715,125.946,0.2,10.28,72.13,43.218,58.642,105.883,116.633
14.499999999999964,13.202,0.87,127.158,171.099,0.2,4.682,67.863,53.741,64.428,118.75,123.629
14.599999999999964,0.414,0.478,123.471,124.25,0.2,11.068,66.308,35.96,46.192,122.702,123.375
14.699999999999964,279.272,0.696,398.053,705.517,0.2,1.687,37.766,32.814,35.28,123.323,208.379
14.799999999999963,-1,0.043,537.45,537.45,0.2,2.416,36.292,28.516,34.113,537.45,537.45
14.899999999999963,23.793,0.261,251.52,277.782,0.2,14.879,68.706,28.109,47.182,219.086,259.773
14.999999999999963,17.882,0.478,114.706,140.127,0.2,3.56,75.455,62.768,69.784,99.504,103.665
15.099999999999962,2.462,0.826,103.448,107.445,0.2,1.365,75.573,70.365,74.197,99.533,103.389
15.199999999999962,2.873,0.348,104.821,107.554,0.2,5.876,75.323,56.467,68.422,99.89,106.001
15.299999999999962,-1,0.043,101.152,101.152,0.2,2.341,72.913,66.469,69.75,101.152,101.152
15.399999999999961,-1,0.0,-1,-1,0.2,0.624,73.635,71.555,72.768,-1,-1
15.499999999999961,-1,0.0,-1,-1,0.2,4.993,75.777,59.109,70.825,-1,-1
15.59999999999996,-1,0.0,-1,-1,0.2,2.457,76.394,68.181,73.975,-1,-1
15.69999999999996,-1,0.0,-1,-1,0.2,3.0,74.475,65.327,68.58,-1,-1
15.79999999999996,-1,0.043,100.751,100.751,0.2,1.275,70.755,66.914,68.87,100.751,100.751
15.89999999999996,12.463,0.13,595.293,609.428,0.2,3.172,69.233,58.369,66.286,585.885,590.567
15.99999999999996,-1,0.0,-1,-1,0.2,11.556,67.002,32.197,49.751,-1,-1
16.09999999999996,-1,0.0,-1,-1,0.2,10.371,62.547,28.065,39.626,-1,-1
16.19999999999996,3.404,0.13,141.292,144.025,0.2,7.036,63.996,44.162,56.568,137.362,143.18
16.29999999999996,0.862,0.087,267.185,267.794,0.2,6.15,55.385,34.276,44.746,266.575,267.185
16.399999999999963,39.806,0.304,683.379,767.391,0.2,6.322,45.733,26.615,34.348,650.482,666.632
16.499999999999964,30.337,0.174,676.332,711.47,0.2,2.488,37.498,29.331,33.645,647.29,675.005
16.599999999999966,-1,0.0,-1,-1,0.2,1.865,37.429,30.14,34.375,-1,-1
16.699999999999967,-1,0.0,-1,-1,0.2,1.359,36.522,32.038,34.34,-1,-1
16.79999999999997,-1,0.0,-1,-1,0.2,3.727,43.576,32.034,36.676,-1,-1
16.89999999999997,-1,0.0,-1,-1,0.2,5.061,46.478,31.319,37.097,-1,-1
16.99999999999997,8.909,0.13,118.081,124.158,0.2,10.321,67.157,34.438,44.916,107.855,122.23
17.099999999999973,1.844,0.087,123.682,124.986,0.2,8.428,71.213,38.903,63.49,122.378,123.682
17.199999999999974,-1,0.0,-1,-1,0.2,4.44,73.823,61.306,69.76,-1,-1
17.299999999999976,35.595,0.391,403.757,442.202,0.2,0.493,74.764,73.01,73.766,356.435,402.744
17.399999999999977,2.043,0.174,439.057,442.083,0.2,5.794,74.441,59.982,68.456,437.667,438.24
17.49999999999998,5.051,0.13,119.308,124.638,0.2,3.859,70.567,54.453,60.883,114.361,119.106
17.59999999999998,3.649,0.739,118.813,124.88,0.2,6.666,75.332,53.917,70.326,112.233,119.324
