t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,61.018,0.609,608.028,745.556,0.2,2.637,33.703,26.063,29.246,539.946,601.057
0.1,111.409,0.87,660.236,835.109,0.2,2.172,34.361,26.504,29.701,536.715,610.971
0.2,114.845,0.652,716.479,825.134,0.2,1.478,31.95,25.889,29.371,440.796,754.46
0.30000000000000004,119.372,0.522,606.032,745.555,0.2,2.089,31.904,24.266,29.034,448.415,623.138
0.4,52.176,0.565,693.722,748.606,0.2,2.908,34.458,23.719,30.853,609.76,720.04
0.5,2.412,0.087,120.611,122.316,0.2,7.758,54.213,25.252,34.266,118.905,120.611
0.6,3.049,0.652,122.584,127.549,0.2,9.228,61.576,32.663,54.214,118.778,123.292
0.7,18.878,1.0,139.725,176.991,0.2,2.497,64.108,57.193,60.327,119.472,129.834
0.7999999999999999,19.645,1.0,180.323,202.203,0.2,3.876,64.128,53.68,60.614,142.4,190.687
0.8999999999999999,8.888,0.739,192.636,202.229,0.2,8.175,60.645,38.907,52.541,169.64,195.062
0.9999999999999999,24.017,0.609,149.965,190.362,0.2,9.212,60.544,37.154,49.236,122.852,144.391
1.0999999999999999,106.526,0.913,162.634,483.054,0.2,3.031,60.535,48.503,57.112,118.25,124.349
1.2,4.168,0.478,121.437,133.299,0.2,7.704,60.21,39.686,50.098,118.328,120.11
1.3,5.973,0.783,129.203,139.142,0.2,3.627,61.515,46.639,58.45,121.409,127.514
1.4000000000000001,3.847,1.0,135.168,140.253,0.2,1.011,62.502,59.053,60.917,126.547,136.026
1.5000000000000002,12.028,1.0,122.923,138.328,0.2,2.739,62.207,53.968,59.135,103.058,125.342
1.6000000000000003,3.916,0.913,108.648,117.78,0.2,2.342,58.261,46.809,54.204,103.725,107.557
1.7000000000000004,7.662,0.478,110.584,123.058,0.2,7.952,58.216,35.168,46.867,104.262,106.501
1.8000000000000005,4.756,0.739,127.367,136.063,0.2,3.656,59.541,47.907,56.696,121.146,127.084
1.9000000000000006,3.306,1.0,130.526,136.44,0.2,1.99,59.551,53.504,57.199,122.312,131.467
2.0000000000000004,8.642,1.0,121.669,131.822,0.2,1.255,59.568,55.274,57.196,104.428,122.333
2.1000000000000005,6.822,0.565,111.65,120.966,0.2,7.925,58.235,32.968,49.174,104.346,108.706
