t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,62.908,0.391,722.711,798.395,0.2,1.043,28.887,24.99,26.649,602.108,736.291
0.1,61.004,0.609,722.206,805.113,0.2,1.238,30.313,24.923,27.261,628.704,698.551
0.2,66.772,0.565,691.845,780.672,0.2,1.307,30.183,24.484,27.178,573.857,698.636
0.30000000000000004,55.296,0.478,706.449,771.126,0.2,2.424,32.843,23.68,27.529,606.248,709.432
0.4,119.704,0.565,647.793,773.459,0.2,2.019,32.668,25.487,28.273,440.741,727.304
0.5,61.328,0.391,689.432,766.292,0.2,1.469,30.054,24.941,27.451,590.446,686.889
0.6,-1,0.0,-1,-1,0.2,1.436,29.991,24.482,27.342,-1,-1
0.7,9.67,0.522,227.66,246.993,0.2,15.603,64.018,24.579,46.077,216.31,228.263
0.7999999999999999,33.562,0.652,246.812,304.489,0.2,10.874,62.618,28.547,45.998,215.624,231.416
0.8999999999999999,76.228,0.739,380.006,486.195,0.2,9.159,67.199,33.67,56.513,292.221,359.955
0.9999999999999999,40.032,0.87,445.39,486.257,0.2,8.364,72.361,46.39,59.894,356.274,463.232
1.0999999999999999,66.895,0.957,385.926,471.8,0.2,4.107,72.599,59.417,69.185,290.225,384.311
1.2,31.201,1.0,279.312,348.472,0.2,4.332,72.285,58.171,66.816,249.518,262.434
1.3,3.017,0.478,253.274,258.603,0.2,9.285,72.189,44.45,54.842,250.171,252.213
1.4000000000000001,8.583,0.739,259.173,277.393,0.2,6.37,69.605,50.383,59.834,247.579,256.708
1.5000000000000002,17.675,1.0,281.144,303.095,0.2,1.987,71.803,63.637,69.481,255.052,285.17
1.6000000000000003,27.471,1.0,271.783,303.045,0.2,2.37,69.996,62.953,65.883,229.406,278.239
1.7000000000000004,18.342,1.0,225.425,264.587,0.2,2.997,65.716,56.882,60.673,201.229,223.283
1.8000000000000005,4.372,0.522,207.977,216.439,0.2,8.873,60.346,38.876,50.702,200.865,208.376
