t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,3.033,0.609,152.565,156.938,0.2,7.998,88.949,68.664,80.064,146.496,153.802
0.1,15.377,1.0,160.989,190.113,0.2,3.436,89.043,78.821,85.9,143.505,154.127
0.2,16.572,1.0,192.469,211.755,0.2,3.97,89.004,76.667,85.245,155.696,197.31
0.30000000000000004,16.264,1.0,190.961,211.604,0.2,4.489,88.258,76.485,82.594,161.564,191.759
0.4,15.843,1.0,160.879,191.202,0.2,1.675,88.279,82.342,84.844,137.17,156.13
0.5,10.19,1.0,139.075,157.056,0.2,1.801,84.389,78.459,80.942,119.646,137.915
0.6,6.562,0.435,129.95,138.076,0.2,3.742,81.757,71.444,75.835,118.977,131.302
0.7,358.63,0.261,566.332,815.571,0.2,2.424,77.134,68.258,72.734,100.248,790.137
0.7999999999999999,51.514,0.565,685.406,794.138,0.2,1.749,77.249,71.614,74.924,628.455,659.917
0.8999999999999999,35.466,0.13,679.724,720.611,0.2,1.445,75.593,69.977,73.669,650.747,661.278
0.9999999999999999,5.07,0.304,385.583,395.94,0.2,2.305,76.726,69.508,74.204,380.305,385.008
1.0999999999999999,1.244,0.13,192.218,193.282,0.2,3.345,76.587,64.959,70.731,190.851,192.522
1.2,3.249,0.174,142.024,145.252,0.2,3.943,79.534,65.198,69.66,137.64,142.648
1.3,4.58,0.783,137.074,144.881,0.2,5.111,87.009,67.705,79.16,130.709,136.81
1.4000000000000001,11.126,0.783,128.638,140.764,0.2,3.087,87.168,77.853,83.033,106.271,132.008
1.5000000000000002,6.637,0.217,112.074,120.648,0.2,2.206,81.515,73.874,77.76,104.934,111.975
1.6000000000000003,4.261,0.087,190.333,193.346,0.2,1.275,77.366,71.851,74.437,187.32,190.333
1.7000000000000004,2.01,0.087,800.663,802.084,0.2,4.045,75.146,61.813,68.827,799.242,800.663
1.8000000000000005,299.831,0.609,331.805,804.304,0.2,7.098,81.523,61.496,72.519,118.122,123.468
1.9000000000000006,5.812,0.565,120.427,130.594,0.2,5.769,81.451,65.14,74.609,107.281,121.342
2.0000000000000004,3.81,0.522,126.245,134.438,0.2,7.608,85.273,65.207,76.505,122.287,124.721
2.1000000000000005,1.787,1.0,124.194,126.765,0.2,2.695,86.751,77.407,84.217,120.187,124.417
2.2000000000000006,1.625,0.435,122.927,124.897,0.2,7.953,86.419,64.632,75.309,120.153,122.803
2.3000000000000007,6.413,0.522,194.154,205.22,0.2,9.286,88.711,64.671,77.256,184.186,194.935
2.400000000000001,10.467,1.0,206.537,224.454,0.2,2.179,87.093,79.325,83.779,186.181,209.208
2.500000000000001,191.374,0.957,286.787,698.46,0.2,2.758,87.057,79.372,81.973,157.442,210.471
2.600000000000001,34.915,0.261,151.663,183.892,0.2,5.176,80.121,67.063,74.755,105.969,167.644
2.700000000000001,4.054,0.696,109.009,119.209,0.2,4.295,78.543,67.127,72.959,102.81,109.047
