t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.889,68.287,62.966,65.174,-1,-1
0.1,-1,0.0,-1,-1,0.2,2.157,68.118,60.525,64.623,-1,-1
0.2,-1,0.0,-1,-1,0.2,2.273,68.616,60.159,63.519,-1,-1
0.30000000000000004,3.603,0.087,212.967,215.515,0.2,5.348,75.908,61.295,69.942,210.419,212.967
0.4,5.056,0.652,208.514,217.806,0.2,4.119,83.38,71.31,79.234,202.784,206.95
0.5,12.786,1.0,221.961,237.348,0.2,1.547,84.89,80.7,82.877,202.96,222.501
0.6,4.64,1.0,234.969,238.968,0.2,1.701,84.858,79.21,82.932,221.069,236.786
0.7,13.414,1.0,220.292,238.783,0.2,1.7,83.392,77.353,80.473,201.586,218.177
0.7999999999999999,9.954,1.0,197.338,212.046,0.2,2.239,83.538,76.831,79.945,184.424,193.685
0.8999999999999999,10.895,0.652,181.161,192.67,0.2,2.47,78.548,70.757,74.884,156.645,185.295
0.9999999999999999,37.121,0.174,209.839,229.047,0.2,2.368,75.369,67.587,72.451,154.17,228.07
1.0999999999999999,4.077,0.739,230.911,239.159,0.2,5.558,83.161,67.97,77.901,226.264,229.333
1.2,8.192,1.0,240.643,254.041,0.2,1.778,83.136,76.604,80.34,226.374,242.051
1.3,14.081,1.0,262.239,280.326,0.2,1.17,80.407,76.584,78.618,239.634,264.191
1.4000000000000001,5.901,0.826,277.492,284.867,0.2,2.561,80.451,72.233,77.303,260.281,278.708
1.5000000000000002,9.366,0.261,275.783,284.689,0.2,1.102,75.943,71.155,73.526,259.309,277.996
1.6000000000000003,29.95,0.174,638.484,675.786,0.2,4.683,74.271,60.646,66.965,613.368,633.663
1.7000000000000004,234.363,0.348,463.349,655.005,0.2,2.901,71.368,60.627,66.147,179.001,619.805
1.8000000000000005,193.098,0.957,286.635,654.72,0.2,2.894,77.072,68.583,73.484,178.207,182.756
1.9000000000000006,21.977,1.0,209.574,238.118,0.2,1.706,80.338,75.166,78.364,178.712,208.998
2.0000000000000004,17.379,1.0,246.687,276.959,0.2,1.468,80.73,76.357,78.813,219.515,240.186
2.1000000000000005,14.693,1.0,276.841,294.865,0.2,0.619,80.741,78.641,79.567,247.571,278.926
2.2000000000000006,126.304,0.478,326.524,706.963,0.2,5.204,80.238,65.008,73.45,277.71,290.421
2.3000000000000007,19.362,0.217,209.335,231.315,0.2,4.165,78.359,64.631,67.908,189.843,203.194
