t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.298,67.394,62.783,65.649,-1,-1
0.1,-1,0.0,-1,-1,0.2,6.038,82.418,62.626,69.066,-1,-1
0.2,15.723,0.217,155.776,175.381,0.2,5.089,87.305,68.724,82.46,136.72,155.847
0.30000000000000004,18.056,0.826,137.691,184.67,0.2,2.545,90.942,81.691,87.716,124.658,129.65
0.4,9.489,1.0,136.933,150.421,0.2,0.976,91.852,88.916,91.073,124.564,135.234
0.5,4.702,1.0,146.588,150.429,0.2,0.707,92.267,90.063,91.307,136.88,149.34
0.6,10.176,1.0,134.754,150.048,0.2,1.21,92.264,88.646,90.717,122.045,131.052
0.7,1.576,1.0,124.744,127.767,0.2,1.625,90.039,85.249,87.879,121.709,124.481
0.7999999999999999,4.612,0.652,121.45,124.942,0.2,1.917,88.628,81.616,86.169,108.681,123.165
0.8999999999999999,5.769,0.391,112.953,124.765,0.2,3.094,88.804,77.952,86.185,106.004,111.577
0.9999999999999999,3.522,0.826,107.843,117.664,0.2,2.518,88.153,81.668,84.7,103.788,106.875
1.0999999999999999,2.139,1.0,104.027,108.231,0.2,1.433,82.415,77.378,80.495,99.488,103.578
1.2,7.152,0.478,105.257,126.521,0.2,3.02,81.262,72.089,78.517,98.029,103.063
1.3,28.577,0.13,692.241,725.225,0.2,6.009,81.204,64.679,73.03,669.241,676.544
1.4000000000000001,-1,0.0,-1,-1,0.2,1.659,70.336,64.516,66.582,-1,-1
1.5000000000000002,-1,0.0,-1,-1,0.2,1.159,68.335,64.445,66.32,-1,-1
1.6000000000000003,317.539,0.652,440.745,840.429,0.2,9.148,87.494,64.771,74.016,145.704,171.539
1.7000000000000004,15.171,0.957,143.855,188.023,0.2,1.923,90.568,84.045,88.633,126.226,141.781
1.8000000000000005,9.668,1.0,121.444,135.735,0.2,2.291,90.079,84.213,87.494,107.842,120.179
1.9000000000000006,4.118,0.739,108.922,118.354,0.2,5.9,85.578,69.749,79.335,103.846,108.056
2.0000000000000004,30.309,0.174,119.82,165.271,0.2,4.503,76.984,63.92,71.54,103.953,105.028
2.1000000000000005,-1,0.0,-1,-1,0.2,2.71,70.918,59.679,63.666,-1,-1
2.2000000000000006,-1,0.0,-1,-1,0.2,1.839,67.454,60.753,63.959,-1,-1
2.3000000000000007,7.885,0.435,151.763,166.807,0.2,10.997,89.881,62.542,76.142,140.685,150.477
2.400000000000001,14.469,0.739,140.403,165.745,0.2,4.628,88.58,72.123,82.668,111.353,142.448
2.500000000000001,6.177,0.739,130.468,135.855,0.2,5.594,89.535,71.736,84.661,113.38,132.362
2.600000000000001,7.056,0.783,128.629,135.961,0.2,7.859,89.465,67.385,81.814,106.423,131.262
2.700000000000001,20.56,0.739,147.644,168.714,0.2,7.666,88.897,67.04,81.657,106.381,156.402
2.800000000000001,8.294,1.0,168.28,183.965,0.2,2.688,92.26,83.322,89.046,154.058,168.788
2.9000000000000012,6.629,1.0,182.726,190.783,0.2,5.905,92.202,73.587,86.039,171.504,185.114
3.0000000000000013,9.41,0.783,187.479,212.812,0.2,6.535,81.891,61.247,70.309,165.462,186.934
3.1000000000000014,23.201,0.739,151.04,210.817,0.2,8.618,85.127,61.502,76.701,126.164,142.886
3.2000000000000015,7.345,0.739,131.558,143.842,0.2,6.052,85.119,67.443,79.305,119.706,131.561
3.3000000000000016,9.609,0.609,120.235,133.634,0.2,6.004,84.8,67.804,77.493,104.706,120.996
3.4000000000000017,14.693,0.826,132.322,148.558,0.2,6.112,89.101,71.442,81.747,105.964,139.217
3.5000000000000018,9.586,0.913,131.116,144.507,0.2,3.015,89.379,80.977,85.461,117.821,128.285
3.600000000000002,5.798,1.0,120.602,131.006,0.2,2.205,86.796,79.659,84.155,103.374,122.97
3.700000000000002,6.462,1.0,115.807,128.533,0.2,1.289,86.827,82.929,84.363,109.672,112.692
3.800000000000002,1.46,0.826,109.622,111.692,0.2,5.755,84.006,68.035,79.354,107.128,109.783
3.900000000000002,1.176,0.217,108.376,109.981,0.2,4.14,76.231,61.455,70.776,107.232,107.857
4.000000000000002,19.943,0.174,521.414,539.936,0.2,4.244,74.191,59.728,65.83,494.942,526.236
4.100000000000001,8.406,0.217,158.4,167.359,0.2,6.86,82.303,60.041,67.438,147.301,160.235
4.200000000000001,14.823,0.783,135.981,166.054,0.2,4.717,86.105,70.484,81.685,121.578,129.448
4.300000000000001,3.891,1.0,125.513,134.497,0.2,1.702,90.188,84.341,86.395,120.686,125.119
4.4,10.536,1.0,137.634,154.222,0.2,1.307,91.286,86.608,90.024,120.78,137.473
4.5,16.233,1.0,165.167,184.521,0.2,2.68,91.293,80.726,89.335,141.341,167.395
4.6,1.672,0.609,181.925,184.388,0.2,8.527,89.217,65.034,75.333,177.67,181.948
4.699999999999999,10.804,0.609,138.275,162.115,0.2,9.787,90.588,65.157,81.439,121.633,134.689
4.799999999999999,3.839,1.0,132.248,138.623,0.2,2.554,90.547,82.93,86.296,121.623,132.83
4.899999999999999,8.668,1.0,130.354,150.073,0.2,4.191,89.263,74.962,83.872,107.606,131.345
4.999999999999998,12.336,0.87,122.691,149.114,0.2,5.653,89.291,73.559,82.36,102.79,124.984
5.099999999999998,6.49,0.609,121.564,128.397,0.2,2.948,85.861,74.234,81.168,108.899,123.24
5.1999999999999975,6.999,0.435,120.204,134.536,0.2,2.179,83.217,75.707,80.473,112.435,119.479
5.299999999999997,6.534,0.87,113.52,127.731,0.2,2.558,83.192,75.608,79.742,107.538,110.043
5.399999999999997,5.994,0.696,110.112,129.338,0.2,3.851,79.323,68.048,74.26,101.194,109.401
5.4999999999999964,-1,0.0,-1,-1,0.2,6.55,79.37,61.218,68.388,-1,-1
5.599999999999996,-1,0.0,-1,-1,0.2,3.024,69.788,60.15,64.251,-1,-1
5.699999999999996,4.97,0.522,141.397,149.785,0.2,6.475,85.884,66.845,74.997,135.385,141.629
5.799999999999995,4.954,1.0,144.27,151.264,0.2,2.21,87.003,79.209,85.134,134.668,145.284
5.899999999999995,5.389,0.739,147.259,160.417,0.2,5.832,88.97,69.623,82.765,137.606,147.876
5.999999999999995,9.4,0.826,133.468,155.208,0.2,3.27,89.301,80.909,85.163,120.67,131.836
6.099999999999994,3.529,1.0,130.662,135.277,0.2,2.827,88.857,80.907,85.901,123.709,131.799
6.199999999999994,5.23,1.0,127.25,135.238,0.2,3.385,88.538,79.43,83.498,120.003,125.751
6.299999999999994,4.79,1.0,118.411,124.176,0.2,1.855,85.096,79.472,81.698,108.127,120.283
6.399999999999993,1.813,1.0,112.844,118.979,0.2,2.92,84.305,73.543,81.489,109.559,112.837
6.499999999999993,1.233,0.435,111.939,113.916,0.2,6.936,83.999,63.544,69.884,110.72,111.568
6.5999999999999925,-1,0.0,-1,-1,0.2,4.159,76.553,63.484,68.909,-1,-1
6.699999999999992,-1,0.0,-1,-1,0.2,3.281,73.476,61.456,66.164,-1,-1
6.799999999999992,-1,0.0,-1,-1,0.2,2.103,71.096,62.821,66.72,-1,-1
6.8999999999999915,80.44,0.261,725.472,849.197,0.2,2.866,73.419,63.571,68.576,658.164,688.541
6.999999999999991,-1,0.0,-1,-1,0.2,1.581,70.482,64.371,66.353,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,0.977,66.746,63.159,64.628,-1,-1
7.19999999999999,4.222,0.565,143.706,151.181,0.2,10.83,90.95,63.212,78.775,138.435,142.315
7.29999999999999,7.002,1.0,150.331,164.991,0.2,2.051,91.011,83.616,88.817,138.161,151.332
7.39999999999999,13.997,0.913,167.996,190.76,0.2,5.718,90.302,74.71,84.153,146.691,163.832
7.499999999999989,6.256,0.565,179.967,191.134,0.2,2.71,90.251,82.739,87.218,166.442,181.412
7.599999999999989,0.036,0.087,166.468,166.494,0.2,6.604,86.026,69.547,77.722,166.443,166.468
7.699999999999989,77.617,0.261,215.353,286.881,0.2,5.752,86.921,64.944,71.526,134.932,220.167
7.799999999999988,14.32,0.739,126.716,155.706,0.2,5.427,87.676,68.977,81.517,102.261,124.152
7.899999999999988,9.719,0.913,123.328,145.03,0.2,5.036,88.557,74.552,82.682,100.343,125.2
7.999999999999988,4.044,1.0,128.04,144.72,0.2,2.514,88.659,79.224,87.15,125.329,127.052
8.099999999999987,14.854,1.0,138.037,180.291,0.2,5.383,88.619,72.283,80.511,120.662,127.756
8.199999999999987,10.513,1.0,143.24,175.332,0.2,3.398,88.888,77.693,85.41,132.847,142.187
8.299999999999986,1.663,1.0,134.942,138.627,0.2,2.284,88.922,81.902,85.915,132.692,134.744
8.399999999999986,9.526,0.783,135.528,157.9,0.2,4.62,85.087,69.522,79.507,114.086,135.572
8.499999999999986,8.871,0.739,132.589,157.863,0.2,5.952,88.153,69.642,83.391,117.695,131.307
8.599999999999985,9.517,1.0,139.616,155.255,0.2,2.078,89.693,82.053,87.364,124.04,139.717
8.699999999999985,9.356,1.0,157.733,173.433,0.2,0.659,91.119,88.434,90.001,143.335,156.727
8.799999999999985,8.776,0.783,174.038,186.325,0.2,4.581,91.086,78.636,87.224,160.488,173.415
8.899999999999984,158.0,0.348,296.664,489.401,0.2,3.367,85.178,71.697,77.689,180.255,183.639
8.999999999999984,152.906,0.696,228.543,488.478,0.2,4.02,82.757,70.563,77.501,128.377,147.439
