t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,-1,0.0,-1,-1,0.2,1.085,50.978,47.335,49.646,-1,-1
0.1,-1,0.0,-1,-1,0.2,2.154,52.046,44.369,48.866,-1,-1
0.2,-1,0.0,-1,-1,0.2,1.886,52.118,44.842,47.75,-1,-1
0.30000000000000004,-1,0.0,-1,-1,0.2,2.743,53.639,44.958,48.878,-1,-1
0.4,-1,0.0,-1,-1,0.2,3.066,53.661,43.968,47.941,-1,-1
0.5,-1,0.0,-1,-1,0.2,3.049,54.465,44.849,47.937,-1,-1
0.6,-1,0.0,-1,-1,0.2,2.213,54.557,45.769,50.333,-1,-1
0.7,-1,0.0,-1,-1,0.2,2.065,51.252,44.24,48.132,-1,-1
0.7999999999999999,-1,0.0,-1,-1,0.2,1.536,49.774,44.352,47.012,-1,-1
0.8999999999999999,28.939,0.13,559.1,591.786,0.2,1.403,49.844,45.295,47.836,533.296,548.77
0.9999999999999999,-1,0.0,-1,-1,0.2,1.807,49.885,44.787,47.376,-1,-1
1.0999999999999999,-1,0.0,-1,-1,0.2,1.896,51.422,44.591,47.823,-1,-1
1.2,36.353,0.174,556.99,608.518,0.2,1.502,51.403,46.35,48.405,521.103,544.862
1.3,39.671,0.348,568.069,626.319,0.2,1.772,51.315,45.817,48.821,529.615,557.272
1.4000000000000001,-1,0.0,-1,-1,0.2,1.543,51.051,46.226,48.774,-1,-1
1.5000000000000002,-1,0.0,-1,-1,0.2,2.063,52.098,44.94,49.231,-1,-1
1.6000000000000003,-1,0.0,-1,-1,0.2,1.426,53.455,48.565,50.812,-1,-1
1.7000000000000004,-1,0.0,-1,-1,0.2,1.517,52.98,47.624,50.477,-1,-1
1.8000000000000005,-1,0.043,563.021,563.021,0.2,1.474,51.585,46.601,49.859,563.021,563.021
1.9000000000000006,-1,0.0,-1,-1,0.2,0.77,52.003,48.639,50.37,-1,-1
2.0000000000000004,-1,0.0,-1,-1,0.2,1.266,52.097,47.631,50.297,-1,-1
2.1000000000000005,-1,0.0,-1,-1,0.2,1.9,52.535,45.514,49.236,-1,-1
2.2000000000000006,-1,0.0,-1,-1,0.2,1.343,49.933,44.816,47.066,-1,-1
2.3000000000000007,-1,0.0,-1,-1,0.2,1.411,51.033,45.865,48.01,-1,-1
2.400000000000001,-1,0.0,-1,-1,0.2,1.641,51.197,45.798,48.568,-1,-1
2.500000000000001,21.359,0.217,546.601,581.66,0.2,1.656,51.492,46.181,48.901,527.071,542.848
2.600000000000001,6.138,0.174,533.718,539.795,0.2,1.074,49.877,46.108,47.773,525.863,534.344
2.700000000000001,-1,0.0,-1,-1,0.2,1.399,50.784,46.157,48.319,-1,-1
2.800000000000001,-1,0.0,-1,-1,0.2,1.752,50.76,44.888,48.366,-1,-1
2.9000000000000012,-1,0.0,-1,-1,0.2,1.187,51.021,46.516,48.78,-1,-1
3.0000000000000013,-1,0.0,-1,-1,0.2,1.206,51.66,47.14,49.218,-1,-1
3.1000000000000014,13.594,0.174,512.128,528.844,0.2,1.883,51.745,45.006,48.307,497.719,510.511
3.2000000000000015,30.475,0.174,544.708,569.235,0.2,1.156,49.421,45.319,47.702,501.635,553.98
3.3000000000000016,-1,0.0,-1,-1,0.2,1.058,48.925,45.354,47.533,-1,-1
3.4000000000000017,-1,0.0,-1,-1,0.2,1.161,50.06,46.377,48.067,-1,-1
3.5000000000000018,5.983,0.13,107.469,114.354,0.2,1.425,52.555,47.59,49.519,103.528,104.525
3.600000000000002,0.302,0.087,114.313,114.527,0.2,2.142,52.612,45.721,49.374,114.1,114.313
3.700000000000002,-1,0.0,-1,-1,0.2,1.185,50.558,45.66,47.86,-1,-1
3.800000000000002,-1,0.0,-1,-1,0.2,1.233,51.205,46.464,48.136,-1,-1
3.900000000000002,-1,0.0,-1,-1,0.2,0.761,48.169,45.722,47.0,-1,-1
4.000000000000002,-1,0.0,-1,-1,0.2,0.941,49.473,45.829,47.448,-1,-1
4.100000000000001,-1,0.0,-1,-1,0.2,0.859,49.563,46.696,48.312,-1,-1
4.200000000000001,-1,0.0,-1,-1,0.2,1.0,50.246,46.596,48.655,-1,-1
4.300000000000001,-1,0.0,-1,-1,0.2,0.793,50.202,47.309,48.852,-1,-1
4.4,-1,0.0,-1,-1,0.2,0.883,50.156,46.756,48.858,-1,-1
4.5,6.783,0.174,107.735,117.882,0.2,1.624,52.501,46.123,49.152,103.686,104.68
4.6,-1,0.0,-1,-1,0.2,1.877,52.695,46.312,49.783,-1,-1
4.699999999999999,-1,0.0,-1,-1,0.2,1.625,52.802,47.22,49.911,-1,-1
4.799999999999999,-1,0.0,-1,-1,0.2,0.976,50.799,47.252,48.855,-1,-1
4.899999999999999,-1,0.0,-1,-1,0.2,1.417,51.346,47.0,48.612,-1,-1
4.999999999999998,-1,0.0,-1,-1,0.2,1.682,51.487,45.051,48.222,-1,-1
5.099999999999998,-1,0.0,-1,-1,0.2,1.522,52.536,47.275,49.422,-1,-1
5.1999999999999975,-1,0.0,-1,-1,0.2,1.874,52.631,46.122,48.921,-1,-1
5.299999999999997,-1,0.0,-1,-1,0.2,1.459,50.939,46.214,48.623,-1,-1
5.399999999999997,-1,0.0,-1,-1,0.2,1.307,50.156,46.178,47.704,-1,-1
5.4999999999999964,-1,0.0,-1,-1,0.2,1.195,50.858,46.485,48.144,-1,-1
5.599999999999996,-1,0.0,-1,-1,0.2,4.551,61.196,48.176,52.752,-1,-1
5.699999999999996,2.966,0.391,243.588,247.65,0.2,10.95,84.613,56.402,69.884,238.671,243.936
5.799999999999995,4.674,0.957,247.306,253.786,0.2,1.357,84.614,80.359,82.589,238.295,246.583
5.899999999999995,4.391,1.0,249.128,253.812,0.2,0.631,82.434,79.832,81.072,240.904,250.386
5.999999999999995,7.361,1.0,238.596,251.322,0.2,1.724,83.705,77.6,80.858,227.988,240.839
6.099999999999994,5.54,1.0,226.739,236.319,0.2,1.153,80.103,75.634,78.213,211.893,228.231
6.199999999999994,6.057,0.565,218.969,226.391,0.2,5.507,78.34,63.184,70.453,208.063,221.096
6.299999999999994,14.212,0.565,207.335,245.555,0.2,7.559,81.242,63.097,72.979,191.635,204.757
6.399999999999993,12.593,1.0,189.067,215.502,0.2,2.609,81.221,72.497,77.442,173.182,185.376
6.499999999999993,3.606,1.0,174.794,183.101,0.2,2.223,77.009,69.839,73.552,170.463,173.92
6.5999999999999925,1.562,1.0,171.804,175.554,0.2,3.58,77.039,64.71,71.652,169.955,171.355
6.699999999999992,0.707,0.478,170.436,171.732,0.2,3.773,68.949,58.466,62.33,169.075,170.461
6.799999999999992,-1,0.0,-1,-1,0.2,2.217,60.265,52.869,58.297,-1,-1
6.8999999999999915,-1,0.0,-1,-1,0.2,3.028,58.981,47.59,53.389,-1,-1
6.999999999999991,-1,0.0,-1,-1,0.2,1.721,53.344,47.712,50.541,-1,-1
7.099999999999991,-1,0.0,-1,-1,0.2,1.915,56.534,49.048,52.21,-1,-1
7.19999999999999,12.377,0.13,663.989,678.211,0.2,1.924,56.64,49.818,52.145,655.654,658.101
7.29999999999999,6.576,0.435,238.612,247.382,0.2,13.516,80.448,49.668,63.722,228.019,238.678
7.39999999999999,12.041,1.0,249.212,267.782,0.2,1.228,83.299,78.389,81.153,227.966,246.797
7.499999999999989,7.772,0.913,259.359,267.926,0.2,9.39,83.257,56.679,72.542,238.297,261.065
7.599999999999989,32.977,0.826,226.781,266.593,0.2,7.973,77.967,56.533,68.291,187.593,219.813
7.699999999999989,15.472,1.0,188.76,216.101,0.2,5.707,77.895,60.469,70.514,152.612,191.192
7.799999999999988,10.707,1.0,186.763,205.213,0.2,4.364,78.73,63.006,75.057,151.581,186.752
7.899999999999988,7.121,0.87,189.541,205.28,0.2,7.363,78.685,58.191,69.372,185.063,186.243
7.999999999999988,6.955,0.826,204.017,211.639,0.2,6.985,82.619,58.613,73.818,185.396,205.766
8.099999999999987,3.109,1.0,203.812,209.356,0.2,2.609,82.833,74.81,79.459,199.718,202.721
8.199999999999987,3.807,1.0,200.892,205.268,0.2,4.543,78.882,62.601,74.09,184.885,201.572
8.299999999999986,51.129,0.957,146.172,205.243,0.2,5.244,75.655,57.522,63.095,99.809,101.449
8.399999999999986,46.188,1.0,161.493,207.844,0.2,7.731,78.999,57.385,66.2,87.534,184.333
8.499999999999986,5.493,1.0,201.752,206.944,0.2,3.245,79.001,69.446,74.073,183.445,203.938
8.599999999999985,3.039,1.0,202.404,207.651,0.2,4.031,79.48,69.437,74.602,197.645,201.798
8.699999999999985,2.346,1.0,198.347,204.419,0.2,1.731,79.808,74.169,78.099,193.447,198.797
8.799999999999985,3.818,1.0,195.242,198.816,0.2,4.327,77.558,63.061,70.714,183.358,196.651
8.899999999999984,10.027,1.0,184.609,198.868,0.2,2.118,71.663,63.856,69.156,161.495,182.476
8.999999999999984,18.976,0.826,187.839,224.104,0.2,6.441,75.42,55.709,65.546,161.623,182.029
9.099999999999984,5.86,0.826,217.624,225.385,0.2,4.075,77.512,60.825,74.733,207.421,219.392
9.199999999999983,3.525,1.0,225.826,232.917,0.2,2.979,83.812,75.603,78.466,219.842,225.901
9.299999999999983,3.024,1.0,228.17,236.382,0.2,1.693,83.746,76.996,80.983,224.141,227.918
9.399999999999983,3.493,1.0,228.339,236.07,0.2,1.008,82.727,79.636,80.992,223.902,228.012
9.499999999999982,9.347,1.0,240.012,255.322,0.2,1.077,80.85,76.854,79.926,227.463,238.815
9.599999999999982,4.102,0.652,249.861,255.354,0.2,6.939,80.27,59.545,70.708,241.889,249.163
9.699999999999982,-1,0.0,-1,-1,0.2,4.616,65.495,50.716,56.578,-1,-1
9.799999999999981,3.806,0.609,185.665,190.831,0.2,8.846,72.843,50.835,66.052,180.065,186.675
9.89999999999998,4.815,1.0,180.774,190.924,0.2,1.036,75.094,70.717,72.208,175.141,178.606
9.99999999999998,3.212,1.0,181.083,185.188,0.2,3.472,80.862,71.117,76.624,175.517,181.838
10.09999999999998,3.698,0.826,186.318,194.244,0.2,8.183,80.808,58.741,71.265,182.973,184.582
10.19999999999998,3.438,0.826,186.913,194.034,0.2,3.25,80.854,69.398,77.147,182.155,185.575
10.29999999999998,9.277,0.913,180.738,195.469,0.2,4.287,78.096,63.04,71.036,154.639,184.513
10.399999999999979,14.893,0.783,168.999,201.936,0.2,5.149,73.987,58.346,66.782,138.285,169.287
10.499999999999979,11.51,0.739,163.167,181.369,0.2,4.046,71.277,57.951,65.641,137.118,164.681
10.599999999999978,25.543,0.522,181.485,239.2,0.2,1.86,69.551,62.624,65.812,157.353,174.724
10.699999999999978,7.12,0.652,217.491,237.569,0.2,6.09,78.882,63.902,73.622,211.732,215.142
10.799999999999978,7.077,1.0,218.362,229.117,0.2,0.921,78.421,74.624,76.799,201.898,215.862
10.899999999999977,17.991,1.0,231.112,257.373,0.2,6.985,81.155,59.274,72.207,203.553,227.88
10.999999999999977,14.559,1.0,243.398,257.399,0.2,3.852,81.731,66.199,79.315,214.923,249.497
11.099999999999977,18.446,1.0,217.793,251.174,0.2,1.773,80.931,75.288,77.667,192.036,217.22
11.199999999999976,8.706,1.0,192.937,211.622,0.2,4.175,79.129,62.555,72.519,176.63,193.828
11.299999999999976,5.681,0.913,183.468,195.374,0.2,3.729,71.487,60.564,67.322,173.061,183.303
11.399999999999975,5.569,1.0,180.949,190.449,0.2,4.992,75.397,60.2,67.51,171.05,180.384
11.499999999999975,4.89,1.0,179.964,190.821,0.2,1.747,75.847,69.919,73.936,174.879,178.486
11.599999999999975,3.948,1.0,178.609,184.888,0.2,3.443,75.833,65.164,70.196,165.476,178.69
11.699999999999974,10.878,1.0,168.125,184.751,0.2,2.283,73.421,65.588,71.059,153.945,164.173
11.799999999999974,1.56,1.0,156.96,160.086,0.2,2.355,72.431,64.098,70.106,154.675,156.937
11.899999999999974,0.862,0.478,156.288,157.4,0.2,6.806,69.159,49.82,58.418,154.633,156.356
11.999999999999973,2.557,0.174,162.564,165.104,0.2,7.11,70.525,48.725,54.338,159.363,162.893
12.099999999999973,4.59,0.739,155.257,164.884,0.2,4.857,70.599,52.57,65.845,148.624,153.493
12.199999999999973,2.856,0.696,153.639,160.558,0.2,5.679,66.697,51.089,58.614,148.548,153.305
12.299999999999972,2.164,0.087,156.196,157.726,0.2,1.419,53.01,48.019,50.324,154.666,156.196
12.399999999999972,-1,0.0,-1,-1,0.2,1.374,51.586,46.915,49.675,-1,-1
12.499999999999972,-1,0.0,-1,-1,0.2,1.11,51.281,46.861,49.138,-1,-1
12.599999999999971,-1,0.0,-1,-1,0.2,1.04,52.346,48.701,50.061,-1,-1
12.69999999999997,-1,0.0,-1,-1,0.2,1.101,52.44,48.929,50.382,-1,-1
12.79999999999997,-1,0.0,-1,-1,0.2,0.933,51.468,48.325,49.905,-1,-1
12.89999999999997,-1,0.0,-1,-1,0.2,1.054,53.275,49.513,50.87,-1,-1
12.99999999999997,4.126,0.391,209.824,216.938,0.2,12.813,80.317,47.603,59.932,202.09,210.286
13.09999999999997,7.762,0.957,206.685,218.147,0.2,3.841,86.207,72.972,81.921,191.561,207.67
13.199999999999969,19.482,1.0,182.423,210.103,0.2,6.093,86.22,66.735,77.549,152.463,190.686
13.299999999999969,5.203,0.739,161.56,171.91,0.2,7.102,75.649,55.539,65.81,154.629,160.787
13.399999999999968,4.599,0.826,156.14,172.171,0.2,4.162,74.778,58.681,70.8,152.825,154.887
13.499999999999968,1.366,0.652,154.204,156.169,0.2,4.895,71.012,57.875,63.294,151.542,154.597
13.599999999999968,0.207,0.087,151.579,151.725,0.2,4.515,59.695,48.26,53.879,151.433,151.579
13.699999999999967,6.108,0.522,183.908,201.366,0.2,10.898,76.127,48.874,63.661,178.535,182.586
13.799999999999967,7.861,1.0,180.477,188.645,0.2,3.984,77.888,64.439,71.375,159.995,182.556
13.899999999999967,5.613,1.0,181.44,190.174,0.2,3.292,77.948,65.944,73.796,162.337,181.502
13.999999999999966,13.533,0.87,189.747,208.707,0.2,6.382,77.602,59.386,69.429,175.289,181.582
14.099999999999966,5.028,0.957,201.447,209.408,0.2,2.318,80.215,73.121,77.903,194.412,200.859
14.199999999999966,2.239,1.0,195.619,199.101,0.2,2.597,80.768,72.8,78.247,191.981,196.015
14.299999999999965,4.593,0.913,191.528,197.45,0.2,3.683,76.573,62.347,70.313,179.894,192.679
14.399999999999965,6.034,1.0,190.997,206.941,0.2,6.152,76.221,57.529,69.638,179.972,191.549
14.499999999999964,7.301,1.0,197.706,211.172,0.2,1.838,78.243,71.91,75.075,189.066,197.551
14.599999999999964,4.641,1.0,208.052,212.332,0.2,3.998,84.124,71.847,80.019,197.4,210.368
14.699999999999964,1.082,1.0,210.739,212.349,0.2,1.329,84.192,80.123,83.046,209.009,210.61
14.799999999999963,6.717,1.0,215.838,229.723,0.2,1.41,82.247,77.43,79.508,208.983,213.632
14.899999999999963,9.754,1.0,232.445,245.926,0.2,1.244,80.283,75.56,78.297,216.722,233.194
14.999999999999963,3.071,0.783,240.842,245.767,0.2,7.851,77.74,58.27,67.778,236.971,241.153
15.099999999999962,25.58,0.609,210.782,244.415,0.2,4.826,70.829,56.869,61.883,178.927,207.222
15.199999999999962,13.93,1.0,191.087,232.365,0.2,2.858,73.196,61.881,71.366,178.563,187.663
15.299999999999962,2.155,1.0,182.752,188.471,0.2,1.393,73.211,68.495,72.197,178.652,182.117
15.399999999999961,3.719,1.0,179.281,182.61,0.2,2.633,72.52,63.79,67.233,170.008,180.359
15.499999999999961,10.357,0.696,179.126,211.247,0.2,3.252,71.637,59.695,66.064,167.264,179.213
15.59999999999996,10.553,0.826,170.493,203.961,0.2,2.938,71.748,60.0,69.943,153.958,168.793
15.69999999999996,4.75,1.0,166.712,174.286,0.2,4.53,75.534,59.722,69.872,152.948,167.23
15.79999999999996,4.543,0.913,163.493,171.975,0.2,5.921,75.491,57.865,67.916,156.642,164.667
15.89999999999996,6.36,0.609,162.125,173.874,0.2,4.774,73.725,58.893,67.296,156.812,158.764
15.99999999999996,25.738,0.565,207.409,250.854,0.2,9.296,79.229,56.202,67.006,159.983,210.522
16.09999999999996,8.595,1.0,219.106,248.572,0.2,1.625,79.323,74.558,77.227,210.128,217.731
16.19999999999996,6.519,0.87,217.964,232.092,0.2,6.315,75.774,57.321,70.139,205.64,218.151
16.29999999999996,12.117,0.87,229.313,239.741,0.2,8.751,80.504,57.667,73.718,206.268,236.493
16.399999999999963,12.466,1.0,231.312,239.622,0.2,5.196,80.509,66.256,75.164,185.819,236.7
16.499999999999964,16.848,1.0,209.294,237.503,0.2,5.099,79.539,65.933,71.264,185.493,206.23
16.599999999999966,5.38,1.0,198.711,209.473,0.2,2.28,79.557,72.428,76.345,192.883,196.897
16.699999999999967,4.705,0.913,198.34,207.935,0.2,5.279,75.433,59.156,70.272,191.704,197.643
16.79999999999997,4.975,1.0,200.573,209.156,0.2,3.901,75.349,62.894,70.59,191.199,202.223
16.89999999999997,10.357,1.0,189.344,202.794,0.2,2.659,73.254,64.776,70.155,171.138,191.993
16.99999999999997,6.904,1.0,172.199,188.84,0.2,0.843,75.316,72.847,73.802,165.677,168.969
17.099999999999973,2.884,1.0,169.02,175.872,0.2,2.453,77.408,68.983,74.004,164.194,169.413
17.199999999999974,1.295,1.0,171.429,173.522,0.2,1.894,78.472,71.469,76.658,169.315,170.977
17.299999999999976,3.214,1.0,172.905,178.209,0.2,2.886,77.353,68.34,71.075,164.759,172.967
17.399999999999977,8.995,1.0,163.786,178.274,0.2,2.103,73.408,67.018,70.308,148.362,160.842
17.49999999999998,5.889,1.0,151.336,162.932,0.2,1.985,71.116,65.246,69.358,141.054,150.826
17.59999999999998,3.703,0.565,146.016,151.004,0.2,7.307,70.761,48.782,59.637,140.287,146.707
17.69999999999998,2.508,0.087,144.652,146.426,0.2,4.914,66.064,47.635,51.806,142.879,144.652
17.799999999999983,3.542,0.478,145.277,152.781,0.2,5.827,68.871,48.785,60.801,139.555,144.095
17.899999999999984,2.728,0.261,144.101,147.308,0.2,4.607,61.411,47.64,53.025,139.813,144.056
17.999999999999986,-1,0.0,-1,-1,0.2,1.344,50.706,45.76,48.632,-1,-1
18.099999999999987,-1,0.0,-1,-1,0.2,1.925,52.297,45.835,48.853,-1,-1
18.19999999999999,7.37,0.087,568.503,573.715,0.2,1.808,52.289,45.922,48.69,563.292,568.503
18.29999999999999,-1,0.0,-1,-1,0.2,1.192,50.226,45.762,48.213,-1,-1
18.39999999999999,152.46,0.261,678.398,837.098,0.2,1.22,52.05,47.39,49.726,527.778,675.616
18.499999999999993,-1,0.0,-1,-1,0.2,1.022,51.126,47.388,49.696,-1,-1
18.599999999999994,28.347,0.174,797.966,833.672,0.2,0.833,51.699,48.559,49.835,768.913,794.64
18.699999999999996,20.134,0.174,804.149,830.093,0.2,5.324,67.827,49.099,53.017,783.02,801.999
18.799999999999997,10.288,0.609,207.535,220.184,0.2,9.825,80.659,51.595,70.658,186.15,205.535
18.9,8.441,1.0,205.62,221.126,0.2,1.24,83.526,79.249,81.098,190.154,204.984
19.0,6.706,1.0,191.59,204.443,0.2,3.6,83.506,70.803,79.494,181.795,189.231
19.1,0.985,0.348,186.365,187.431,0.2,3.209,79.052,68.177,71.129,184.919,186.477
19.200000000000003,20.657,0.565,172.679,219.664,0.2,3.06,75.11,65.451,71.065,154.095,163.382
19.300000000000004,9.887,1.0,154.052,182.256,0.2,1.445,73.681,69.742,72.358,143.981,152.662
19.400000000000006,2.912,1.0,143.903,150.409,0.2,1.338,72.675,67.239,70.63,139.774,143.837
19.500000000000007,2.909,0.565,143.263,150.022,0.2,3.707,70.674,60.705,64.328,139.967,143.496
19.60000000000001,-1,0.0,-1,-1,0.2,4.926,62.719,49.707,57.892,-1,-1
19.70000000000001,-1,0.0,-1,-1,0.2,1.33,53.322,47.39,49.754,-1,-1
