"Gender (0 = male, 1 = female)","Mean F0"
0,196.06174364
1,241.226123118
1,271.39993633
0,162.497334421
0,228.024540688
0,224.847924239
1,240.613723188
1,212.731686204
0,196.397865565
1,224.801160422
1,211.446278558
0,154.790326649
0,216.316854859
0,252.3685512
1,294.735557187
1,304.353196548
0,450.361514613
0,219.816101289
1,237.62402787
1,220.976915489
1,211.974309003
0,201.900637053
0,169.343531397
1,176.941236709
0,169.230208913
0,159.103448753
1,189.286194864
1,244.326448011
0,277.994975107
1,295.544334757
1,186.374781018
0,133.656999965
0,232.4685616
0,164.432773255
1,194.361002121
1,272.276987096
0,276.218156183
1,294.432982273
0,238.308886014
1,312.130149487
1,280.828356838
1,286.969709093
0,341.323675849
0,333.753915953
0,131.634780146
1,188.883261582
0,149.685103771
1,293.215854915
0,167.804507957
1,365.326520849
0,174.041105714
1,209.74599053
0,260.379095773
1,317.97550129
0,296.345606537
1,322.961911099
1,237.260658929
0,243.818753602
1,554.276316881
0,432.284531085
0,282.426328126
0,262.562133326
1,283.603858435
1,286.775010754
1,191.355060458
0,153.707371177
0,141.235468614
1,184.503977603
1,277.60330574
1,305.871401735
0,297.464214376
0,206.465540768
0,248.247394898
0,300.089296436
1,336.708676165
1,304.797031245
1,268.110219774
0,199.400982271
1,247.009832523
0,176.336678717
1,254.274004644
0,192.203122508
0,224.476524839
1,301.596325953
1,239.314278021
0,205.117829961
1,211.383414276
0,172.614596041
0,226.351119348
1,260.950680978
0,174.601945275
1,235.359544327
0,212.479978917
1,202.332120957
0,208.690664707
0,118.92100179
1,195.343512402
1,173.049199499
0,229.290741091
1,270.947077051
1,195.107126441
0,214.890572021
1,241.076291363
0,241.048456519
1,249.569963612
0,282.166954162
1,289.553698969
1,233.923829717
0,210.05737066
1,217.396756056
0,154.454760695
